ID,PANNS_VOICE_PRESENT_PROB,PANNS_MUSIC_PRESENT_PROB,EAT_VOICE_PRESENT_PROB,EAT_MUSIC_PRESENT_PROB,EAT_MUSIC_PROBE_PROB,PHONE_VOICE_PROB,IS_TELEPHONE,VOICE_PRESENT_PROB,MUSIC_PRESENT_PROB
F1 caro mio ben,0.4723712205886841,0.38937634229660034,0.2883569598197937,0.07864082604646683,0.9999067783355713,nan,0,0.4079662293195725,0.4657913379371167
F1 passagio,0.28606536984443665,0.8112601637840271,0.4966040551662445,0.36752235889434814,0.9998500347137451,nan,0,0.3597539097070694,0.6470776975154877
F1 scale,0.22575554251670837,0.3950692117214203,0.47808441519737244,0.20144642889499664,0.9998334646224976,nan,0,0.3140706479549408,0.5324186101555825
F2 caro mio ben,0.4436395466327667,0.23373909294605255,0.3420991599559784,0.12096875160932541,0.9999374151229858,nan,0,0.4081004112958908,0.4793224374949932
F2 passagio,0.9335178136825562,0.19506461918354034,0.785637378692627,0.16981762647628784,0.9999799728393555,nan,0,0.881759661436081,0.50339738458395
F2 scale,0.709995448589325,0.2872096598148346,0.4695912301540375,0.20401382446289062,0.9998844861984253,nan,0,0.6258539721369742,0.5273538392782211
F3 caro mio ben,0.1869433969259262,0.32429030537605286,0.1864348202943802,0.1238425225019455,0.9999849796295166,nan,0,0.1867653951048851,0.4863263723254204
F3 passagio,0.8396925330162048,0.1798166185617447,0.7536038160324097,0.04737386479973793,0.9996600151062012,nan,0,0.8095614820718766,0.4362348901480437
F3 scale,0.7675922513008118,0.4320155382156372,0.3922482132911682,0.30167144536972046,0.9999260902404785,nan,0,0.6362218379974365,0.5887939488887787
F4 caro mio ben,0.385954886674881,0.4896814227104187,0.6187019348144531,0.16433735191822052,0.9999406337738037,0.02169790491461754,1,0.3779337029513065,0.5180993089079857
F4 passagio,0.5532662272453308,0.5864296555519104,0.48861655592918396,0.31297966837882996,0.9999756813049316,nan,0,0.5306388422846794,0.6041850727796555
F4 scale,0.44890135526657104,0.23349128663539886,0.6116634607315063,0.17133492231369019,0.9998376369476318,nan,0,0.5058680921792984,0.5064653900265694
F5 caro mio ben,0.28587543964385986,0.535801887512207,0.5512698292732239,0.09315694123506546,0.9997747540473938,0.9975264668464661,1,0.5385839273081189,0.4823627631366253
F5 passagio,0.4602542221546173,0.3813987374305725,0.23268771171569824,0.2197621762752533,0.999984860420227,nan,0,0.38060594350099564,0.541549443602562
F5 scale,0.40658679604530334,0.43979719281196594,0.419258177280426,0.13650383055210114,0.9996252059936523,nan,0,0.41102177947759627,0.4999499824643135
F6 caro mio ben,0.36082741618156433,0.3496994078159332,0.2944086790084839,0.09333045035600662,0.9999704360961914,nan,0,0.33758085817098615,0.47136858209967614
F6 passagio,0.3467993140220642,0.3553366959095001,0.5394672751426697,0.33294108510017395,0.9999630451202393,nan,0,0.41423310041427613,0.6010936057567596
F6 scale,0.5838209390640259,0.38469982147216797,0.7583281397819519,0.09521960467100143,0.9999302625656128,nan,0,0.6448984593153,0.47447268083691596
F7 caro mio ben,0.39274510741233826,0.48797622323036194,0.27335336804389954,0.1571841537952423,0.9999419450759888,nan,0,0.35095799863338467,0.5141347944736481
F7 passagio,0.32703790068626404,0.5823793411254883,0.7123461365699768,0.1943172961473465,0.9997758269309998,nan,0,0.46189578324556346,0.5397844311594964
F7 scale,0.8075690865516663,0.2022010087966919,0.6387355327606201,0.23519358038902283,0.9999041557312012,nan,0,0.7484773427248002,0.5390982562303543
F8 caro mio ben,0.3225863575935364,0.4040320813655853,0.1421433836221695,0.09525919705629349,0.9999109506607056,nan,0,0.25943131670355796,0.4756462715566159
F8 passagio,0.5743574500083923,0.1566983014345169,0.41063806414604187,0.024064697325229645,0.999295711517334,nan,0,0.5170556649565696,0.4221151192486286
F8 scale,0.24104979634284973,0.6600731015205383,0.5449258685112,0.30262991786003113,0.9998787641525269,nan,0,0.3474064216017723,0.6029760473966599
F9 caro mio ben,0.3521484136581421,0.35478290915489197,0.1323179453611374,0.10885170847177505,0.9999666213989258,nan,0,0.27520774975419043,0.48005354568362235
F9 passagio,0.7626917362213135,0.1718067079782486,0.8211712837219238,0.03602200746536255,0.9993162155151367,nan,0,0.7831595778465271,0.4294867727160454
F9 scale,0.3936161994934082,0.3862343430519104,0.4650251865386963,0.34130915999412537,0.9999479055404663,nan,0,0.41860934495925906,0.6074601691961289
M1 caro mio ben,0.2702672481536865,0.42793405055999756,0.4520564079284668,0.09510839730501175,0.9998600482940674,nan,0,0.3338934540748596,0.47697859689593314
