heldout,base,weight,fit_eer,base_eer,fused_eer
codec_mixed_dev_v4,v83,0.08,0.11417646303939735,0.21333333333333337,0.20999999999999996
codec_mixed_dev_v4,v101,0.065,0.10652827891235642,0.20333333333333337,0.22666666666666668
codec_mixed_dev_v4,replace_prompt_w50,0.0,0.09942639365153266,0.24333333333333332,0.24333333333333332
echoes_fma_paired_v3,v83,0.0,0.12963855421686743,0.09009740259740262,0.09009740259740262
echoes_fma_paired_v3,v101,0.04,0.11855421686746989,0.07207792207792209,0.05405844155844157
echoes_fma_paired_v3,replace_prompt_w50,0.0,0.1142168674698795,0.05405844155844157,0.05405844155844157
external_mixed_v1,v83,0.02,0.12742813597615132,0.14,0.135
external_mixed_v1,v101,0.015,0.11551412326293392,0.13,0.13
external_mixed_v1,replace_prompt_w50,0.02,0.11499612271018533,0.13,0.13
external_mixed_v1_telephone_v1,v83,0.0,0.12587413431790556,0.15500000000000003,0.15500000000000003
external_mixed_v1_telephone_v1,v101,0.015,0.1134421210519396,0.15500000000000003,0.15500000000000003
external_mixed_v1_telephone_v1,replace_prompt_w50,0.02,0.11396012160468814,0.14500000000000002,0.14
factorial_eval_1200_v2,v83,0.035,0.1232421456179164,0.18285714285714283,0.1885714285714286
factorial_eval_1200_v2,v101,0.025,0.10994631248071382,0.2114285714285714,0.2114285714285714
factorial_eval_1200_v2,replace_prompt_w50,0.005,0.10892355608554435,0.16000000000000003,0.16000000000000003
mixfake_music_dev_v1,v83,0.055,0.14205188026414645,0.09624999999999997,0.09250000000000001
mixfake_music_dev_v1,v101,0.0,0.14355507476429616,0.06499999999999997,0.06499999999999997
mixfake_music_dev_v1,replace_prompt_w50,0.005,0.1367906995136225,0.07250000000000001,0.07250000000000001
source_disjoint_mixed_v1,v83,0.0,0.1295247554530395,0.07999999999999999,0.07999999999999999
source_disjoint_mixed_v1,v101,0.035,0.11918247459937473,0.07999999999999999,0.07999999999999999
source_disjoint_mixed_v1,replace_prompt_w50,0.01,0.11622753721261334,0.06999999999999998,0.06999999999999998
source_disjoint_mixed_v1_telephone_v1,v83,0.005,0.12509234937289743,0.15000000000000002,0.15000000000000002
source_disjoint_mixed_v1_telephone_v1,v101,0.04,0.11475006851923267,0.13,0.14
source_disjoint_mixed_v1_telephone_v1,replace_prompt_w50,0.02,0.11228762069693156,0.16000000000000003,0.16000000000000003
source_disjoint_music_v1,v83,0.04,0.1362341453728772,0.03500000000000002,0.03500000000000002
source_disjoint_music_v1,v101,0.03,0.12483813321240841,0.03500000000000002,0.03500000000000002
source_disjoint_music_v1,replace_prompt_w50,0.01,0.1212121293431683,0.03500000000000002,0.030000000000000013
