heldout,anchor,weight,train_eer,heldout_anchor_eer,heldout_fused_eer
codec_mixed_dev_v4,v83,0.45,0.10215788798261873,0.21333333333333337,0.21333333333333337
codec_mixed_dev_v4,v101,0.26,0.10270418684883592,0.20333333333333337,0.21666666666666667
echoes_fma_paired_v3,v83,0.36,0.11614457831325299,0.09009740259740262,0.09009740259740262
echoes_fma_paired_v3,v101,0.13,0.11614457831325299,0.07207792207792209,0.05405844155844157
external_mixed_v1,v83,0.35000000000000003,0.1134421210519396,0.14,0.135
external_mixed_v1,v101,0.29,0.1134421210519396,0.13,0.125
external_mixed_v1_telephone_v1,v83,0.37,0.11240611994644242,0.15500000000000003,0.14500000000000002
external_mixed_v1_telephone_v1,v101,0.22,0.11137011884094522,0.15500000000000003,0.16000000000000003
factorial_eval_1200_v2,v83,0.36,0.11096906887588326,0.18285714285714283,0.1714285714285714
factorial_eval_1200_v2,v101,0.14,0.10841217788795966,0.2114285714285714,0.19999999999999998
mixfake_music_dev_v1,v83,0.32,0.1367906995136225,0.09624999999999997,0.07499999999999998
mixfake_music_dev_v1,v101,0.22,0.14205188026414645,0.06499999999999997,0.05625000000000001
source_disjoint_mixed_v1,v83,0.33,0.11672002677707358,0.07999999999999999,0.06999999999999998
source_disjoint_mixed_v1,v101,0.19,0.11721251634153382,0.07999999999999999,0.06999999999999998
source_disjoint_mixed_v1_telephone_v1,v83,0.34,0.11228762069693156,0.15000000000000002,0.15000000000000002
source_disjoint_mixed_v1_telephone_v1,v101,0.21,0.11376508939031224,0.13,0.13
source_disjoint_music_v1,v83,0.33,0.1212121293431683,0.03500000000000002,0.03500000000000002
source_disjoint_music_v1,v101,0.17,0.12276613100141409,0.03500000000000002,0.03500000000000002
