DATASET,ID,WINDOW_COUNT,MEDIAN,MEAN,MAX,TOP3,LME_T2,LME_T5,Q75,WINDOW_SCORES
factorial_eval_1200_v2,factorial_0003,2,0.0015460848808288574,0.0015460848808288574,0.002835571765899658,0.0015460848808288574,0.0015477476554124183,0.0015502417930958405,0.002190828323364258,"[0.00025659799575805664,0.002835571765899658]"
factorial_eval_1200_v2,factorial_0007,2,0.9830010831356049,0.9830010831356049,0.9995259046554565,0.9830010831356049,0.983274103164959,0.9836829821219981,0.9912634938955307,"[0.9995259046554565,0.9664762616157532]"
factorial_eval_1200_v2,factorial_0011,2,0.0022941529750823975,0.0022941529750823975,0.0027281641960144043,0.0022941529750823975,0.002294341340798618,0.002294623889062549,0.002511158585548401,"[0.0027281641960144043,0.0018601417541503906]"
factorial_eval_1200_v2,factorial_0015,2,0.006421416997909546,0.006421416997909546,0.0076790452003479,0.006421416997909546,0.006422998624937413,0.006425371043590944,0.007050231099128723,"[0.0076790452003479,0.005163788795471191]"
factorial_eval_1200_v2,factorial_0019,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5]"
factorial_eval_1200_v2,factorial_0023,3,0.2118573784828186,0.29861879348754883,0.5376148223876953,0.29861879348754883,0.3294869293848199,0.3760630704410063,0.37473610043525696,"[0.14638417959213257,0.5376148223876953,0.2118573784828186]"
factorial_eval_1200_v2,factorial_0027,3,6.4373016357421875e-06,0.00022186835606892905,0.0006527304649353027,0.00022186835606892905,0.00022196119047407018,0.00022210049201655752,0.00032958388328552246,"[0.0006527304649353027,6.4373016357421875e-06,6.4373016357421875e-06]"
factorial_eval_1200_v2,factorial_0031,4,0.999184638261795,0.9991402626037598,0.9998302459716797,0.9993998408317566,0.9991405750277181,0.9991410435868902,0.9995603710412979,"[0.9988988637924194,0.9998302459716797,0.9983615279197693,0.9994704127311707]"
factorial_eval_1200_v2,factorial_0035,3,0.7549252510070801,0.787319560845693,0.9914195537567139,0.787319560845693,0.8118288907898299,0.8472828053361734,0.873172402381897,"[0.6156138777732849,0.9914195537567139,0.7549252510070801]"
factorial_eval_1200_v2,factorial_0039,3,8.821487426757812e-05,8.47180684407552e-05,0.0001252889633178711,8.47180684407552e-05,8.471926849906283e-05,8.47210685708647e-05,0.00010675191879272461,"[4.0650367736816406e-05,0.0001252889633178711,8.821487426757812e-05]"
factorial_eval_1200_v2,factorial_0043,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"[0.5,0.5,0.5]"
factorial_eval_1200_v2,factorial_0047,2,0.006890445947647095,0.006890445947647095,0.013017594814300537,0.006890445947647095,0.006927986961320003,0.0069842861531740005,0.009954020380973816,"[0.0007632970809936523,0.013017594814300537]"
factorial_eval_1200_v2,factorial_0051,1,0.0006986856460571289,0.0006986856460571289,0.0006986856460571289,0.0006986856460571289,0.0006986856460571289,0.0006986856460571289,0.0006986856460571289,[0.0006986856460571289]
factorial_eval_1200_v2,factorial_0055,2,0.9681227505207062,0.9681227505207062,0.991360604763031,0.9681227505207062,0.9686625541039272,0.9694697186093924,0.9797416776418686,"[0.9448848962783813,0.991360604763031]"
factorial_eval_1200_v2,factorial_0059,2,0.36014142632484436,0.36014142632484436,0.5,0.36014142632484436,0.379451972267159,0.4055100304312262,0.4300707131624222,"[0.5,0.22028285264968872]"
factorial_eval_1200_v2,factorial_0063,3,0.07008403539657593,0.19305282831192017,0.5,0.19305282831192017,0.2439896679597262,0.3171461573271209,0.28504201769828796,"[0.5,0.00907444953918457,0.07008403539657593]"
factorial_eval_1200_v2,factorial_0067,2,0.9988008439540863,0.9988008439540863,0.9988415837287903,0.9988008439540863,0.9988008456138155,0.9988008481034093,0.9988212138414383,"[0.9988415837287903,0.9987601041793823]"
factorial_eval_1200_v2,factorial_0071,4,0.030817300081253052,0.04881022870540619,0.12836015224456787,0.06333158413569133,0.05125897355364244,0.0551323735694496,0.06905025243759155,"[0.005246162414550781,0.04928028583526611,0.01235431432723999,0.12836015224456787]"
factorial_eval_1200_v2,factorial_0075,3,0.00021725893020629883,0.0002788702646891276,0.000550687313079834,0.0002788702646891276,0.0002789108893373949,0.00027897183509964843,0.0003839731216430664,"[6.866455078125e-05,0.00021725893020629883,0.000550687313079834]"
factorial_eval_1200_v2,factorial_0079,4,0.9999989867210388,0.9999980330467224,0.9999998807907104,0.9999992847442627,0.9999980330518561,0.9999980330595566,0.9999997913837433,"[0.9999998807907104,0.9999942779541016,0.9999982118606567,0.9999997615814209]"
factorial_eval_1200_v2,factorial_0083,3,0.9992855191230774,0.9994432330131531,0.9999524354934692,0.9994432330131531,0.9994433689336509,0.9994435728848448,0.9996189773082733,"[0.9999524354934692,0.9990917444229126,0.9992855191230774]"
factorial_eval_1200_v2,factorial_0087,3,0.13027232885360718,0.2365399400393168,0.579282283782959,0.2365399400393168,0.3015314264209115,0.389443951934535,0.3547773063182831,"[0.579282283782959,0.13027232885360718,6.520748138427734e-05]"
factorial_eval_1200_v2,factorial_0091,4,0.9999927878379822,0.9999932944774628,0.9999977350234985,0.9999944368998209,0.999993294485459,0.9999932944974536,0.9999940693378448,"[0.9999977350234985,0.9999927282333374,0.999992847442627,0.9999898672103882]"
factorial_eval_1200_v2,factorial_0095,4,1.0,0.9999999701976776,1.0,1.0,0.9999999701976803,0.9999999701976844,1.0,"[1.0,1.0,0.9999998807907104,1.0]"
factorial_eval_1200_v2,factorial_0099,4,0.002487093210220337,0.004925191402435303,0.013584554195404053,0.006186246871948242,0.004950827149658794,0.004989627942793095,0.005787909030914307,"[0.0011420249938964844,0.0017851591110229492,0.013584554195404053,0.0031890273094177246]"
factorial_eval_1200_v2,factorial_0103,3,0.9997158646583557,0.9820654392242432,0.9998043179512024,0.9820654392242432,0.9826840659795273,0.9835819895898407,0.999760091304779,"[0.9466761350631714,0.9997158646583557,0.9998043179512024]"
factorial_eval_1200_v2,factorial_0107,2,0.0740734338760376,0.0740734338760376,0.09983259439468384,0.0740734338760376,0.07473667491568302,0.07572770371100547,0.08695301413536072,"[0.04831427335739136,0.09983259439468384]"
factorial_eval_1200_v2,factorial_0111,2,0.000337064266204834,0.000337064266204834,0.0005834102630615234,0.000337064266204834,0.0003371249525525141,0.000337215982041892,0.0004602372646331787,"[0.0005834102630615234,9.071826934814453e-05]"
factorial_eval_1200_v2,factorial_0115,3,0.5,0.6663552323977152,0.9990656971931458,0.6663552323977152,0.7258781582025595,0.8098769353555977,0.7495328485965729,"[0.9990656971931458,0.5,0.5]"
factorial_eval_1200_v2,factorial_0119,3,0.19740724563598633,0.4128979841868083,0.8618195652961731,0.4128979841868083,0.5219489647031758,0.6554533219575653,0.5296134054660797,"[0.19740724563598633,0.8618195652961731,0.17946714162826538]"
factorial_eval_1200_v2,factorial_0123,2,3.9696693420410156e-05,3.9696693420410156e-05,6.723403930664062e-05,3.9696693420410156e-05,3.9697451725833595e-05,3.969858918394449e-05,5.346536636352539e-05,"[1.2159347534179688e-05,6.723403930664062e-05]"
factorial_eval_1200_v2,factorial_0127,2,0.9801761507987976,0.9801761507987976,0.998713493347168,0.9801761507987976,0.9805197051739389,0.9810340062428422,0.9894448220729828,"[0.9616388082504272,0.998713493347168]"
factorial_eval_1200_v2,factorial_0131,2,0.8487215340137482,0.8487215340137482,0.9991519451141357,0.8487215340137482,0.8710174726629647,0.9006484047054275,0.923936739563942,"[0.6982911229133606,0.9991519451141357]"
