EPOCH,SELECTION,MEAN_MUSIC_SCORE,WORST_MUSIC_SCORE,LOSS_TOTAL,LOSS_MUSIC_BCE,LOSS_RANK,LOSS_AUXILIARY,LOSS_CHANNEL
0,0.7688002232142856,0.8209337797619047,0.7166666666666667,0.4607857524411764,0.3806362682340031,0.2334605154440554,0.5941231721889473,0.015004883454364067
1,0.7898232886904761,0.8296465773809524,0.75,0.17928555777329885,0.1415171945121831,0.03132873863474296,0.5389540796865246,0.018219648634407774
2,0.7679389880952381,0.8358779761904762,0.7,0.13704628283771392,0.1056782572493961,0.015163586622619988,0.510775718235684,0.011186088289957999
3,0.763960193452381,0.847920386904762,0.68,0.10483696783508012,0.07877483611095495,0.010473999194886629,0.4498574074335441,0.0058978450037166395
4,0.7619903273809523,0.8473139880952381,0.6766666666666666,0.09406210184878039,0.07201524255211705,0.0066534691550722514,0.3734521729325106,0.008174224694250531
5,0.7841090029761906,0.8598846726190477,0.7083333333333334,0.07174185653423477,0.05419041050947794,0.0049632584531853815,0.3129293839196245,0.003649299255542325
6,0.7727566964285715,0.8621800595238095,0.6833333333333333,0.07281707448070635,0.057192505143853295,0.0044185955396535675,0.2713949673190088,0.004684407019675836
7,0.798305431547619,0.8599441964285715,0.7366666666666667,0.061079977656028676,0.04728592775512346,0.0033918847852875723,0.23903979619819962,0.004654731810251936
8,0.7715011160714286,0.8496688988095238,0.6933333333333334,0.05835565329323004,0.045466695179184065,0.0034816344607483695,0.22741788679254268,0.0032869465591669764
9,0.7972433035714286,0.8561532738095238,0.7383333333333333,0.05847833870246471,0.04609405262950629,0.0028813837570892484,0.21731936469852567,0.0037681646804833334
10,0.8066294642857144,0.861592261904762,0.7516666666666667,0.05472822664277684,0.044010830348422736,0.002716891104235869,0.1893125493079424,0.002833561529183614
11,0.7990848214285714,0.8581696428571428,0.74,0.048091746031579945,0.038611486799916335,0.0017989171906669483,0.17740924619584383,0.0010000539394875007
12,0.8005691964285714,0.8528050595238095,0.7483333333333333,0.04864175492147552,0.039137773181525795,0.0022369027029428418,0.17630312813189394,0.0009657783226914914
13,0.773080357142857,0.8494940476190476,0.6966666666666667,0.049740271665111274,0.039639301472855874,0.0020069468745916802,0.16438361868529977,0.00592159979865048
14,0.7514769345238095,0.8362872023809523,0.6666666666666666,0.04399727190242422,0.03405149183655628,0.0015075790149285606,0.1611917164500156,0.006338713877133568
15,0.7885044642857142,0.8436755952380952,0.7333333333333333,0.05202140432327963,0.042948297291381,0.0023712386353513604,0.15158248175225572,0.0040789402627265155
16,0.7789211309523809,0.8478422619047619,0.71,0.040997229639892496,0.03263316051146569,0.0016307901777525928,0.1317802802408616,0.005795587872564276
