BASE_ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_GENERATOR,VOICE_ARCHIVE_ID,VOICE_ARCHIVE_MEMBER,MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_VOCAL_SCREEN,MUSIC_ARCHIVE_ID,MUSIC_ARCHIVE_MEMBER,SNR_DB,OVERLAP_FRACTION,ORDER,GAP_SECONDS,SOURCE_DATASET,PROVENANCE_MODE,VOICE_SOURCE_DATASET
cmbv5_0000,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,librispeech-test-clean:1089-134691-0022,librispeech-test-clean:1089,bonafide,librispeech-test-clean:1089-134691-0022,voice_pool/c506a07928c82f991da3.flac,039316,fma:39316,FMA,unscreened_real_noncausal,RM_039_039316,unmixed_dataset/eval/RM_039_039316.wav,0,1.0,voice_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv5_0001,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,librispeech-test-clean:4970-29095-0038,librispeech-test-clean:4970,bonafide,librispeech-test-clean:4970-29095-0038,voice_pool/22f849249b0b9fb1eafe.flac,030690,fma:30690,FMA,unscreened_real_noncausal,RM_030_030690,unmixed_dataset/eval/RM_030_030690.wav,5,1.0,voice_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv5_0002,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,librispeech-test-clean:3575-170457-0006,librispeech-test-clean:3575,bonafide,librispeech-test-clean:3575-170457-0006,voice_pool/97e4246a6fc2b2a31b93.flac,056652,fma:56652,FMA,unscreened_real_noncausal,RM_056_056652,unmixed_dataset/eval/RM_056_056652.wav,0,1.0,voice_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv5_0003,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,librispeech-test-clean:4992-41797-0006,librispeech-test-clean:4992,bonafide,librispeech-test-clean:4992-41797-0006,voice_pool/779b546b844b733762dd.flac,010698,fma:10698,FMA,unscreened_real_noncausal,RM_010_010698,unmixed_dataset/eval/RM_010_010698.wav,5,1.0,music_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv5_0004,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,librispeech-test-clean:908-31957-0016,librispeech-test-clean:908,bonafide,librispeech-test-clean:908-31957-0016,voice_pool/3c7342cc91e3dd5ec8bd.flac,FM_audioldm2_lDABsoatahM,fmc:lDABsoatahM,audioldm2,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_audioldm2_lDABsoatahM,unmixed_dataset/eval/FM_audioldm2_lDABsoatahM.wav,5,1.0,music_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv5_0005,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,librispeech-test-clean:121-121726-0012,librispeech-test-clean:121,bonafide,librispeech-test-clean:121-121726-0012,voice_pool/a0b55692bc25e75e9e99.flac,FM_audioldm2_aq3vov8-fw8,fmc:aq3vov8-fw8,audioldm2,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_audioldm2_aq3vov8-fw8,unmixed_dataset/eval/FM_audioldm2_aq3vov8-fw8.wav,5,1.0,voice_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv5_0006,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,librispeech-test-clean:8230-279154-0026,librispeech-test-clean:8230,bonafide,librispeech-test-clean:8230-279154-0026,voice_pool/006145414440af924ee0.flac,FM_audioldm2_KUE_I30--AY,fmc:KUE_I30--AY,audioldm2,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_audioldm2_KUE_I30--AY,unmixed_dataset/eval/FM_audioldm2_KUE_I30--AY.wav,10,1.0,voice_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv5_0007,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,librispeech-test-clean:6930-81414-0004,librispeech-test-clean:6930,bonafide,librispeech-test-clean:6930-81414-0004,voice_pool/5bf786d552b11ac36041.flac,FM_audioldm2_grisjVTZeTk,fmc:grisjVTZeTk,audioldm2,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_audioldm2_grisjVTZeTk,unmixed_dataset/eval/FM_audioldm2_grisjVTZeTk.wav,-10,1.0,voice_first,0.0,external_voice_disjoint+MixFake_music,strict,LibriSpeech_test-clean
cmbv5_0008,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,asvspoof2021-df:DF_E_2027299,asvspoof2021-df:VCC2TM2,HUB-N20,asvspoof2021-df:DF_E_2027299,voice_pool/3c9e7dfcef67953e66ff.flac,026765,fma:26765,FMA,unscreened_real_noncausal,RM_026_026765,unmixed_dataset/eval/RM_026_026765.wav,10,1.0,music_first,0.0,external_voice_disjoint+MixFake_music,strict,ASVspoof2021_DF_eval_nocodec
cmbv5_0009,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,asvspoof2021-df:DF_E_2021310,asvspoof2021-df:TMF1,Task2-team13,asvspoof2021-df:DF_E_2021310,voice_pool/ea6a5ce114a724a1e8a0.flac,148626,fma:148626,FMA,unscreened_real_noncausal,RM_148_148626,unmixed_dataset/eval/RM_148_148626.wav,10,1.0,music_first,0.0,external_voice_disjoint+MixFake_music,strict,ASVspoof2021_DF_eval_nocodec
