VOICE_FAKE,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_GENERATOR,VOICE_SOURCE_DATASET,VOICE_ARCHIVE_MEMBER,DURATION,AUDIO_SHA256
0,librispeech-test-clean:1089-134691-0022,librispeech-test-clean:1089,bonafide,LibriSpeech_test-clean,voice_pool/c506a07928c82f991da3.flac,5.635,5b844f3fa16b5df93dc4c00c750a57ed9dbd2ab835a1d107436b1534b2dc9bda
0,librispeech-test-clean:4970-29095-0038,librispeech-test-clean:4970,bonafide,LibriSpeech_test-clean,voice_pool/22f849249b0b9fb1eafe.flac,8.74,1208d9f92b202bc4f5a8ea1ba54f2d0085cc615028fb67a04683ed97c48fd718
0,librispeech-test-clean:3575-170457-0006,librispeech-test-clean:3575,bonafide,LibriSpeech_test-clean,voice_pool/97e4246a6fc2b2a31b93.flac,8.3,04d7f6017cfba4ccd3ed68d04b4edeb62dff1152a49bfce3c82928a1c82a530a
0,librispeech-test-clean:4992-41797-0006,librispeech-test-clean:4992,bonafide,LibriSpeech_test-clean,voice_pool/779b546b844b733762dd.flac,4.55,fd6d47d7b6e8d9c2569ea6d5edb6a65ca8ca43183e4c85091773e0ecd7f91b9d
0,librispeech-test-clean:908-31957-0016,librispeech-test-clean:908,bonafide,LibriSpeech_test-clean,voice_pool/3c7342cc91e3dd5ec8bd.flac,6.48,2a57896e33e6a87debcb741f00196495aa665bb2f0d7c205ac980a8417976d12
0,librispeech-test-clean:121-121726-0012,librispeech-test-clean:121,bonafide,LibriSpeech_test-clean,voice_pool/a0b55692bc25e75e9e99.flac,4.045,6d1fab44fd2e6930a69e1f6f7e52a141ed5290b9a45f56df5e0c3177fa05c6ba
0,librispeech-test-clean:8230-279154-0026,librispeech-test-clean:8230,bonafide,LibriSpeech_test-clean,voice_pool/006145414440af924ee0.flac,9.3,5fbc9e2683d23c73717b8f9ee1436a3b8785e0a54c60d0ce8e39464e4f25d85c
0,librispeech-test-clean:6930-81414-0004,librispeech-test-clean:6930,bonafide,LibriSpeech_test-clean,voice_pool/5bf786d552b11ac36041.flac,9.56,6cf91596efb5a6706ca14a2a7c8a2005012ab77c2f05c56a19b2bd1f3a734838
1,asvspoof2021-df:DF_E_2027299,asvspoof2021-df:VCC2TM2,HUB-N20,ASVspoof2021_DF_eval_nocodec,voice_pool/3c9e7dfcef67953e66ff.flac,4.4950625,0cf41f07888aac497b8dd4ad177f513f4ad98a9e0cfd978b8f034f3ca1db95b6
1,asvspoof2021-df:DF_E_2021310,asvspoof2021-df:TMF1,Task2-team13,ASVspoof2021_DF_eval_nocodec,voice_pool/ea6a5ce114a724a1e8a0.flac,4.504125,d966a6fd0fb487f2a5db3979d0b0ea2ffda1a48a1471ad38f980816431535aa9
1,asvspoof2021-df:DF_E_2043108,asvspoof2021-df:TEF1,Task1-team30,ASVspoof2021_DF_eval_nocodec,voice_pool/2485524a821421f4ce03.flac,4.2125,1b7753101f3439edc681def636991e6e940daf6cb1d6d00713245143ceb2c393
1,asvspoof2021-df:DF_E_2007251,asvspoof2021-df:TEM2,Task1-team16,ASVspoof2021_DF_eval_nocodec,voice_pool/98f03bf1010610f4209d.flac,4.86,68215c0fe655932184f0d2755ed7623c6ba19b96045e557dee90fd1bfbeb196a
1,asvspoof2021-df:DF_E_2046926,asvspoof2021-df:VCC2TF2,SPO-N16,ASVspoof2021_DF_eval_nocodec,voice_pool/4b04bba9464e57bf6ef3.flac,4.4550625,706866395d1899a6cfafdd2a4a4a115d73cf7dd052707673308b1f0f75564096
1,asvspoof2021-df:DF_E_2061138,asvspoof2021-df:TMF1,Task2-team24,ASVspoof2021_DF_eval_nocodec,voice_pool/f1aa43ecfc5f086a404a.flac,4.17,e515c763cea5c9f793f8cd01e01f2c893261d93f98020f94718616b9d0bd7011
1,asvspoof2021-df:DF_E_2070747,asvspoof2021-df:TEF1,Task1-team12,ASVspoof2021_DF_eval_nocodec,voice_pool/4f7e714702815448c68f.flac,4.4300625,910e9e7696db642856e2576b2d9db054cbd70a8280fe72f072ff5830680de662
1,asvspoof2021-df:DF_E_2059764,asvspoof2021-df:TEM1,Task1-team20,ASVspoof2021_DF_eval_nocodec,voice_pool/d760e8b9734a80163eeb.flac,4.125,e60b1609eb9f358a73efa412c85b9414cf13060f14040821de2ebc39bb57dcd7
0,librispeech-test-clean:8224-274381-0000,librispeech-test-clean:8224,bonafide,LibriSpeech_test-clean,voice_pool/a9bc5189ded4a60769fe.flac,17.74,4339631344dbb058d76477692992ade4b209993e64ecea0fb031b96c6babcd49
0,librispeech-test-clean:3729-6852-0004,librispeech-test-clean:3729,bonafide,LibriSpeech_test-clean,voice_pool/bbc735bb936feb01fb62.flac,16.46,a28527b341e53b0ec63f5ad3666343c7138c1468ee1ea81a9b101bae3e4e490d
0,librispeech-test-clean:61-70968-0032,librispeech-test-clean:61,bonafide,LibriSpeech_test-clean,voice_pool/8be3b0c02394a9fa173e.flac,4.28,497006ada4c10096ef6a96908bb6df8374c130125d4ac246eecee2db9fa0a2bd
0,librispeech-test-clean:237-134500-0012,librispeech-test-clean:237,bonafide,LibriSpeech_test-clean,voice_pool/da08005c47558c09e5c0.flac,10.935,11e887289273c643a9e2263eaf659cab1cef187ab1a82622e7fc0a7ce121b76b
0,librispeech-test-clean:7176-92135-0042,librispeech-test-clean:7176,bonafide,LibriSpeech_test-clean,voice_pool/af0fc6db692f93471c53.flac,7.27,b1c7d947268b3e4cbef60f1f9f5d51ef027dd36565f49d6e21e24f7a4dc8e550
0,librispeech-test-clean:2300-131720-0038,librispeech-test-clean:2300,bonafide,LibriSpeech_test-clean,voice_pool/acaff6cb19a5c0647233.flac,5.61,c5906494d7d45442ea8d1c8fd544097d57df7bf77b8698b474b867f711677772
0,librispeech-test-clean:7127-75947-0035,librispeech-test-clean:7127,bonafide,LibriSpeech_test-clean,voice_pool/0c9ff7e0483f08cb2a5f.flac,4.415,5cc175bf35b5c772ec80bae12e0981637fad765865ff5b1012e0ce18a91a63e0
0,librispeech-test-clean:6829-68769-0005,librispeech-test-clean:6829,bonafide,LibriSpeech_test-clean,voice_pool/6d7bf8937e8ec47d0ce7.flac,6.72,da11fbd6ef35233d5c73df84efcbeb982f73b04e50c4bcbf09c706fa53ab8a48
1,asvspoof2021-df:DF_E_2035331,asvspoof2021-df:VCC2TM2,HUB-N15,ASVspoof2021_DF_eval_nocodec,voice_pool/6ab18c23b06bdd0764e7.flac,4.5900625,9aebff2098c3843f621e91cfe89a4b41ae5286e319372368900f4316f9edb0af
1,asvspoof2021-df:DF_E_2050523,asvspoof2021-df:VCC2TF1,HUB-N18,ASVspoof2021_DF_eval_nocodec,voice_pool/a3e92eab5658c5f2cc38.flac,6.2100625,8de7e474a18069cfce680863622e1b4da310ffb1a7cc21d6ab87884c0af1d0e3
1,asvspoof2021-df:DF_E_2022203,asvspoof2021-df:VCC2TF1,HUB-N09,ASVspoof2021_DF_eval_nocodec,voice_pool/cff6e2df89d95b66d74b.flac,4.316875,4789ba9071fe58d28a0c63c1de489e9707ce0883f18e244a3f6eb1ef99672f8d
1,asvspoof2021-df:DF_E_2036411,asvspoof2021-df:TGM1,Task2-team20,ASVspoof2021_DF_eval_nocodec,voice_pool/a28169366f5f096e3fed.flac,4.375,b61c9356065f817c3ecb2b7c27b74beef5b454ca17c36af9049dc4c4f8c9e663
1,asvspoof2021-df:DF_E_2024524,asvspoof2021-df:TGF1,Task2-team05,ASVspoof2021_DF_eval_nocodec,voice_pool/babfae89846b1659807f.flac,4.465,ef4d4413a711518c02b3fcb01448ba9125f59b4308aad96fec6e4b5710640bc0
1,asvspoof2021-df:DF_E_2071930,asvspoof2021-df:VCC2TM1,HUB-N07,ASVspoof2021_DF_eval_nocodec,voice_pool/d590304e8c22838ca301.flac,7.7050625,a610abf8e6852b14025ad82cc70f0446167339a470ff3958f5c6b8c665aa9505
1,asvspoof2021-df:DF_E_2066804,asvspoof2021-df:TFM1,Task2-team23,ASVspoof2021_DF_eval_nocodec,voice_pool/382f38c89bcb0d18d259.flac,4.3,d5e0a192a483de54f1fb2cf2ba7bbe5b2cfabab832b43a3ac527a0f61aa76f17
1,asvspoof2021-df:DF_E_2012549,asvspoof2021-df:TGM1,Task2-team10,ASVspoof2021_DF_eval_nocodec,voice_pool/c6da0d016793cd2d8586.flac,5.42,e566ba7e2d137a1f7c6465c669c15f2ffa3059a364610750da311bc7bac8755a
0,librispeech-test-clean:2830-3979-0003,librispeech-test-clean:2830,bonafide,LibriSpeech_test-clean,voice_pool/a015b0b7576f9b1287e0.flac,8.085,1c9efaa4c501d7d3a27948e262ea7c00475621347e7aaf5303a40a8839d411d9
0,librispeech-test-clean:1188-133604-0027,librispeech-test-clean:1188,bonafide,LibriSpeech_test-clean,voice_pool/878ada7bca7d06cecb7a.flac,11.245,4318521c4bbefddfd0751a3de8b9ab7e1fdb3ee009b9e2c4e85e7d229df82196
0,librispeech-test-clean:672-122797-0071,librispeech-test-clean:672,bonafide,LibriSpeech_test-clean,voice_pool/f9f4a3be2d03acc7043e.flac,8.875,40ebbc169b5ca7ec08388a6da104f97b04641eb3fe46b6389c4b9a9c22ba6071
0,librispeech-test-clean:4507-16021-0013,librispeech-test-clean:4507,bonafide,LibriSpeech_test-clean,voice_pool/986a61455e4bf479b534.flac,10.44,7a072e7ecf9134c4c67790d211518a178d49463b7791c153b577a7a2c1500a22
0,librispeech-test-clean:7021-79740-0004,librispeech-test-clean:7021,bonafide,LibriSpeech_test-clean,voice_pool/c0020cb03089171daca7.flac,6.465,7f83b380ae6731aac968045227a931098cd48e261b214f859efd77c1ca5fa1ab
0,librispeech-test-clean:5105-28240-0022,librispeech-test-clean:5105,bonafide,LibriSpeech_test-clean,voice_pool/9c85eed4d7cae67c66aa.flac,4.725,ba22adab23b26cd2cfa9eef01535070dcecff011067ee910274bb151ff1214ea
0,librispeech-test-clean:7729-102255-0012,librispeech-test-clean:7729,bonafide,LibriSpeech_test-clean,voice_pool/7800ce89c40853dfb009.flac,4.075,438b540a2a84f8a9ffcec80aae8ab08dd95a1d9f829eeb89164192978d5672cd
0,librispeech-test-clean:1995-1837-0007,librispeech-test-clean:1995,bonafide,LibriSpeech_test-clean,voice_pool/f9082480fec72273be23.flac,8.8,3e84683f6dba69e829f224ba08f031b1016343d0cc49bb9dd2f2a57435990158
1,asvspoof2021-df:DF_E_2068075,asvspoof2021-df:TGF1,Task2-team15,ASVspoof2021_DF_eval_nocodec,voice_pool/ad011adf325e1dd4cb7a.flac,4.2725,f0ab3a74e3691e4e77512689ca33365bf6f50fb75614d8fd20d9da4cde4fccc1
1,asvspoof2021-df:DF_E_2049417,asvspoof2021-df:VCC2TM1,HUB-D05,ASVspoof2021_DF_eval_nocodec,voice_pool/e065c423b6c0f0ccd0c9.flac,5.3300625,b53204d1f86b7d8a21b6a6ce2ec5cdc669883fbcd43c73debbc0337701c98cc0
1,asvspoof2021-df:DF_E_2013955,asvspoof2021-df:VCC2TF2,HUB-D01,ASVspoof2021_DF_eval_nocodec,voice_pool/2266375e5c6c094501fe.flac,4.0498125,33ef158e33633b0023bd8f1c765eb67294cafc4f17bd7535421c6f2bd8e2663c
1,asvspoof2021-df:DF_E_2048345,asvspoof2021-df:TMM1,Task2-team16,ASVspoof2021_DF_eval_nocodec,voice_pool/dac160561a4e1372dea3.flac,4.83,27496025d76a2abca227a80ac675900469ca589560524822e3aa5b1b54734996
1,asvspoof2021-df:DF_E_2064778,asvspoof2021-df:TEM1,Task1-team32,ASVspoof2021_DF_eval_nocodec,voice_pool/640048e6d44bb52ace13.flac,4.2,7a45c92609f64a418d86268dfc8b0a1913315835774f6b6d1017b2018b12b5cf
1,asvspoof2021-df:DF_E_2020951,asvspoof2021-df:TEF2,Task1-team17,ASVspoof2021_DF_eval_nocodec,voice_pool/26cbdc3ebd7688d31abd.flac,4.288,4f76f0484d4de355b6976b698835a1b9c0a0abf1a7a53f076da524fb260c71e4
1,asvspoof2021-df:DF_E_2005795,asvspoof2021-df:TMM1,Task2-team29,ASVspoof2021_DF_eval_nocodec,voice_pool/df8b27133bcdc4492635.flac,4.15,e2fc3598b1c9c05a620bc88609f136f51f669dbcc95ba78d712c46486f66f7e6
1,asvspoof2021-df:DF_E_2026065,asvspoof2021-df:TEM2,Task1-team08,ASVspoof2021_DF_eval_nocodec,voice_pool/aa3810af55bac73c1312.flac,4.05,86c2158266c51300078879980c5fd2c594a0471d71357f7d36d9acb6cdd2f014
