KIND,CANONICAL_GROUP,SOURCE_ID,ARCHIVE_ID,ARCHIVE_MEMBER,ARCHIVE_TARGET
music,fmc:AgJH6Ul1EFg,FM_MusicGen_medium_AgJH6Ul1EFg,FM_MusicGen_medium_AgJH6Ul1EFg,unmixed_dataset/eval/FM_MusicGen_medium_AgJH6Ul1EFg.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_AgJH6Ul1EFg.wav
music,fmc:BBmXMoI9Qus,FM_MusicGen_medium_BBmXMoI9Qus,FM_MusicGen_medium_BBmXMoI9Qus,unmixed_dataset/eval/FM_MusicGen_medium_BBmXMoI9Qus.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_BBmXMoI9Qus.wav
music,fmc:NmwmOY6iBFg,FM_MusicGen_medium_NmwmOY6iBFg,FM_MusicGen_medium_NmwmOY6iBFg,unmixed_dataset/eval/FM_MusicGen_medium_NmwmOY6iBFg.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_NmwmOY6iBFg.wav
music,fmc:fUC45bzOOJw,FM_MusicGen_medium_fUC45bzOOJw,FM_MusicGen_medium_fUC45bzOOJw,unmixed_dataset/eval/FM_MusicGen_medium_fUC45bzOOJw.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_fUC45bzOOJw.wav
music,fmc:msnm_tYXcYw,FM_MusicGen_medium_msnm_tYXcYw,FM_MusicGen_medium_msnm_tYXcYw,unmixed_dataset/eval/FM_MusicGen_medium_msnm_tYXcYw.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_msnm_tYXcYw.wav
music,fmc:rPAB0ymJGco,FM_MusicGen_medium_rPAB0ymJGco,FM_MusicGen_medium_rPAB0ymJGco,unmixed_dataset/eval/FM_MusicGen_medium_rPAB0ymJGco.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_rPAB0ymJGco.wav
music,fmc:r_TgaHCsYB0,FM_MusicGen_medium_r_TgaHCsYB0,FM_MusicGen_medium_r_TgaHCsYB0,unmixed_dataset/eval/FM_MusicGen_medium_r_TgaHCsYB0.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_r_TgaHCsYB0.wav
music,fmc:rsvHQCTgHvg,FM_MusicGen_medium_rsvHQCTgHvg,FM_MusicGen_medium_rsvHQCTgHvg,unmixed_dataset/eval/FM_MusicGen_medium_rsvHQCTgHvg.wav,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_rsvHQCTgHvg.wav
music,fmc:AAFsg91kje4,FM_audioldm2_AAFsg91kje4,FM_audioldm2_AAFsg91kje4,unmixed_dataset/eval/FM_audioldm2_AAFsg91kje4.wav,MixFake/unmixed_dataset/eval/FM_audioldm2_AAFsg91kje4.wav
music,fmc:F9LJIyqQFe8,FM_audioldm2_F9LJIyqQFe8,FM_audioldm2_F9LJIyqQFe8,unmixed_dataset/eval/FM_audioldm2_F9LJIyqQFe8.wav,MixFake/unmixed_dataset/eval/FM_audioldm2_F9LJIyqQFe8.wav
music,fmc:V9jIsOTC1lY,FM_audioldm2_V9jIsOTC1lY,FM_audioldm2_V9jIsOTC1lY,unmixed_dataset/eval/FM_audioldm2_V9jIsOTC1lY.wav,MixFake/unmixed_dataset/eval/FM_audioldm2_V9jIsOTC1lY.wav
music,fmc:WKL40jfQD3g,FM_audioldm2_WKL40jfQD3g,FM_audioldm2_WKL40jfQD3g,unmixed_dataset/eval/FM_audioldm2_WKL40jfQD3g.wav,MixFake/unmixed_dataset/eval/FM_audioldm2_WKL40jfQD3g.wav
music,fmc:bTLgeqCaYMY,FM_audioldm2_bTLgeqCaYMY,FM_audioldm2_bTLgeqCaYMY,unmixed_dataset/eval/FM_audioldm2_bTLgeqCaYMY.wav,MixFake/unmixed_dataset/eval/FM_audioldm2_bTLgeqCaYMY.wav
music,fmc:mOmYcOBqhwo,FM_audioldm2_mOmYcOBqhwo,FM_audioldm2_mOmYcOBqhwo,unmixed_dataset/eval/FM_audioldm2_mOmYcOBqhwo.wav,MixFake/unmixed_dataset/eval/FM_audioldm2_mOmYcOBqhwo.wav
music,fmc:qtnE1hnCD0M,FM_audioldm2_qtnE1hnCD0M,FM_audioldm2_qtnE1hnCD0M,unmixed_dataset/eval/FM_audioldm2_qtnE1hnCD0M.wav,MixFake/unmixed_dataset/eval/FM_audioldm2_qtnE1hnCD0M.wav
music,fmc:wTPI3MHqxSQ,FM_audioldm2_wTPI3MHqxSQ,FM_audioldm2_wTPI3MHqxSQ,unmixed_dataset/eval/FM_audioldm2_wTPI3MHqxSQ.wav,MixFake/unmixed_dataset/eval/FM_audioldm2_wTPI3MHqxSQ.wav
music,fmc:-eDAoheZrY8,FM_stable_audio_open_-eDAoheZrY8,FM_stable_audio_open_-eDAoheZrY8,unmixed_dataset/eval/FM_stable_audio_open_-eDAoheZrY8.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open_-eDAoheZrY8.wav
music,fmc:Dx58W7opw5A,FM_stable_audio_open_Dx58W7opw5A,FM_stable_audio_open_Dx58W7opw5A,unmixed_dataset/eval/FM_stable_audio_open_Dx58W7opw5A.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open_Dx58W7opw5A.wav
