SOURCE_ID,CANONICAL_GROUP,GENERATOR,ARCHIVE_ID,ARCHIVE_MEMBER,KIND,ARCHIVE_TARGET
FM_MusicGen_medium_CyFsI_EYFQQ,fmc:CyFsI_EYFQQ,MusicGen_medium,FM_MusicGen_medium_CyFsI_EYFQQ,unmixed_dataset/eval/FM_MusicGen_medium_CyFsI_EYFQQ.wav,music,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_CyFsI_EYFQQ.wav
FM_MusicGen_medium_GzRvq0gJbj0,fmc:GzRvq0gJbj0,MusicGen_medium,FM_MusicGen_medium_GzRvq0gJbj0,unmixed_dataset/eval/FM_MusicGen_medium_GzRvq0gJbj0.wav,music,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_GzRvq0gJbj0.wav
FM_MusicGen_medium_PKJMsnUJ994,fmc:PKJMsnUJ994,MusicGen_medium,FM_MusicGen_medium_PKJMsnUJ994,unmixed_dataset/eval/FM_MusicGen_medium_PKJMsnUJ994.wav,music,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_PKJMsnUJ994.wav
FM_MusicGen_medium_a4jcJ7QZ-OQ,fmc:a4jcJ7QZ-OQ,MusicGen_medium,FM_MusicGen_medium_a4jcJ7QZ-OQ,unmixed_dataset/eval/FM_MusicGen_medium_a4jcJ7QZ-OQ.wav,music,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_a4jcJ7QZ-OQ.wav
FM_MusicGen_medium_nW6Naj6eeI4,fmc:nW6Naj6eeI4,MusicGen_medium,FM_MusicGen_medium_nW6Naj6eeI4,unmixed_dataset/eval/FM_MusicGen_medium_nW6Naj6eeI4.wav,music,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_nW6Naj6eeI4.wav
FM_MusicGen_medium_sDoV3sMgDhE,fmc:sDoV3sMgDhE,MusicGen_medium,FM_MusicGen_medium_sDoV3sMgDhE,unmixed_dataset/eval/FM_MusicGen_medium_sDoV3sMgDhE.wav,music,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_sDoV3sMgDhE.wav
FM_MusicGen_medium_vOU-qA25xNM,fmc:vOU-qA25xNM,MusicGen_medium,FM_MusicGen_medium_vOU-qA25xNM,unmixed_dataset/eval/FM_MusicGen_medium_vOU-qA25xNM.wav,music,MixFake/unmixed_dataset/eval/FM_MusicGen_medium_vOU-qA25xNM.wav
FM_audioldm2_8q0An6WY7_c,fmc:8q0An6WY7_c,audioldm2,FM_audioldm2_8q0An6WY7_c,unmixed_dataset/eval/FM_audioldm2_8q0An6WY7_c.wav,music,MixFake/unmixed_dataset/eval/FM_audioldm2_8q0An6WY7_c.wav
FM_audioldm2_CKEPPcaCjbw,fmc:CKEPPcaCjbw,audioldm2,FM_audioldm2_CKEPPcaCjbw,unmixed_dataset/eval/FM_audioldm2_CKEPPcaCjbw.wav,music,MixFake/unmixed_dataset/eval/FM_audioldm2_CKEPPcaCjbw.wav
FM_audioldm2_Mir959i7F2M,fmc:Mir959i7F2M,audioldm2,FM_audioldm2_Mir959i7F2M,unmixed_dataset/eval/FM_audioldm2_Mir959i7F2M.wav,music,MixFake/unmixed_dataset/eval/FM_audioldm2_Mir959i7F2M.wav
FM_audioldm2_N_41Y2vH6eA,fmc:N_41Y2vH6eA,audioldm2,FM_audioldm2_N_41Y2vH6eA,unmixed_dataset/eval/FM_audioldm2_N_41Y2vH6eA.wav,music,MixFake/unmixed_dataset/eval/FM_audioldm2_N_41Y2vH6eA.wav
FM_audioldm2_XvN-qr-WYmw,fmc:XvN-qr-WYmw,audioldm2,FM_audioldm2_XvN-qr-WYmw,unmixed_dataset/eval/FM_audioldm2_XvN-qr-WYmw.wav,music,MixFake/unmixed_dataset/eval/FM_audioldm2_XvN-qr-WYmw.wav
FM_audioldm2_fjxD32KIHgE,fmc:fjxD32KIHgE,audioldm2,FM_audioldm2_fjxD32KIHgE,unmixed_dataset/eval/FM_audioldm2_fjxD32KIHgE.wav,music,MixFake/unmixed_dataset/eval/FM_audioldm2_fjxD32KIHgE.wav
FM_audioldm2_nVSDv46ARvY,fmc:nVSDv46ARvY,audioldm2,FM_audioldm2_nVSDv46ARvY,unmixed_dataset/eval/FM_audioldm2_nVSDv46ARvY.wav,music,MixFake/unmixed_dataset/eval/FM_audioldm2_nVSDv46ARvY.wav
FM_musicldm_-kpR93atgd8,fmc:-kpR93atgd8,musicldm,FM_musicldm_-kpR93atgd8,unmixed_dataset/eval/FM_musicldm_-kpR93atgd8.wav,music,MixFake/unmixed_dataset/eval/FM_musicldm_-kpR93atgd8.wav
FM_musicldm_Fsv_syCvzsc,fmc:Fsv_syCvzsc,musicldm,FM_musicldm_Fsv_syCvzsc,unmixed_dataset/eval/FM_musicldm_Fsv_syCvzsc.wav,music,MixFake/unmixed_dataset/eval/FM_musicldm_Fsv_syCvzsc.wav
FM_musicldm_IUjzBX2Qm4k,fmc:IUjzBX2Qm4k,musicldm,FM_musicldm_IUjzBX2Qm4k,unmixed_dataset/eval/FM_musicldm_IUjzBX2Qm4k.wav,music,MixFake/unmixed_dataset/eval/FM_musicldm_IUjzBX2Qm4k.wav
FM_musicldm_KnZeEWVHaLc,fmc:KnZeEWVHaLc,musicldm,FM_musicldm_KnZeEWVHaLc,unmixed_dataset/eval/FM_musicldm_KnZeEWVHaLc.wav,music,MixFake/unmixed_dataset/eval/FM_musicldm_KnZeEWVHaLc.wav
FM_musicldm_emP2Sg9QEg4,fmc:emP2Sg9QEg4,musicldm,FM_musicldm_emP2Sg9QEg4,unmixed_dataset/eval/FM_musicldm_emP2Sg9QEg4.wav,music,MixFake/unmixed_dataset/eval/FM_musicldm_emP2Sg9QEg4.wav
FM_musicldm_hhVFK9tYu84,fmc:hhVFK9tYu84,musicldm,FM_musicldm_hhVFK9tYu84,unmixed_dataset/eval/FM_musicldm_hhVFK9tYu84.wav,music,MixFake/unmixed_dataset/eval/FM_musicldm_hhVFK9tYu84.wav
FM_musicldm_s1eMgmzCMDM,fmc:s1eMgmzCMDM,musicldm,FM_musicldm_s1eMgmzCMDM,unmixed_dataset/eval/FM_musicldm_s1eMgmzCMDM.wav,music,MixFake/unmixed_dataset/eval/FM_musicldm_s1eMgmzCMDM.wav
FM_mustango_4yJZ4VX8XQI,fmc:4yJZ4VX8XQI,mustango,FM_mustango_4yJZ4VX8XQI,unmixed_dataset/eval/FM_mustango_4yJZ4VX8XQI.wav,music,MixFake/unmixed_dataset/eval/FM_mustango_4yJZ4VX8XQI.wav
FM_mustango_CZZSQ6rd8h0,fmc:CZZSQ6rd8h0,mustango,FM_mustango_CZZSQ6rd8h0,unmixed_dataset/eval/FM_mustango_CZZSQ6rd8h0.wav,music,MixFake/unmixed_dataset/eval/FM_mustango_CZZSQ6rd8h0.wav
FM_mustango_JRfU_hF1wdM,fmc:JRfU_hF1wdM,mustango,FM_mustango_JRfU_hF1wdM,unmixed_dataset/eval/FM_mustango_JRfU_hF1wdM.wav,music,MixFake/unmixed_dataset/eval/FM_mustango_JRfU_hF1wdM.wav
FM_mustango_JpMHnsdsCiY,fmc:JpMHnsdsCiY,mustango,FM_mustango_JpMHnsdsCiY,unmixed_dataset/eval/FM_mustango_JpMHnsdsCiY.wav,music,MixFake/unmixed_dataset/eval/FM_mustango_JpMHnsdsCiY.wav
FM_mustango_QNQ3sAMxZPY,fmc:QNQ3sAMxZPY,mustango,FM_mustango_QNQ3sAMxZPY,unmixed_dataset/eval/FM_mustango_QNQ3sAMxZPY.wav,music,MixFake/unmixed_dataset/eval/FM_mustango_QNQ3sAMxZPY.wav
FM_mustango_XjGm3Bn4j5k,fmc:XjGm3Bn4j5k,mustango,FM_mustango_XjGm3Bn4j5k,unmixed_dataset/eval/FM_mustango_XjGm3Bn4j5k.wav,music,MixFake/unmixed_dataset/eval/FM_mustango_XjGm3Bn4j5k.wav
FM_mustango_fa0lR26K23E,fmc:fa0lR26K23E,mustango,FM_mustango_fa0lR26K23E,unmixed_dataset/eval/FM_mustango_fa0lR26K23E.wav,music,MixFake/unmixed_dataset/eval/FM_mustango_fa0lR26K23E.wav
FM_mustango_tw8-TlQBcBA,fmc:tw8-TlQBcBA,mustango,FM_mustango_tw8-TlQBcBA,unmixed_dataset/eval/FM_mustango_tw8-TlQBcBA.wav,music,MixFake/unmixed_dataset/eval/FM_mustango_tw8-TlQBcBA.wav
FM_stable_audio_open_JL9Xxzf9e2A,fmc:JL9Xxzf9e2A,stable_audio_open,FM_stable_audio_open_JL9Xxzf9e2A,unmixed_dataset/eval/FM_stable_audio_open_JL9Xxzf9e2A.wav,music,MixFake/unmixed_dataset/eval/FM_stable_audio_open_JL9Xxzf9e2A.wav
FM_stable_audio_open_Q8QXzYpl6Tw,fmc:Q8QXzYpl6Tw,stable_audio_open,FM_stable_audio_open_Q8QXzYpl6Tw,unmixed_dataset/eval/FM_stable_audio_open_Q8QXzYpl6Tw.wav,music,MixFake/unmixed_dataset/eval/FM_stable_audio_open_Q8QXzYpl6Tw.wav
FM_stable_audio_open_XJ3VlCAIWQ0,fmc:XJ3VlCAIWQ0,stable_audio_open,FM_stable_audio_open_XJ3VlCAIWQ0,unmixed_dataset/eval/FM_stable_audio_open_XJ3VlCAIWQ0.wav,music,MixFake/unmixed_dataset/eval/FM_stable_audio_open_XJ3VlCAIWQ0.wav
FM_stable_audio_open_YyYEzAY2e2I,fmc:YyYEzAY2e2I,stable_audio_open,FM_stable_audio_open_YyYEzAY2e2I,unmixed_dataset/eval/FM_stable_audio_open_YyYEzAY2e2I.wav,music,MixFake/unmixed_dataset/eval/FM_stable_audio_open_YyYEzAY2e2I.wav
FM_stable_audio_open_ftaHv79hRoY,fmc:ftaHv79hRoY,stable_audio_open,FM_stable_audio_open_ftaHv79hRoY,unmixed_dataset/eval/FM_stable_audio_open_ftaHv79hRoY.wav,music,MixFake/unmixed_dataset/eval/FM_stable_audio_open_ftaHv79hRoY.wav
FM_stable_audio_open_hqCJarP-nVI,fmc:hqCJarP-nVI,stable_audio_open,FM_stable_audio_open_hqCJarP-nVI,unmixed_dataset/eval/FM_stable_audio_open_hqCJarP-nVI.wav,music,MixFake/unmixed_dataset/eval/FM_stable_audio_open_hqCJarP-nVI.wav
