encoder,pooling,epoch,task,base_count,rows,repetitions,delta_eer_ci_low,delta_eer_ci_high,sign,anchor_eer,candidate_eer
eat_large,mean,6,FILE,120,600,500,-0.040000000000000036,0.08338888888888885,candidate minus anchor; negative is better,0.2333333333333333,0.2466666666666667
eat_large,mean,6,VOICE,120,600,500,-0.003416666666666684,0.13920833333333332,candidate minus anchor; negative is better,0.20666666666666667,0.27
eat_large,mean,6,MUSIC,120,600,500,-0.09420833333333332,0.02254166666666662,candidate minus anchor; negative is better,0.2533333333333333,0.21333333333333337
eat_large,attention,6,FILE,120,600,500,-0.011111111111111101,0.13227777777777774,candidate minus anchor; negative is better,0.2333333333333333,0.28
eat_large,attention,6,VOICE,120,600,500,-0.003333333333333343,0.1433333333333334,candidate minus anchor; negative is better,0.20666666666666667,0.27
eat_large,attention,6,MUSIC,120,600,500,-0.04666666666666665,0.0684166666666666,candidate minus anchor; negative is better,0.2533333333333333,0.2633333333333333
spear,mean,6,FILE,120,600,500,-0.07502777777777776,0.041111111111111154,candidate minus anchor; negative is better,0.2333333333333333,0.2011111111111111
spear,mean,6,VOICE,120,600,500,-0.10175000000000001,0.041666666666666685,candidate minus anchor; negative is better,0.20666666666666667,0.17333333333333334
spear,mean,6,MUSIC,120,600,500,-0.07754166666666665,0.038333333333333344,candidate minus anchor; negative is better,0.2533333333333333,0.22999999999999998
spear,attention,6,FILE,120,600,500,-0.06561111111111113,0.06391666666666665,candidate minus anchor; negative is better,0.2333333333333333,0.23222222222222225
spear,attention,6,VOICE,120,600,500,-0.090875,0.05166666666666668,candidate minus anchor; negative is better,0.20666666666666667,0.19333333333333336
spear,attention,6,MUSIC,120,600,500,-0.09087499999999996,0.018333333333333313,candidate minus anchor; negative is better,0.2533333333333333,0.21333333333333337
xlsr,mean,6,FILE,120,600,500,-0.04227777777777777,0.06,candidate minus anchor; negative is better,0.2333333333333333,0.2333333333333333
xlsr,mean,6,VOICE,120,600,500,-0.08087500000000004,0.04420833333333329,candidate minus anchor; negative is better,0.20666666666666667,0.18000000000000002
xlsr,mean,6,MUSIC,120,600,500,-0.016666666666666705,0.09166666666666667,candidate minus anchor; negative is better,0.2533333333333333,0.2866666666666666
xlsr,attention,6,FILE,120,600,500,-0.013333333333333338,0.10169444444444443,candidate minus anchor; negative is better,0.2333333333333333,0.2677777777777778
xlsr,attention,6,VOICE,120,600,500,-0.06754166666666668,0.05499999999999999,candidate minus anchor; negative is better,0.20666666666666667,0.19999999999999998
xlsr,attention,6,MUSIC,120,600,500,0.003333333333333352,0.11333333333333337,candidate minus anchor; negative is better,0.2533333333333333,0.31000000000000005
