axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
DATASET,asvspoof_voice_wav_dev_v1,176,176,176,0,0.06821705426356589,0.11369509043927647,,,,,,
DATASET,codec_mixed_dev_v4,600,600,600,600,0.2011111111111111,0.17333333333333334,0.22999999999999998,,,0.7957777777777778,,
DATASET,echoes_fma_paired_v3,111,111,0,111,0.14415584415584418,,0.12613636363636366,,,,,
DATASET,external_mixed_v1,400,400,400,400,0.18833333333333332,0.15500000000000003,0.15500000000000003,,,0.8283333333333334,,
DATASET,external_mixed_v1_telephone_v1,400,400,400,400,0.16000000000000003,0.15500000000000003,0.18000000000000002,,,0.835,,
DATASET,factorial_eval_1200_v2,400,400,350,350,0.27054545454545453,0.34857142857142853,0.2114285714285714,0.9949714285714286,0.9922285714285715,0.7315844155844156,0.9936,0.757785974025974
DATASET,mixfake_music_dev_v1,1600,1600,1600,1600,0.12958333333333333,0.06374999999999999,0.17625000000000002,,,0.8695833333333334,,
DATASET,multigen_voice_v2,90,90,90,0,0.1333333333333333,0.16666666666666663,,,,,,
DATASET,source_disjoint_mixed_v1,200,200,200,200,0.16000000000000003,0.17000000000000004,0.14,,,0.844,,
DATASET,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.20333333333333334,0.18999999999999997,0.24,,,0.7883333333333333,,
DATASET,source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.04000000000000002,,,,,
CHANNEL_V57,clean,120,120,120,120,0.12777777777777777,0.16666666666666663,0.08333333333333334,,,0.8777777777777778,,
CHANNEL_V57,clean_flac,66,66,58,58,0.24456521739130432,0.4137931034482759,0.25833333333333336,1.0,1.0,0.7174587706146927,1.0,0.7457128935532233
CHANNEL_V57,common_flac16k,511,511,0,511,0.06653645833333333,,0.05870863970588236,,,,,
CHANNEL_V57,flac16k,600,600,600,600,0.17333333333333334,0.16333333333333333,0.1433333333333333,,,0.8376666666666667,,
CHANNEL_V57,g711_ulaw,120,120,120,120,0.19999999999999998,0.18333333333333335,0.18333333333333335,,,0.8083333333333333,,
CHANNEL_V57,g722_wb,120,120,120,120,0.1333333333333333,0.15000000000000002,0.09999999999999999,,,0.8733333333333334,,
CHANNEL_V57,mp3_64k,67,67,58,59,0.2841614906832298,0.3448275862068966,0.20344827586206893,0.9980842911877394,1.0,0.727919254658385,0.9990421455938697,0.7550315437519335
CHANNEL_V57,noisy_flac,66,66,58,58,0.24126984126984127,0.3448275862068966,0.17261904761904762,0.9978448275862069,1.0,0.7586138478379858,0.9989224137931034,0.7826447044334977
CHANNEL_V57,ogg_48k,67,67,59,58,0.2841614906832298,0.37298850574712644,0.20714285714285716,1.0,1.0,0.7211786963661027,1.0,0.7490608267294924
CHANNEL_V57,opus_nb_8k,120,120,120,120,0.2944444444444444,0.18333333333333335,0.31666666666666665,,,0.7211111111111111,,
CHANNEL_V57,stereo_wav,67,67,59,58,0.2696969696969697,0.271264367816092,0.17261904761904762,0.9936440677966102,1.0,0.7591129273025825,0.9968220338983051,0.7828838379621548
CHANNEL_V57,telephone8k,600,600,600,600,0.18000000000000002,0.17000000000000004,0.19666666666666666,,,0.817,,
CHANNEL_V57,telephone_flac,67,67,58,59,0.298936170212766,0.24137931034482762,0.2540322580645161,1.0,0.989406779661017,0.7260463754052966,0.9947033898305084,0.7529120768478179
CHANNEL_V57,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.2333333333333333,0.30000000000000004,,,0.7133333333333333,,
CHANNEL_V57,unknown,90,90,90,0,0.1333333333333333,0.16666666666666663,,,,,,
CHANNEL_V57,wav,176,176,176,0,0.06821705426356589,0.11369509043927647,,,,,,
CHANNEL_V57,wav16k,1600,1600,1600,1600,0.12958333333333333,0.06374999999999999,0.17625000000000002,,,0.8695833333333334,,
LAYOUT_V57,concurrent,1900,1900,1900,1900,0.15192982456140353,0.0936842105263158,0.1936842105263158,,,0.8471929824561403,,
LAYOUT_V57,music_only,50,50,0,50,0.19999999999999998,,0.16000000000000003,,,,,
LAYOUT_V57,partial_overlap,300,300,300,300,0.28,0.22666666666666668,0.19999999999999998,,,0.7546666666666666,,
LAYOUT_V57,sequential,900,900,900,900,0.16444444444444442,0.14444444444444446,0.15111111111111108,,,0.8435555555555556,,
LAYOUT_V57,simultaneous,600,600,600,600,0.22666666666666668,0.21999999999999997,0.20999999999999996,,,0.7796666666666666,,
LAYOUT_V57,source_disjoint,400,400,0,400,0.030000000000000013,,0.04000000000000002,,,,,
LAYOUT_V57,source_matched_instrumental,61,61,0,61,0.009090909090909094,,0.009090909090909094,,,,,
LAYOUT_V57,speech_only,266,266,266,0,0.24069634703196346,0.1993150684931507,,,,,,
LAYOUT_V57,voice_only,50,50,50,0,0.12,0.07999999999999999,,,,,,
LAYOUT_V57,voice_screened_instrumental,50,50,0,50,,,,,,,,
VOICE_GENERATOR,A07,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A08,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A09,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A10,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A11,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A12,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A13,25,25,25,25,,,0.2833333333333333,,,,,
VOICE_GENERATOR,A14,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A15,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,A16,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A17,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A18,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A19,25,25,25,25,,,0.4,,,,,
VOICE_GENERATOR,ASVspoof2019-LA,800,800,800,800,,,0.14749999999999996,,,,,
VOICE_GENERATOR,bonafide,1275,1275,1275,1250,0.24470769230769232,,0.18720000000000003,,0.995904,,,
VOICE_GENERATOR,cosyvoice3_0.5b,43,43,43,37,,,0.18823529411764708,,1.0,,,
VOICE_GENERATOR,f5tts_v1_base,42,42,42,39,,,0.15476190476190474,,1.0,,,
VOICE_GENERATOR,qwen3tts_custom_0.6b,47,47,47,38,,,0.28869047619047616,,0.9912280701754387,,,
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.1375,,0.9603174603174602,,,
VOICE_GENERATOR,nan,2027,2027,1466,1761,0.1513981319511235,0.17393692284778076,0.13742196367763904,0.9996157709021846,0.9966814395443463,0.8482869603515903,0.9981486052232654,0.863273124838758
MUSIC_GENERATOR,FMA,1100,1100,1100,1100,0.13454545454545452,0.08909090909090911,,,,,,
MUSIC_GENERATOR,MusicGen_medium,192,192,192,192,,0.11458333333333334,,,,,,
MUSIC_GENERATOR,acestep,11,11,9,11,,0.0,,1.0,,,,
MUSIC_GENERATOR,audioldm,16,16,15,16,,0.33333333333333337,,1.0,,,,
MUSIC_GENERATOR,audioldm2,192,192,192,192,,0.07291666666666666,,,,,,
MUSIC_GENERATOR,brev,11,11,9,11,,0.45,,1.0,,,,
MUSIC_GENERATOR,diffrhythm,19,19,17,19,,0.038461538461538436,,1.0,,,,
