DATASET,duration_bin,rows
asvspoof_voice_wav_dev_v1,4_to_10.24s,176
codec_mixed_dev_v4,10.24_to_30s,200
codec_mixed_dev_v4,4_to_10.24s,400
echoes_fma_paired_v3,10.24_to_30s,111
external_mixed_v1,4_to_10.24s,345
external_mixed_v1,below_4s,55
external_mixed_v1_telephone_v1,4_to_10.24s,345
external_mixed_v1_telephone_v1,below_4s,55
factorial_eval_1200_v2,10.24_to_30s,243
factorial_eval_1200_v2,4_to_10.24s,157
mixfake_music_dev_v1,10.24_to_30s,4
mixfake_music_dev_v1,4_to_10.24s,474
mixfake_music_dev_v1,below_4s,1122
multigen_voice_v2,10.24_to_30s,11
multigen_voice_v2,4_to_10.24s,79
source_disjoint_mixed_v1,4_to_10.24s,200
source_disjoint_mixed_v1_telephone_v1,4_to_10.24s,200
source_disjoint_music_v1,10.24_to_30s,400
