encoder,pooling,duration_bin,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
eat_large,mean,10.24_to_30s,969,969,431,954,0.127952459756281,0.22042590178183397,0.14150570068021226,0.9944410422722294,0.9996505939902166,0.849486879561429,0.997045818131223,0.8642427734184084
eat_large,mean,4_to_10.24s,2376,2376,2353,2075,0.22058256172839508,0.21929462981443715,0.15325387651641292,0.998965243260223,0.9965240363447144,0.7998736302179912,0.9977446398024687,0.819660731176439
eat_large,mean,below_4s,1232,1232,1232,1232,0.13146599777034557,0.1517853613284596,0.12905861269238877,,,0.8651923450414187,,
eat_large,mean,competition_range_4_to_60s,3345,3345,2784,3029,0.19343187249732255,0.23311971458773784,0.1482337692233241,0.9976764347327227,0.9974215494941305,0.8121899900667939,0.9975489921134266,0.8307258902714572
eat_large,attention,10.24_to_30s,969,969,431,954,0.1412667368737776,0.2297913950456323,0.14360305853695,0.9862600160429191,0.9989517819706498,0.8403274349928997,0.9926058990067845,0.8555552813942883
eat_large,attention,4_to_10.24s,2376,2376,2353,2075,0.20534336419753085,0.21207604749714354,0.1484337833016175,0.9992424102440918,0.9971580674858904,0.8103829734113206,0.9982002388649911,0.8291646999566877
eat_large,attention,below_4s,1232,1232,1232,1232,0.13524247491638797,0.14691511594504636,0.13068205776934427,,,0.8637911220219934,,
eat_large,attention,competition_range_4_to_60s,3345,3345,2784,3029,0.18567915476803615,0.21515757135306554,0.1475734817748457,0.9944071803224948,0.9974999059722264,0.8198568638129151,0.9959535431473605,0.8374665317463598
xlsr,mean,10.24_to_30s,969,969,431,954,0.1610124868361667,0.22042590178183397,0.17506342638801559,0.9797824718170761,0.9988819007686932,0.8228895483091452,0.9893321862928847,0.8395338121075192
xlsr,mean,4_to_10.24s,2376,2376,2353,2075,0.20862268518518523,0.14831901476692555,0.23132684273905801,0.9937175483656386,0.9982740263379097,0.7966268016323048,0.9959957873517742,0.8165637002042518
xlsr,mean,below_4s,1232,1232,1232,1232,0.17618450390189522,0.05681952947315438,0.2824689015391103,,,0.8158031716926885,,
xlsr,mean,competition_range_4_to_60s,3345,3345,2784,3029,0.19526163909356434,0.1569684857293869,0.21591246973228384,0.9854759563177413,0.9985603303091215,0.8062017423876553,0.9920181433134314,0.8247833824802329
xlsr,attention,10.24_to_30s,969,969,431,954,0.18162328870166994,0.2297913950456323,0.19077162543035409,0.9754871096007383,0.9981830887491265,0.8059985890109322,0.9868350991749324,0.8240822400273322
