axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
DATASET,asvspoof_voice_wav_dev_v1,176,176,176,0,0.2329457364341085,0.2329457364341085,,,,,,
DATASET,codec_mixed_dev_v4,600,600,600,600,0.28,0.27,0.2633333333333333,,,0.727,,
DATASET,echoes_fma_paired_v3,111,111,0,111,0.10811688311688314,,0.09009740259740262,,,,,
DATASET,external_mixed_v1,400,400,400,400,0.13,0.17000000000000004,0.09499999999999999,,,0.8725,,
DATASET,external_mixed_v1_telephone_v1,400,400,400,400,0.14166666666666666,0.17500000000000002,0.135,,,0.8536666666666668,,
DATASET,factorial_eval_1200_v2,400,400,350,350,0.16763636363636364,0.20571428571428574,0.1714285714285714,0.9976571428571429,0.9995999999999999,0.8236103896103896,0.9986285714285714,0.8411122077922077
DATASET,mixfake_music_dev_v1,1600,1600,1600,1600,0.13208333333333336,0.15874999999999997,0.11875000000000001,,,0.8665833333333333,,
DATASET,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09999999999999999,,,,,,
DATASET,source_disjoint_mixed_v1,200,200,200,200,0.27666666666666667,0.24,0.07999999999999999,,,0.7896666666666667,,
DATASET,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.33666666666666667,0.29000000000000004,0.19999999999999998,,,0.7136666666666667,,
DATASET,source_disjoint_music_v1,400,400,0,400,0.050000000000000024,,0.05500000000000002,,,,,
CHANNEL_V57,clean,120,120,120,120,0.19999999999999998,0.2666666666666667,0.08333333333333334,,,0.8216666666666665,,
CHANNEL_V57,clean_flac,66,66,58,58,0.19782608695652174,0.2068965517241379,0.20714285714285713,0.9935344827586207,1.0,0.7975647890340545,0.9967672413793103,0.8174850342685801
CHANNEL_V57,common_flac16k,511,511,0,511,0.06653645833333333,,0.06262254901960784,,,,,
CHANNEL_V57,flac16k,600,600,600,600,0.16666666666666663,0.19333333333333336,0.08999999999999998,,,0.8510000000000001,,
CHANNEL_V57,g711_ulaw,120,120,120,120,0.30000000000000004,0.30000000000000004,0.18333333333333335,,,0.735,,
CHANNEL_V57,g722_wb,120,120,120,120,0.2333333333333333,0.2666666666666667,0.09999999999999999,,,0.8,,
CHANNEL_V57,mp3_64k,67,67,58,59,0.14751552795031056,0.13793103448275865,0.16954022988505746,1.0,1.0,0.8477939601627758,1.0,0.8630145641464981
CHANNEL_V57,noisy_flac,66,66,58,58,0.13809523809523808,0.10344827586206895,0.1380952380952381,0.9935344827586207,1.0,0.8688341543513958,0.9967672413793103,0.8816274630541873
CHANNEL_V57,ogg_48k,67,67,59,58,0.14751552795031056,0.271264367816092,0.06904761904761902,1.0,1.0,0.8512750767473407,1.0,0.8661475690726066
CHANNEL_V57,opus_nb_8k,120,120,120,120,0.4,0.25,0.41666666666666663,,,0.625,,
CHANNEL_V57,stereo_wav,67,67,59,58,0.1909090909090909,0.30517241379310345,0.17261904761904762,1.0,1.0,0.7917252575011196,1.0,0.8125527317510076
CHANNEL_V57,telephone8k,600,600,600,600,0.21888888888888886,0.20666666666666667,0.16000000000000003,,,0.8012222222222223,,
CHANNEL_V57,telephone_flac,67,67,58,59,0.149468085106383,0.2068965517241379,0.16993087557603687,1.0,1.0,0.8329073844291698,1.0,0.8496166459862527
CHANNEL_V57,transcode_g711_opus,120,120,120,120,0.3388888888888889,0.2666666666666667,0.41666666666666663,,,0.6522222222222223,,
CHANNEL_V57,unknown,90,90,90,0,0.06666666666666665,0.09999999999999999,,,,,,
CHANNEL_V57,wav,176,176,176,0,0.2329457364341085,0.2329457364341085,,,,,,
CHANNEL_V57,wav16k,1600,1600,1600,1600,0.13208333333333336,0.15874999999999997,0.11875000000000001,,,0.8665833333333333,,
LAYOUT_V57,concurrent,1900,1900,1900,1900,0.1389473684210526,0.17157894736842105,0.13578947368421054,,,0.8554736842105264,,
LAYOUT_V57,music_only,50,50,0,50,0.12,,0.12,,,,,
LAYOUT_V57,partial_overlap,300,300,300,300,0.31999999999999995,0.2666666666666667,0.2533333333333333,,,0.7106666666666667,,
LAYOUT_V57,sequential,900,900,900,900,0.2088888888888889,0.20444444444444443,0.13777777777777778,,,0.8133333333333332,,
LAYOUT_V57,simultaneous,600,600,600,600,0.18777777777777777,0.21333333333333337,0.17000000000000004,,,0.8124444444444444,,
LAYOUT_V57,source_disjoint,400,400,0,400,0.050000000000000024,,0.05500000000000002,,,,,
LAYOUT_V57,source_matched_instrumental,61,61,0,61,0.027272727272727282,,0.018181818181818188,,,,,
LAYOUT_V57,speech_only,266,266,266,0,0.1841324200913242,0.20690639269406397,,,,,,
LAYOUT_V57,voice_only,50,50,50,0,0.07999999999999999,0.16000000000000003,,,,,,
LAYOUT_V57,voice_screened_instrumental,50,50,0,50,,,,,,,,
VOICE_GENERATOR,A07,20,20,20,20,,,0.09999999999999999,,,,,
VOICE_GENERATOR,A08,25,25,25,25,,,0.11666666666666665,,,,,
VOICE_GENERATOR,A09,20,20,20,20,,,0.3666666666666667,,,,,
VOICE_GENERATOR,A10,25,25,25,25,,,0.11666666666666665,,,,,
VOICE_GENERATOR,A11,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A12,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A13,25,25,25,25,,,0.08333333333333331,,,,,
VOICE_GENERATOR,A14,25,25,25,25,,,0.31666666666666665,,,,,
VOICE_GENERATOR,A15,25,25,25,25,,,0.08333333333333331,,,,,
VOICE_GENERATOR,A16,20,20,20,20,,,0.03333333333333333,,,,,
VOICE_GENERATOR,A17,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A18,25,25,25,25,,,0.4,,,,,
VOICE_GENERATOR,A19,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,ASVspoof2019-LA,800,800,800,800,,,0.135,,,,,
VOICE_GENERATOR,bonafide,1275,1275,1275,1250,0.22901538461538462,,0.14880000000000002,,0.999968,,,
VOICE_GENERATOR,cosyvoice3_0.5b,43,43,43,37,,,0.18823529411764708,,1.0,,,
VOICE_GENERATOR,f5tts_v1_base,42,42,42,39,,,0.1031746031746032,,1.0,,,
VOICE_GENERATOR,qwen3tts_custom_0.6b,47,47,47,38,,,0.21130952380952384,,1.0,,,
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.1375,,1.0,,,
VOICE_GENERATOR,nan,2027,2027,1466,1761,0.1539558871941183,0.2039600089365505,0.10675755855948818,0.9979511834499395,0.9967380119805477,0.8502027870477844,0.9973445977152435,0.8649169681145303
MUSIC_GENERATOR,FMA,1100,1100,1100,1100,0.21636363636363634,0.16000000000000003,,,,,,
MUSIC_GENERATOR,MusicGen_medium,192,192,192,192,,0.26041666666666663,,,,,,
MUSIC_GENERATOR,acestep,11,11,9,11,,0.225,,1.0,,,,
MUSIC_GENERATOR,audioldm,16,16,15,16,,0.13888888888888887,,1.0,,,,
MUSIC_GENERATOR,audioldm2,192,192,192,192,,0.23958333333333337,,,,,,
MUSIC_GENERATOR,brev,11,11,9,11,,0.22499999999999998,,1.0,,,,
MUSIC_GENERATOR,diffrhythm,19,19,17,19,,0.24038461538461536,,1.0,,,,
MUSIC_GENERATOR,elevenlabs,12,12,10,12,,0.4,,1.0,,,,
MUSIC_GENERATOR,mubert,15,15,14,15,,0.21111111111111108,,1.0,,,,
MUSIC_GENERATOR,musicgen,14,14,13,14,,0.05555555555555558,,1.0,,,,
MUSIC_GENERATOR,musicldm,194,194,194,194,,0.24742268041237114,,,,,,
MUSIC_GENERATOR,mustango,192,192,192,192,,0.16666666666666663,,,,,,
MUSIC_GENERATOR,producer,17,17,14,17,,0.21111111111111108,,1.0,,,,
MUSIC_GENERATOR,real,175,175,150,175,0.19999999999999998,0.21333333333333337,,0.9957333333333334,,,,
MUSIC_GENERATOR,songgen,15,15,14,15,,0.2111111111111111,,1.0,,,,
MUSIC_GENERATOR,stable_audio_open,60,60,60,60,,0.19999999999999998,,,,,,
MUSIC_GENERATOR,stableaudio,17,17,15,17,,0.19444444444444442,,1.0,,,,
MUSIC_GENERATOR,suno,148,148,143,148,,0.15391389432485325,,1.0,,,,
MUSIC_GENERATOR,udio,150,150,147,150,,0.1564935064935065,,1.0,,,,
MUSIC_GENERATOR,nan,2027,2027,1516,1711,0.15542330176885855,0.20118994768408496,0.10637057987648246,0.9976196500214283,0.997011149006059,0.8501391856158089,0.9973153995137436,0.8648568070056024
