axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
DATASET,asvspoof_voice_wav_dev_v1,176,176,176,0,0.1760981912144703,0.18746770025839793,,,,,,
DATASET,codec_mixed_dev_v4,600,600,600,600,0.3866666666666667,0.2733333333333333,0.3733333333333333,,,0.6399999999999999,,
DATASET,echoes_fma_paired_v3,111,111,0,111,0.23425324675324674,,0.23425324675324674,,,,,
DATASET,external_mixed_v1,400,400,400,400,0.20999999999999996,0.18000000000000002,0.19499999999999998,,,0.8005,,
DATASET,external_mixed_v1_telephone_v1,400,400,400,400,0.22999999999999998,0.17000000000000004,0.245,,,0.7775000000000001,,
DATASET,factorial_eval_1200_v2,400,400,350,350,0.28,0.32571428571428573,0.3028571428571428,0.9763428571428572,0.9969714285714286,0.7040000000000001,0.9866571428571429,0.7322657142857143
DATASET,mixfake_music_dev_v1,1600,1600,1600,1600,0.22541666666666665,0.13,0.32499999999999996,,,0.7637916666666668,,
DATASET,multigen_voice_v2,90,90,90,0,0.19166666666666668,0.19999999999999998,,,,,,
DATASET,source_disjoint_mixed_v1,200,200,200,200,0.24,0.26,0.20999999999999996,,,0.765,,
DATASET,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.26333333333333336,0.28,0.26,,,0.7343333333333333,,
DATASET,source_disjoint_music_v1,400,400,0,400,0.06999999999999998,,0.060000000000000026,,,,,
CHANNEL_V57,clean,120,120,120,120,0.33333333333333337,0.2833333333333333,0.2833333333333333,,,0.6916666666666667,,
CHANNEL_V57,clean_flac,66,66,58,58,0.3021739130434783,0.4137931034482759,0.39642857142857146,1.0,1.0,0.6472258513600342,1.0,0.6825032662240308
CHANNEL_V57,common_flac16k,511,511,0,511,0.14090073529411767,,0.1213311887254902,,,,,
CHANNEL_V57,flac16k,600,600,600,600,0.21888888888888886,0.18999999999999997,0.19666666666666666,,,0.7935555555555556,,
CHANNEL_V57,g711_ulaw,120,120,120,120,0.4,0.25,0.3833333333333333,,,0.635,,
CHANNEL_V57,g722_wb,120,120,120,120,0.3666666666666667,0.2833333333333333,0.31666666666666665,,,0.6649999999999999,,
CHANNEL_V57,mp3_64k,67,67,58,59,0.19306418219461696,0.31034482758620685,0.271264367816092,0.9827586206896551,1.0,0.7600196330406226,0.9913793103448276,0.7831556007710431
CHANNEL_V57,noisy_flac,66,66,58,58,0.33333333333333337,0.2068965517241379,0.24166666666666667,0.978448275862069,1.0,0.7194540229885058,0.9892241379310345,0.7464310344827587
CHANNEL_V57,ogg_48k,67,67,59,58,0.2841614906832298,0.40689655172413797,0.17261904761904762,0.9682203389830508,1.0,0.7247542300278432,0.9841101694915254,0.7506898239742115
CHANNEL_V57,opus_nb_8k,120,120,120,120,0.4,0.25,0.4666666666666667,,,0.61,,
CHANNEL_V57,stereo_wav,67,67,59,58,0.3257575757575758,0.271264367816092,0.2928571428571428,0.9915254237288136,1.0,0.6950111957008509,0.9957627118644068,0.7250863473172064
CHANNEL_V57,telephone8k,600,600,600,600,0.23888888888888887,0.20666666666666667,0.25,,,0.7642222222222222,,
CHANNEL_V57,telephone_flac,67,67,58,59,0.298936170212766,0.31034482758620685,0.32200460829493094,0.9808429118773947,0.9915254237288136,0.6918615668878965,0.9861841678031041,0.7212938269794174
CHANNEL_V57,transcode_g711_opus,120,120,120,120,0.46111111111111114,0.2833333333333333,0.43333333333333335,,,0.5827777777777778,,
CHANNEL_V57,unknown,90,90,90,0,0.19166666666666668,0.19999999999999998,,,,,,
CHANNEL_V57,wav,176,176,176,0,0.1760981912144703,0.18746770025839793,,,,,,
CHANNEL_V57,wav16k,1600,1600,1600,1600,0.22541666666666665,0.13,0.32499999999999996,,,0.7637916666666668,,
LAYOUT_V57,concurrent,1900,1900,1900,1900,0.26140350877192986,0.1747368421052632,0.33789473684210525,,,0.7329824561403508,,
LAYOUT_V57,music_only,50,50,0,50,0.24,,0.24,,,,,
LAYOUT_V57,partial_overlap,300,300,300,300,0.3466666666666667,0.28,0.31999999999999995,,,0.6746666666666667,,
LAYOUT_V57,sequential,900,900,900,900,0.2666666666666667,0.20666666666666667,0.28222222222222226,,,0.7406666666666666,,
LAYOUT_V57,simultaneous,600,600,600,600,0.24,0.21999999999999997,0.21666666666666667,,,0.771,,
LAYOUT_V57,source_disjoint,400,400,0,400,0.06999999999999998,,0.060000000000000026,,,,,
LAYOUT_V57,source_matched_instrumental,61,61,0,61,0.1833333333333333,,0.20151515151515148,,,,,
LAYOUT_V57,speech_only,266,266,266,0,0.30827625570776257,0.274486301369863,,,,,,
LAYOUT_V57,voice_only,50,50,50,0,0.12,0.16000000000000003,,,,,,
LAYOUT_V57,voice_screened_instrumental,50,50,0,50,,,,,,,,
VOICE_GENERATOR,A07,20,20,20,20,,,0.5,,,,,
VOICE_GENERATOR,A08,25,25,25,25,,,0.2833333333333333,,,,,
VOICE_GENERATOR,A09,20,20,20,20,,,0.3666666666666667,,,,,
VOICE_GENERATOR,A10,25,25,25,25,,,0.5166666666666666,,,,,
VOICE_GENERATOR,A11,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A12,20,20,20,20,,,0.43333333333333335,,,,,
VOICE_GENERATOR,A13,25,25,25,25,,,0.2833333333333333,,,,,
VOICE_GENERATOR,A14,25,25,25,25,,,0.31666666666666665,,,,,
VOICE_GENERATOR,A15,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A16,20,20,20,20,,,0.3666666666666667,,,,,
VOICE_GENERATOR,A17,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A18,25,25,25,25,,,0.2833333333333333,,,,,
VOICE_GENERATOR,A19,25,25,25,25,,,0.6,,,,,
VOICE_GENERATOR,ASVspoof2019-LA,800,800,800,800,,,0.32499999999999996,,,,,
VOICE_GENERATOR,bonafide,1275,1275,1275,1250,0.3827384615384615,,0.32799999999999996,,0.999264,,,
VOICE_GENERATOR,cosyvoice3_0.5b,43,43,43,37,,,0.3514705882352941,,1.0,,,
VOICE_GENERATOR,f5tts_v1_base,42,42,42,39,,,0.28174603174603174,,1.0,,,
VOICE_GENERATOR,qwen3tts_custom_0.6b,47,47,47,38,,,0.3660714285714286,,1.0,,,
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.30625,,1.0,,,
VOICE_GENERATOR,nan,2027,2027,1466,1761,0.21516934437552043,0.20532469466785822,0.18398643070890516,0.9976788185198424,0.9979826055769747,0.7961544596659966,0.9978307120484086,0.8163220849042379
MUSIC_GENERATOR,FMA,1100,1100,1100,1100,0.22545454545454546,0.16909090909090907,,,,,,
MUSIC_GENERATOR,MusicGen_medium,192,192,192,192,,0.27083333333333337,,,,,,
MUSIC_GENERATOR,acestep,11,11,9,11,,0.0,,1.0,,,,
MUSIC_GENERATOR,audioldm,16,16,15,16,,0.4722222222222222,,1.0,,,,
MUSIC_GENERATOR,audioldm2,192,192,192,192,,0.16666666666666663,,,,,,
MUSIC_GENERATOR,brev,11,11,9,11,,0.55,,0.8888888888888888,,,,
MUSIC_GENERATOR,diffrhythm,19,19,17,19,,0.5192307692307692,,0.9705882352941176,,,,
MUSIC_GENERATOR,elevenlabs,12,12,10,12,,0.19999999999999998,,1.0,,,,
MUSIC_GENERATOR,mubert,15,15,14,15,,0.21111111111111108,,1.0,,,,
MUSIC_GENERATOR,musicgen,14,14,13,14,,0.2916666666666667,,1.0,,,,
MUSIC_GENERATOR,musicldm,194,194,194,194,,0.21649484536082475,,,,,,
MUSIC_GENERATOR,mustango,192,192,192,192,,0.15625,,,,,,
MUSIC_GENERATOR,producer,17,17,14,17,,0.4222222222222222,,1.0,,,,
MUSIC_GENERATOR,real,175,175,150,175,0.36,0.31999999999999995,,0.9749333333333333,,,,
MUSIC_GENERATOR,songgen,15,15,14,15,,0.4222222222222222,,1.0,,,,
MUSIC_GENERATOR,stable_audio_open,60,60,60,60,,0.30000000000000004,,,,,,
MUSIC_GENERATOR,stableaudio,17,17,15,17,,0.4722222222222222,,1.0,,,,
MUSIC_GENERATOR,suno,148,148,143,148,,0.15391389432485325,,0.9958041958041958,,,,
MUSIC_GENERATOR,udio,150,150,147,150,,0.1701298701298701,,1.0,,,,
MUSIC_GENERATOR,nan,2027,2027,1516,1711,0.2155464182820061,0.20646854516491267,0.18468738044488164,0.9976932291693559,0.9981634102493915,0.7955268676925499,0.9979283197093737,0.8157670128942323
