axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
DATASET,asvspoof_voice_wav_dev_v1,176,176,176,0,0.045478036175710584,0.05684754521963824,,,,,,
DATASET,codec_mixed_dev_v4,600,600,600,600,0.2677777777777778,0.19999999999999998,0.31000000000000005,,,0.7331111111111112,,
DATASET,echoes_fma_paired_v3,111,111,0,111,0.19821428571428568,,0.1621753246753247,,,,,
DATASET,external_mixed_v1,400,400,400,400,0.18999999999999997,0.14500000000000002,0.14,,,0.8340000000000001,,
DATASET,external_mixed_v1_telephone_v1,400,400,400,400,0.20999999999999996,0.14500000000000002,0.17000000000000004,,,0.8150000000000001,,
DATASET,factorial_eval_1200_v2,400,400,350,350,0.23236363636363638,0.2571428571428571,0.23428571428571432,0.9842285714285715,0.9953714285714286,0.7621038961038962,0.9898,0.7848735064935066
DATASET,mixfake_music_dev_v1,1600,1600,1600,1600,0.16958333333333336,0.04500000000000002,0.27125,,,0.8248333333333332,,
DATASET,multigen_voice_v2,90,90,90,0,0.1333333333333333,0.06666666666666665,,,,,,
DATASET,source_disjoint_mixed_v1,200,200,200,200,0.1433333333333333,0.16000000000000003,0.17000000000000004,,,0.8453333333333334,,
DATASET,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.16333333333333333,0.12,0.21999999999999997,,,0.8283333333333334,,
DATASET,source_disjoint_music_v1,400,400,0,400,0.05500000000000002,,0.03500000000000002,,,,,
CHANNEL_V57,clean,120,120,120,120,0.19999999999999998,0.08333333333333334,0.21666666666666667,,,0.8183333333333334,,
CHANNEL_V57,clean_flac,66,66,58,58,0.2554347826086957,0.2068965517241379,0.25833333333333336,0.9892241379310345,1.0,0.7534032983508246,0.9946120689655172,0.7775241754122939
CHANNEL_V57,common_flac16k,511,511,0,511,0.10567555147058821,,0.07045036764705881,,,,,
CHANNEL_V57,flac16k,600,600,600,600,0.18000000000000002,0.15333333333333332,0.15000000000000002,,,0.8343333333333333,,
CHANNEL_V57,g711_ulaw,120,120,120,120,0.19999999999999998,0.08333333333333334,0.25,,,0.8083333333333333,,
CHANNEL_V57,g722_wb,120,120,120,120,0.22777777777777777,0.06666666666666665,0.21666666666666667,,,0.8077777777777778,,
CHANNEL_V57,mp3_64k,67,67,58,59,0.19306418219461696,0.3448275862068966,0.16954022988505746,0.9923371647509578,1.0,0.783640322695795,0.9961685823754789,0.8048931486637634
CHANNEL_V57,noisy_flac,66,66,58,58,0.23015873015873015,0.1724137931034483,0.17261904761904762,0.9525862068965517,0.9978448275862069,0.7986521620142311,0.9752155172413792,0.8163084975369459
CHANNEL_V57,ogg_48k,67,67,59,58,0.19306418219461696,0.271264367816092,0.24166666666666667,0.9915254237288136,1.0,0.7767150353394732,0.9957627118644068,0.7986198029919667
CHANNEL_V57,opus_nb_8k,120,120,120,120,0.33333333333333337,0.30000000000000004,0.3833333333333333,,,0.6583333333333332,,
CHANNEL_V57,stereo_wav,67,67,59,58,0.22474747474747475,0.3390804597701149,0.32738095238095233,0.9766949152542372,1.0,0.721595884957954,0.9883474576271186,0.7482710422248705
CHANNEL_V57,telephone8k,600,600,600,600,0.19333333333333336,0.14,0.18666666666666665,,,0.8193333333333334,,
CHANNEL_V57,telephone_flac,67,67,58,59,0.2526595744680851,0.31034482758620685,0.2540322580645161,1.0,0.989406779661017,0.7353915698293613,0.9947033898305084,0.7613227518294761
CHANNEL_V57,transcode_g711_opus,120,120,120,120,0.4,0.35,0.43333333333333335,,,0.6,,
CHANNEL_V57,unknown,90,90,90,0,0.1333333333333333,0.06666666666666665,,,,,,
CHANNEL_V57,wav,176,176,176,0,0.045478036175710584,0.05684754521963824,,,,,,
CHANNEL_V57,wav16k,1600,1600,1600,1600,0.16958333333333336,0.04500000000000002,0.27125,,,0.8248333333333332,,
LAYOUT_V57,concurrent,1900,1900,1900,1900,0.1873684210526316,0.08210526315789476,0.2757894736842105,,,0.8071578947368421,,
LAYOUT_V57,music_only,50,50,0,50,0.19999999999999998,,0.16000000000000003,,,,,
LAYOUT_V57,partial_overlap,300,300,300,300,0.23777777777777775,0.21999999999999997,0.30000000000000004,,,0.7471111111111111,,
LAYOUT_V57,sequential,900,900,900,900,0.18666666666666665,0.13555555555555554,0.1844444444444444,,,0.8242222222222223,,
LAYOUT_V57,simultaneous,600,600,600,600,0.20666666666666667,0.17000000000000004,0.19666666666666666,,,0.8036666666666666,,
LAYOUT_V57,source_disjoint,400,400,0,400,0.05500000000000002,,0.03500000000000002,,,,,
LAYOUT_V57,source_matched_instrumental,61,61,0,61,0.1742424242424242,,0.1924242424242424,,,,,
LAYOUT_V57,speech_only,266,266,266,0,0.15793378995433788,0.1503424657534247,,,,,,
LAYOUT_V57,voice_only,50,50,50,0,0.12,0.04000000000000002,,,,,,
LAYOUT_V57,voice_screened_instrumental,50,50,0,50,,,,,,,,
VOICE_GENERATOR,A07,20,20,20,20,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A08,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,A09,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A10,25,25,25,25,,,0.4,,,,,
VOICE_GENERATOR,A11,25,25,25,25,,,0.11666666666666665,,,,,
VOICE_GENERATOR,A12,20,20,20,20,,,0.6,,,,,
VOICE_GENERATOR,A13,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A14,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A15,25,25,25,25,,,0.31666666666666665,,,,,
VOICE_GENERATOR,A16,20,20,20,20,,,0.3666666666666667,,,,,
VOICE_GENERATOR,A17,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A18,25,25,25,25,,,0.2833333333333333,,,,,
VOICE_GENERATOR,A19,25,25,25,25,,,0.4,,,,,
VOICE_GENERATOR,ASVspoof2019-LA,800,800,800,800,,,0.25249999999999995,,,,,
VOICE_GENERATOR,bonafide,1275,1275,1275,1250,0.33098461538461543,,0.27680000000000005,,0.99936,,,
VOICE_GENERATOR,cosyvoice3_0.5b,43,43,43,37,,,0.10882352941176472,,1.0,,,
VOICE_GENERATOR,f5tts_v1_base,42,42,42,39,,,0.28174603174603174,,1.0,,,
