variant,type,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
eat_parent,mixed,3700,3700,3700,3700,0.18162162162162165,0.19243243243243247,0.13891891891891894,,,0.829027027027027,,
eat_parent,music_only,561,561,0,561,0.06060625317742756,,0.05347610574478903,,,,,
eat_parent,voice_only,316,316,316,0,0.1802984472675943,0.19941520467836257,,,,,,
xlsr_parent,mixed,3700,3700,3700,3700,0.19783783783783782,0.12486486486486484,0.25135135135135134,,,0.8007027027027027,,
xlsr_parent,music_only,561,561,0,561,0.0998220640569395,,0.07843162175902392,,,,,
xlsr_parent,voice_only,316,316,316,0,0.1866706997378504,0.1802984472675943,,,,,,
spear_parent,mixed,3700,3700,3700,3700,0.19765765765765764,0.14216216216216215,0.1902702702702703,,,0.8156576576576577,,
spear_parent,music_only,561,561,0,561,0.08199669547534319,,0.07130147432638534,,,,,
spear_parent,voice_only,316,316,316,0,0.221455938697318,0.1866706997378504,,,,,,
xlsr_voice_eat_music,mixed,3700,3700,3700,3700,0.13621621621621624,0.12486486486486484,0.13891891891891894,,,0.8652432432432432,,
xlsr_voice_eat_music,music_only,561,561,0,561,0.057041179461108295,,0.05347610574478903,,,,,
xlsr_voice_eat_music,voice_only,316,316,316,0,0.1802984472675943,0.1802984472675943,,,,,,
equal_voice_pair_eat_music,mixed,3700,3700,3700,3700,0.13189189189189188,0.11135135135135134,0.13891891891891894,,,0.8701081081081081,,
equal_voice_pair_eat_music,music_only,561,561,0,561,0.057041179461108295,,0.05347610574478903,,,,,
equal_voice_pair_eat_music,voice_only,316,316,316,0,0.1866706997378504,0.17100221818915107,,,,,,
