variant,channel,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
eat_parent,all,600,600,600,600,0.2466666666666667,0.2633333333333333,0.21333333333333337,,,0.76,,
eat_parent,clean,120,120,120,120,0.1333333333333333,0.25,0.06666666666666665,,,0.8633333333333333,,
eat_parent,g711_ulaw,120,120,120,120,0.2333333333333333,0.2666666666666667,0.11666666666666668,,,0.7949999999999999,,
eat_parent,g722_wb,120,120,120,120,0.1333333333333333,0.2666666666666667,0.08333333333333334,,,0.855,,
eat_parent,opus_nb_8k,120,120,120,120,0.30000000000000004,0.2666666666666667,0.2833333333333333,,,0.7116666666666667,,
eat_parent,transcode_g711_opus,120,120,120,120,0.3055555555555556,0.25,0.33333333333333337,,,0.6972222222222222,,
xlsr_parent,all,600,600,600,600,0.2333333333333333,0.18000000000000002,0.2866666666666666,,,0.7613333333333333,,
xlsr_parent,clean,120,120,120,120,0.19999999999999998,0.06666666666666665,0.16666666666666663,,,0.8366666666666667,,
xlsr_parent,g711_ulaw,120,120,120,120,0.19444444444444445,0.08333333333333334,0.2666666666666667,,,0.8061111111111111,,
xlsr_parent,g722_wb,120,120,120,120,0.19999999999999998,0.050000000000000024,0.18333333333333335,,,0.8350000000000001,,
xlsr_parent,opus_nb_8k,120,120,120,120,0.3277777777777777,0.31666666666666665,0.35,,,0.6677777777777778,,
xlsr_parent,transcode_g711_opus,120,120,120,120,0.3666666666666667,0.33333333333333337,0.41666666666666663,,,0.625,,
spear_parent,all,600,600,600,600,0.21444444444444444,0.17000000000000004,0.20666666666666667,,,0.7967777777777778,,
spear_parent,clean,120,120,120,120,0.1333333333333333,0.16666666666666663,0.06666666666666665,,,0.8800000000000001,,
spear_parent,g711_ulaw,120,120,120,120,0.20555555555555557,0.16666666666666663,0.16666666666666663,,,0.8138888888888889,,
spear_parent,g722_wb,120,120,120,120,0.1333333333333333,0.15000000000000002,0.09999999999999999,,,0.8733333333333334,,
spear_parent,opus_nb_8k,120,120,120,120,0.27222222222222225,0.18333333333333335,0.30000000000000004,,,0.7372222222222222,,
spear_parent,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.2333333333333333,0.30000000000000004,,,0.7133333333333333,,
xlsr_voice_eat_music,all,600,600,600,600,0.17333333333333334,0.18000000000000002,0.21333333333333337,,,0.8133333333333334,,
xlsr_voice_eat_music,clean,120,120,120,120,0.09999999999999999,0.06666666666666665,0.06666666666666665,,,0.9166666666666667,,
xlsr_voice_eat_music,g711_ulaw,120,120,120,120,0.09999999999999999,0.08333333333333334,0.11666666666666668,,,0.8983333333333332,,
xlsr_voice_eat_music,g722_wb,120,120,120,120,0.09999999999999999,0.050000000000000024,0.08333333333333334,,,0.915,,
xlsr_voice_eat_music,opus_nb_8k,120,120,120,120,0.3055555555555556,0.31666666666666665,0.2833333333333333,,,0.6988888888888889,,
xlsr_voice_eat_music,transcode_g711_opus,120,120,120,120,0.2944444444444444,0.33333333333333337,0.33333333333333337,,,0.6861111111111111,,
equal_voice_pair_eat_music,all,600,600,600,600,0.1588888888888889,0.14,0.21333333333333337,,,0.8285555555555556,,
equal_voice_pair_eat_music,clean,120,120,120,120,0.09999999999999999,0.06666666666666665,0.06666666666666665,,,0.9166666666666667,,
equal_voice_pair_eat_music,g711_ulaw,120,120,120,120,0.09999999999999999,0.11666666666666668,0.11666666666666668,,,0.8916666666666666,,
equal_voice_pair_eat_music,g722_wb,120,120,120,120,0.09999999999999999,0.08333333333333334,0.08333333333333334,,,0.9083333333333332,,
equal_voice_pair_eat_music,opus_nb_8k,120,120,120,120,0.2388888888888889,0.21666666666666667,0.2833333333333333,,,0.7522222222222222,,
equal_voice_pair_eat_music,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.2333333333333333,0.33333333333333337,,,0.7033333333333333,,
