axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
DATASET,asvspoof_voice_wav_dev_v1,176,176,176,0,0.05684754521963824,0.10232558139534882,,,,,,
DATASET,codec_mixed_dev_v4,600,600,600,600,0.21444444444444444,0.17000000000000004,0.20666666666666667,,,0.7967777777777778,,
DATASET,echoes_fma_paired_v3,111,111,0,111,0.12613636363636366,,0.10811688311688314,,,,,
DATASET,external_mixed_v1,400,400,400,400,0.19166666666666668,0.15500000000000003,0.15500000000000003,,,0.8266666666666667,,
DATASET,external_mixed_v1_telephone_v1,400,400,400,400,0.17000000000000004,0.16000000000000003,0.18000000000000002,,,0.829,,
DATASET,factorial_eval_1200_v2,400,400,350,350,0.26472727272727276,0.34285714285714286,0.2114285714285714,0.9918285714285713,0.9946857142857143,0.7356363636363636,0.9932571428571428,0.7613984415584416
DATASET,mixfake_music_dev_v1,1600,1600,1600,1600,0.13249999999999998,0.0625,0.1775,,,0.8680000000000001,,
DATASET,multigen_voice_v2,90,90,90,0,0.1333333333333333,0.19999999999999998,,,,,,
DATASET,source_disjoint_mixed_v1,200,200,200,200,0.16000000000000003,0.17000000000000004,0.13,,,0.847,,
DATASET,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.19666666666666668,0.18000000000000002,0.25,,,0.7906666666666666,,
DATASET,source_disjoint_music_v1,400,400,0,400,0.04000000000000002,,0.03500000000000002,,,,,
VOICE_GENERATOR,A07,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A08,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A09,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A10,25,25,25,25,,,0.11666666666666665,,,,,
VOICE_GENERATOR,A11,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A12,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A13,25,25,25,25,,,0.2833333333333333,,,,,
VOICE_GENERATOR,A14,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A15,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,A16,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A17,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A18,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A19,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,ASVspoof2019-LA,800,800,800,800,,,0.15749999999999997,,,,,
VOICE_GENERATOR,bonafide,1275,1275,1275,1250,0.24784615384615383,,0.1856,,0.99856,,,
VOICE_GENERATOR,cosyvoice3_0.5b,43,43,43,37,,,0.10882352941176472,,1.0,,,
VOICE_GENERATOR,f5tts_v1_base,42,42,42,39,,,0.1031746031746032,,1.0,,,
VOICE_GENERATOR,qwen3tts_custom_0.6b,47,47,47,38,,,0.28869047619047616,,0.9941520467836258,,,
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.1375,,0.9801587301587301,,,
VOICE_GENERATOR,nan,2027,2027,1466,1761,0.15542330176885855,0.17326668156091748,0.13628624496955938,0.999486883926335,0.996951492871873,0.8467491393125195,0.9982191883991041,0.861896144221178
MUSIC_GENERATOR,FMA,1100,1100,1100,1100,0.13818181818181818,0.08909090909090911,,,,,,
MUSIC_GENERATOR,MusicGen_medium,192,192,192,192,,0.11458333333333334,,,,,,
MUSIC_GENERATOR,acestep,11,11,9,11,,0.0,,1.0,,,,
MUSIC_GENERATOR,audioldm,16,16,15,16,,0.4722222222222222,,1.0,,,,
MUSIC_GENERATOR,audioldm2,192,192,192,192,,0.08333333333333334,,,,,,
MUSIC_GENERATOR,brev,11,11,9,11,,0.45,,1.0,,,,
MUSIC_GENERATOR,diffrhythm,19,19,17,19,,0.20192307692307693,,1.0,,,,
MUSIC_GENERATOR,elevenlabs,12,12,10,12,,0.4,,1.0,,,,
MUSIC_GENERATOR,mubert,15,15,14,15,,0.3666666666666667,,1.0,,,,
MUSIC_GENERATOR,musicgen,14,14,13,14,,0.2361111111111111,,1.0,,,,
MUSIC_GENERATOR,musicldm,194,194,194,194,,0.12371134020618557,,,,,,
MUSIC_GENERATOR,mustango,192,192,192,192,,0.07291666666666666,,,,,,
MUSIC_GENERATOR,producer,17,17,14,17,,0.4222222222222222,,1.0,,,,
MUSIC_GENERATOR,real,175,175,150,175,0.37166666666666665,0.31999999999999995,,0.9853333333333334,,,,
MUSIC_GENERATOR,songgen,15,15,14,15,,0.5777777777777777,,1.0,,,,
MUSIC_GENERATOR,stable_audio_open,60,60,60,60,,0.2666666666666667,,,,,,
MUSIC_GENERATOR,stableaudio,17,17,15,17,,0.4722222222222222,,1.0,,,,
MUSIC_GENERATOR,suno,148,148,143,148,,0.08395303326810176,,1.0,,,,
MUSIC_GENERATOR,udio,150,150,147,150,,0.1155844155844156,,1.0,,,,
MUSIC_GENERATOR,nan,2027,2027,1516,1711,0.1594484715865936,0.1774362590203606,0.1355932666557359,0.9993429511176285,0.997071258942509,0.8441105324059103,0.9982071050300687,0.8595201896683261
