axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
DATASET,asvspoof_voice_wav_dev_v1,176,176,176,0,0.07958656330749356,0.07958656330749356,,,,,,
DATASET,codec_mixed_dev_v4,600,600,600,600,0.17333333333333334,0.18000000000000002,0.21333333333333337,,,0.8133333333333334,,
DATASET,echoes_fma_paired_v3,111,111,0,111,0.09009740259740262,,0.09009740259740262,,,,,
DATASET,external_mixed_v1,400,400,400,400,0.14,0.14,0.14,,,0.86,,
DATASET,external_mixed_v1_telephone_v1,400,400,400,400,0.15000000000000002,0.16000000000000003,0.15500000000000003,,,0.8465,,
DATASET,factorial_eval_1200_v2,400,400,350,350,0.19236363636363638,0.2571428571428571,0.18285714285714283,0.9980571428571429,0.9997714285714285,0.7975324675324675,0.9989142857142856,0.8176706493506494
DATASET,mixfake_music_dev_v1,1600,1600,1600,1600,0.060000000000000026,0.042499999999999996,0.09624999999999997,,,0.932625,,
DATASET,multigen_voice_v2,90,90,90,0,0.09999999999999999,0.06666666666666665,,,,,,
DATASET,source_disjoint_mixed_v1,200,200,200,200,0.14,0.15000000000000002,0.07999999999999999,,,0.876,,
DATASET,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.16000000000000003,0.13,0.15000000000000002,,,0.849,,
DATASET,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.03500000000000002,,,,,
VOICE_GENERATOR,A07,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A08,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,A09,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A10,25,25,25,25,,,0.2833333333333333,,,,,
VOICE_GENERATOR,A11,25,25,25,25,,,0.4,,,,,
VOICE_GENERATOR,A12,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A13,25,25,25,25,,,0.08333333333333331,,,,,
VOICE_GENERATOR,A14,25,25,25,25,,,0.4,,,,,
VOICE_GENERATOR,A15,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A16,20,20,20,20,,,0.03333333333333333,,,,,
VOICE_GENERATOR,A17,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A18,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A19,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,ASVspoof2019-LA,800,800,800,800,,,0.10250000000000001,,,,,
VOICE_GENERATOR,bonafide,1275,1275,1275,1250,0.1537230769230769,,0.13119999999999998,,0.999936,,,
VOICE_GENERATOR,cosyvoice3_0.5b,43,43,43,37,,,0.10882352941176472,,1.0,,,
VOICE_GENERATOR,f5tts_v1_base,42,42,42,39,,,0.15476190476190474,,1.0,,,
VOICE_GENERATOR,qwen3tts_custom_0.6b,47,47,47,38,,,0.21130952380952384,,1.0,,,
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.19375,,1.0,,,
VOICE_GENERATOR,nan,2027,2027,1466,1761,0.11986915911980946,0.15416108132260947,0.10675755855948818,0.999872328939017,0.9974062071703962,0.8772059366077269,0.9986392680547066,0.8893492697524249
MUSIC_GENERATOR,FMA,1100,1100,1100,1100,0.10181818181818181,0.08727272727272728,,,,,,
MUSIC_GENERATOR,MusicGen_medium,192,192,192,192,,0.09375,,,,,,
MUSIC_GENERATOR,acestep,11,11,9,11,,0.225,,1.0,,,,
MUSIC_GENERATOR,audioldm,16,16,15,16,,0.13888888888888887,,1.0,,,,
MUSIC_GENERATOR,audioldm2,192,192,192,192,,0.0625,,,,,,
MUSIC_GENERATOR,brev,11,11,9,11,,0.22499999999999998,,1.0,,,,
MUSIC_GENERATOR,diffrhythm,19,19,17,19,,0.038461538461538436,,1.0,,,,
MUSIC_GENERATOR,elevenlabs,12,12,10,12,,0.4,,1.0,,,,
MUSIC_GENERATOR,mubert,15,15,14,15,,0.21111111111111108,,1.0,,,,
MUSIC_GENERATOR,musicgen,14,14,13,14,,0.2361111111111111,,1.0,,,,
MUSIC_GENERATOR,musicldm,194,194,194,194,,0.10309278350515462,,,,,,
MUSIC_GENERATOR,mustango,192,192,192,192,,0.052083333333333356,,,,,,
MUSIC_GENERATOR,producer,17,17,14,17,,0.4222222222222222,,1.0,,,,
MUSIC_GENERATOR,real,175,175,150,175,0.25166666666666665,0.2666666666666667,,0.9952,,,,
MUSIC_GENERATOR,songgen,15,15,14,15,,0.5777777777777777,,1.0,,,,
MUSIC_GENERATOR,stable_audio_open,60,60,60,60,,0.2666666666666667,,,,,,
MUSIC_GENERATOR,stableaudio,17,17,15,17,,0.33333333333333337,,1.0,,,,
MUSIC_GENERATOR,suno,148,148,143,148,,0.04197651663405091,,1.0,,,,
MUSIC_GENERATOR,udio,150,150,147,150,,0.08831168831168833,,1.0,,,,
MUSIC_GENERATOR,nan,2027,2027,1516,1711,0.1213365736945497,0.1517144125558196,0.10520167240531234,0.9998580051531221,0.9974809312786215,0.8774283289199675,0.9986694682158718,0.8895524428495579
