SPLIT,SEED,FOLD,MODEL,N,GROUP_N,FILE_EER
codec_parent_disjoint,0,0,input_file,600,200,0.15498416857735564
codec_parent_disjoint,0,0,max_logit_w20_gated_v51,600,200,0.15991556574589655
codec_parent_disjoint,0,0,noisy_or_logit_w20_gated,600,200,0.15991556574589655
codec_parent_disjoint,0,0,presence_logit_max_w20_gated,600,200,0.15005277140881465
codec_parent_disjoint,0,0,phone_w30_w20_gated,600,200,0.15991556574589655
codec_parent_disjoint,0,0,learned_monotone_l2_1,600,200,0.1684863704188958
codec_parent_disjoint,0,1,input_file,600,200,0.1617216117216117
codec_parent_disjoint,0,1,max_logit_w20_gated_v51,600,200,0.1617216117216117
codec_parent_disjoint,0,1,noisy_or_logit_w20_gated,600,200,0.16300366300366298
codec_parent_disjoint,0,1,presence_logit_max_w20_gated,600,200,0.1703296703296703
codec_parent_disjoint,0,1,phone_w30_w20_gated,600,200,0.15677655677655677
codec_parent_disjoint,0,1,learned_monotone_l2_1,600,200,0.1617216117216117
codec_parent_disjoint,0,2,input_file,600,200,0.1901098901098901
codec_parent_disjoint,0,2,max_logit_w20_gated_v51,600,200,0.18021978021978025
codec_parent_disjoint,0,2,noisy_or_logit_w20_gated,600,200,0.1765567765567766
codec_parent_disjoint,0,2,presence_logit_max_w20_gated,600,200,0.18021978021978025
codec_parent_disjoint,0,2,phone_w30_w20_gated,600,200,0.18021978021978025
codec_parent_disjoint,0,2,learned_monotone_l2_1,600,200,0.18150183150183152
codec_parent_disjoint,0,3,input_file,600,200,0.15805860805860805
codec_parent_disjoint,0,3,max_logit_w20_gated_v51,600,200,0.17161172161172158
codec_parent_disjoint,0,3,noisy_or_logit_w20_gated,600,200,0.16666666666666663
codec_parent_disjoint,0,3,presence_logit_max_w20_gated,600,200,0.16300366300366298
codec_parent_disjoint,0,3,phone_w30_w20_gated,600,200,0.17161172161172158
codec_parent_disjoint,0,3,learned_monotone_l2_1,600,200,0.18150183150183152
codec_parent_disjoint,0,4,input_file,600,200,0.18150183150183152
codec_parent_disjoint,0,4,max_logit_w20_gated_v51,600,200,0.1765567765567766
codec_parent_disjoint,0,4,noisy_or_logit_w20_gated,600,200,0.18150183150183152
codec_parent_disjoint,0,4,presence_logit_max_w20_gated,600,200,0.1901098901098901
codec_parent_disjoint,0,4,phone_w30_w20_gated,600,200,0.1765567765567766
codec_parent_disjoint,0,4,learned_monotone_l2_1,600,200,0.1901098901098901
codec_parent_disjoint,1,0,input_file,600,200,0.1832805619245187
codec_parent_disjoint,1,0,max_logit_w20_gated_v51,600,200,0.17834916475597773
codec_parent_disjoint,1,0,noisy_or_logit_w20_gated,600,200,0.17834916475597773
codec_parent_disjoint,1,0,presence_logit_max_w20_gated,600,200,0.1832805619245187
codec_parent_disjoint,1,0,phone_w30_w20_gated,600,200,0.17834916475597773
codec_parent_disjoint,1,0,learned_monotone_l2_1,600,200,0.19185136659751795
codec_parent_disjoint,1,1,input_file,600,200,0.1617216117216117
codec_parent_disjoint,1,1,max_logit_w20_gated_v51,600,200,0.1481684981684982
codec_parent_disjoint,1,1,noisy_or_logit_w20_gated,600,200,0.1481684981684982
codec_parent_disjoint,1,1,presence_logit_max_w20_gated,600,200,0.16666666666666663
codec_parent_disjoint,1,1,phone_w30_w20_gated,600,200,0.14688644688644692
codec_parent_disjoint,1,1,learned_monotone_l2_1,600,200,0.1481684981684982
codec_parent_disjoint,1,2,input_file,600,200,0.16666666666666663
codec_parent_disjoint,1,2,max_logit_w20_gated_v51,600,200,0.1617216117216117
codec_parent_disjoint,1,2,noisy_or_logit_w20_gated,600,200,0.1617216117216117
codec_parent_disjoint,1,2,presence_logit_max_w20_gated,600,200,0.17161172161172158
codec_parent_disjoint,1,2,phone_w30_w20_gated,600,200,0.1703296703296703
codec_parent_disjoint,1,2,learned_monotone_l2_1,600,200,0.1765567765567766
codec_parent_disjoint,1,3,input_file,600,200,0.14322344322344324
codec_parent_disjoint,1,3,max_logit_w20_gated_v51,600,200,0.13827838827838826
codec_parent_disjoint,1,3,noisy_or_logit_w20_gated,600,200,0.12967032967032965
codec_parent_disjoint,1,3,presence_logit_max_w20_gated,600,200,0.14322344322344324
codec_parent_disjoint,1,3,phone_w30_w20_gated,600,200,0.13827838827838826
codec_parent_disjoint,1,3,learned_monotone_l2_1,600,200,0.15311355311355312
codec_parent_disjoint,1,4,input_file,600,200,0.20494505494505497
codec_parent_disjoint,1,4,max_logit_w20_gated_v51,600,200,0.20494505494505497
codec_parent_disjoint,1,4,noisy_or_logit_w20_gated,600,200,0.20494505494505497
codec_parent_disjoint,1,4,presence_logit_max_w20_gated,600,200,0.20989010989010992
codec_parent_disjoint,1,4,phone_w30_w20_gated,600,200,0.20494505494505497
codec_parent_disjoint,1,4,learned_monotone_l2_1,600,200,0.20494505494505497
codec_parent_disjoint,2,0,input_file,600,200,0.1617216117216117
codec_parent_disjoint,2,0,max_logit_w20_gated_v51,600,200,0.15677655677655677
codec_parent_disjoint,2,0,noisy_or_logit_w20_gated,600,200,0.15677655677655677
codec_parent_disjoint,2,0,presence_logit_max_w20_gated,600,200,0.16666666666666663
codec_parent_disjoint,2,0,phone_w30_w20_gated,600,200,0.1617216117216117
codec_parent_disjoint,2,0,learned_monotone_l2_1,600,200,0.16666666666666663
codec_parent_disjoint,2,1,input_file,600,200,0.18516483516483517
codec_parent_disjoint,2,1,max_logit_w20_gated_v51,600,200,0.18516483516483517
codec_parent_disjoint,2,1,noisy_or_logit_w20_gated,600,200,0.18516483516483517
codec_parent_disjoint,2,1,presence_logit_max_w20_gated,600,200,0.18516483516483517
codec_parent_disjoint,2,1,phone_w30_w20_gated,600,200,0.18516483516483517
codec_parent_disjoint,2,1,learned_monotone_l2_1,600,200,0.20366300366300363
codec_parent_disjoint,2,2,input_file,600,200,0.1617216117216117
codec_parent_disjoint,2,2,max_logit_w20_gated_v51,600,200,0.16666666666666663
codec_parent_disjoint,2,2,noisy_or_logit_w20_gated,600,200,0.16666666666666663
codec_parent_disjoint,2,2,presence_logit_max_w20_gated,600,200,0.1703296703296703
codec_parent_disjoint,2,2,phone_w30_w20_gated,600,200,0.17161172161172158
codec_parent_disjoint,2,2,learned_monotone_l2_1,600,200,0.18150183150183152
codec_parent_disjoint,2,3,input_file,600,200,0.21483516483516485
codec_parent_disjoint,2,3,max_logit_w20_gated_v51,600,200,0.20494505494505497
codec_parent_disjoint,2,3,noisy_or_logit_w20_gated,600,200,0.20494505494505497
codec_parent_disjoint,2,3,presence_logit_max_w20_gated,600,200,0.20860805860805864
codec_parent_disjoint,2,3,phone_w30_w20_gated,600,200,0.20494505494505497
codec_parent_disjoint,2,3,learned_monotone_l2_1,600,200,0.20494505494505497
codec_parent_disjoint,2,4,input_file,600,200,0.12175637806165157
codec_parent_disjoint,2,4,max_logit_w20_gated_v51,600,200,0.1266877752301925
codec_parent_disjoint,2,4,noisy_or_logit_w20_gated,600,200,0.12175637806165157
codec_parent_disjoint,2,4,presence_logit_max_w20_gated,600,200,0.1266877752301925
codec_parent_disjoint,2,4,phone_w30_w20_gated,600,200,0.1266877752301925
codec_parent_disjoint,2,4,learned_monotone_l2_1,600,200,0.13032718273465083
codec_parent_disjoint,3,0,input_file,600,200,0.18150183150183152
codec_parent_disjoint,3,0,max_logit_w20_gated_v51,600,200,0.18021978021978025
codec_parent_disjoint,3,0,noisy_or_logit_w20_gated,600,200,0.18021978021978025
codec_parent_disjoint,3,0,presence_logit_max_w20_gated,600,200,0.17161172161172158
codec_parent_disjoint,3,0,phone_w30_w20_gated,600,200,0.18021978021978025
codec_parent_disjoint,3,0,learned_monotone_l2_1,600,200,0.17161172161172158
codec_parent_disjoint,3,1,input_file,600,200,0.19139194139194138
codec_parent_disjoint,3,1,max_logit_w20_gated_v51,600,200,0.18644688644688645
codec_parent_disjoint,3,1,noisy_or_logit_w20_gated,600,200,0.18644688644688645
codec_parent_disjoint,3,1,presence_logit_max_w20_gated,600,200,0.19139194139194138
codec_parent_disjoint,3,1,phone_w30_w20_gated,600,200,0.18516483516483517
codec_parent_disjoint,3,1,learned_monotone_l2_1,600,200,0.21355311355311357
codec_parent_disjoint,3,2,input_file,600,200,0.16484696291443757
codec_parent_disjoint,3,2,max_logit_w20_gated_v51,600,200,0.15991556574589655
codec_parent_disjoint,3,2,noisy_or_logit_w20_gated,600,200,0.15991556574589655
codec_parent_disjoint,3,2,presence_logit_max_w20_gated,600,200,0.1734177675874368
codec_parent_disjoint,3,2,phone_w30_w20_gated,600,200,0.16484696291443757
codec_parent_disjoint,3,2,learned_monotone_l2_1,600,200,0.17834916475597773
codec_parent_disjoint,3,3,input_file,600,200,0.1617216117216117
codec_parent_disjoint,3,3,max_logit_w20_gated_v51,600,200,0.16666666666666663
