BANK,ROLE,MODEL,N,FILE_EER
train_channel_invariant,selection,input_file,3000,0.16802093073279512
train_channel_invariant,selection,max_logit_w20_gated_v51,3000,0.16604404175025642
train_channel_invariant,selection,noisy_or_logit_w20_gated,3000,0.16703248624152578
train_channel_invariant,selection,presence_logit_max_w20_gated,3000,0.1719747086978725
train_channel_invariant,selection,phone_w30_w20_gated,3000,0.16802093073279512
train_channel_invariant,selection,learned_monotone_l2_1,3000,0.1783802094536558
codec_mixed_dev_v4,selection,input_file,600,0.2333333333333333
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,600,0.21999999999999997
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,600,0.2211111111111111
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,600,0.2333333333333333
codec_mixed_dev_v4,selection,phone_w30_w20_gated,600,0.21333333333333337
codec_mixed_dev_v4,selection,learned_monotone_l2_1,600,0.20777777777777778
codec_mixed_blind_v5,retrospective_selection,input_file,240,0.21666666666666667
codec_mixed_blind_v5,retrospective_selection,max_logit_w20_gated_v51,240,0.2027777777777778
codec_mixed_blind_v5,retrospective_selection,noisy_or_logit_w20_gated,240,0.2138888888888889
codec_mixed_blind_v5,retrospective_selection,presence_logit_max_w20_gated,240,0.21666666666666667
codec_mixed_blind_v5,retrospective_selection,phone_w30_w20_gated,240,0.2027777777777778
codec_mixed_blind_v5,retrospective_selection,learned_monotone_l2_1,240,0.19999999999999998
codec_mixed_blind_v6,diagnostic_only_no_selection,input_file,240,0.2333333333333333
codec_mixed_blind_v6,diagnostic_only_no_selection,max_logit_w20_gated_v51,240,0.18611111111111112
codec_mixed_blind_v6,diagnostic_only_no_selection,noisy_or_logit_w20_gated,240,0.18611111111111112
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max_w20_gated,240,0.19999999999999998
codec_mixed_blind_v6,diagnostic_only_no_selection,phone_w30_w20_gated,240,0.18611111111111112
codec_mixed_blind_v6,diagnostic_only_no_selection,learned_monotone_l2_1,240,0.18333333333333335
