DATASET,LAYOUT,CASE,METHOD,N,FILE_EER
factorial,concurrent,vfmr,v46,50,0.52
factorial,concurrent,vfmr,v47,50,0.43999999999999995
factorial,concurrent,vfmr,dev_selected,50,0.43999999999999995
factorial,concurrent,vrmf,v46,50,0.31999999999999995
factorial,concurrent,vrmf,v47,50,0.36
factorial,concurrent,vrmf,dev_selected,50,0.4
factorial,concurrent,vfmf,v46,50,0.28
factorial,concurrent,vfmf,v47,50,0.24
factorial,concurrent,vfmf,dev_selected,50,0.24
factorial,partial_overlap,vfmr,v46,50,0.31999999999999995
factorial,partial_overlap,vfmr,v47,50,0.28
factorial,partial_overlap,vfmr,dev_selected,50,0.28
factorial,partial_overlap,vrmf,v46,50,0.19999999999999998
factorial,partial_overlap,vrmf,v47,50,0.24
factorial,partial_overlap,vrmf,dev_selected,50,0.28
factorial,partial_overlap,vfmf,v46,50,0.31999999999999995
factorial,partial_overlap,vfmf,v47,50,0.28
factorial,partial_overlap,vfmf,dev_selected,50,0.28
factorial,sequential,vfmr,v46,50,0.19999999999999998
factorial,sequential,vfmr,v47,50,0.19999999999999998
factorial,sequential,vfmr,dev_selected,50,0.28
factorial,sequential,vrmf,v46,50,0.31999999999999995
factorial,sequential,vrmf,v47,50,0.36
factorial,sequential,vrmf,dev_selected,50,0.36
factorial,sequential,vfmf,v46,50,0.12
factorial,sequential,vfmf,v47,50,0.07999999999999999
factorial,sequential,vfmf,dev_selected,50,0.07999999999999999
phone,simultaneous,vfmr,v46,200,0.31000000000000005
phone,simultaneous,vfmr,v47,200,0.21999999999999997
phone,simultaneous,vfmr,dev_selected,200,0.19999999999999998
phone,simultaneous,vrmf,v46,200,0.25
phone,simultaneous,vrmf,v47,200,0.29000000000000004
phone,simultaneous,vrmf,dev_selected,200,0.32999999999999996
phone,simultaneous,vfmf,v46,200,0.20999999999999996
phone,simultaneous,vfmf,v47,200,0.17000000000000004
phone,simultaneous,vfmf,dev_selected,200,0.18000000000000002
yue,concurrent,vfmr,v46,16,0.375
yue,concurrent,vfmr,v47,16,0.25
yue,concurrent,vfmr,dev_selected,16,0.375
yue,concurrent,vrmf,v46,16,0.375
yue,concurrent,vrmf,v47,16,0.5
yue,concurrent,vrmf,dev_selected,16,0.375
yue,concurrent,vfmf,v46,16,0.125
yue,concurrent,vfmf,v47,16,0.125
yue,concurrent,vfmf,dev_selected,16,0.125
yue,partial_overlap,vfmr,v46,16,0.0
yue,partial_overlap,vfmr,v47,16,0.0
yue,partial_overlap,vfmr,dev_selected,16,0.0
yue,partial_overlap,vrmf,v46,16,0.125
yue,partial_overlap,vrmf,v47,16,0.125
yue,partial_overlap,vrmf,dev_selected,16,0.125
yue,partial_overlap,vfmf,v46,16,0.0
yue,partial_overlap,vfmf,v47,16,0.0
yue,partial_overlap,vfmf,dev_selected,16,0.0
yue,sequential,vfmr,v46,16,0.125
yue,sequential,vfmr,v47,16,0.125
yue,sequential,vfmr,dev_selected,16,0.0
yue,sequential,vrmf,v46,16,0.0
yue,sequential,vrmf,v47,16,0.0
yue,sequential,vrmf,dev_selected,16,0.0
yue,sequential,vfmf,v46,16,0.0
yue,sequential,vfmf,v47,16,0.0
yue,sequential,vfmf,dev_selected,16,0.0
