ID,SOURCE_DATASET,SINGER_ID,ATTACK,VOICE_FAKE,SPLIT,AUTHENTICITY,UNUSED_PROTOCOL_FIELD
CtrSVDD_0000_T_0000000,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000001,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000002,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000003,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000004,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000005,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000006,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000007,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000008,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000009,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000010,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000011,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000012,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000013,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000014,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000015,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000016,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000017,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000018,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000019,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000020,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000021,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000022,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000023,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000024,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000025,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000026,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
