variant,channel,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
file_only:FILE,all,600,600,600,600,0.28,0.20666666666666667,0.2533333333333333,,,0.7426666666666666,,
file_only:FILE,clean,120,120,120,120,0.19999999999999998,0.11666666666666668,0.11666666666666668,,,0.8416666666666666,,
file_only:FILE,g711_ulaw,120,120,120,120,0.2333333333333333,0.09999999999999999,0.19999999999999998,,,0.8033333333333333,,
file_only:FILE,g722_wb,120,120,120,120,0.19444444444444445,0.09999999999999999,0.08333333333333334,,,0.8577777777777778,,
file_only:FILE,opus_nb_8k,120,120,120,120,0.3666666666666667,0.35,0.3666666666666667,,,0.6366666666666666,,
file_only:FILE,transcode_g711_opus,120,120,120,120,0.36111111111111105,0.31666666666666665,0.4,,,0.6361111111111111,,
file_only:VOICE,all,600,600,600,600,0.2333333333333333,0.3733333333333333,0.2533333333333333,,,0.7326666666666667,,
file_only:VOICE,clean,120,120,120,120,0.09999999999999999,0.35,0.11666666666666668,,,0.845,,
file_only:VOICE,g711_ulaw,120,120,120,120,0.19999999999999998,0.3833333333333333,0.19999999999999998,,,0.7633333333333334,,
file_only:VOICE,g722_wb,120,120,120,120,0.16666666666666663,0.3666666666666667,0.08333333333333334,,,0.8183333333333334,,
file_only:VOICE,opus_nb_8k,120,120,120,120,0.33333333333333337,0.35,0.3666666666666667,,,0.6533333333333333,,
file_only:VOICE,transcode_g711_opus,120,120,120,120,0.30000000000000004,0.4,0.4,,,0.6499999999999999,,
file_only:MUSIC,all,600,600,600,600,0.2333333333333333,0.20666666666666667,0.17333333333333334,,,0.79,,
file_only:MUSIC,clean,120,120,120,120,0.09999999999999999,0.11666666666666668,0.06666666666666665,,,0.9066666666666667,,
file_only:MUSIC,g711_ulaw,120,120,120,120,0.19999999999999998,0.09999999999999999,0.11666666666666668,,,0.845,,
file_only:MUSIC,g722_wb,120,120,120,120,0.16666666666666663,0.09999999999999999,0.08333333333333334,,,0.8716666666666666,,
