axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
DATASET,asvspoof_voice_wav_dev_v1,176,176,176,0,0.2556847545219638,0.24431524547803618,,,,,,
DATASET,codec_mixed_dev_v4,600,600,600,600,0.2733333333333333,0.32666666666666666,0.16333333333333333,,,0.749,,
DATASET,echoes_fma_paired_v3,111,111,0,111,0.05405844155844157,,0.05405844155844157,,,,,
DATASET,external_mixed_v1,400,400,400,400,0.15166666666666667,0.21499999999999997,0.125,,,0.8436666666666668,,
DATASET,external_mixed_v1_telephone_v1,400,400,400,400,0.16833333333333333,0.245,0.135,,,0.8263333333333334,,
DATASET,factorial_eval_1200_v2,400,400,350,350,0.17527272727272727,0.24,0.17714285714285716,0.9962857142857142,0.9999428571428571,0.8112207792207793,0.9981142857142857,0.8299101298701299
DATASET,mixfake_music_dev_v1,1600,1600,1600,1600,0.12749999999999997,0.16374999999999998,0.12875000000000003,,,0.8648750000000001,,
DATASET,multigen_voice_v2,90,90,90,0,0.125,0.16666666666666663,,,,,,
DATASET,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.28,0.08999999999999998,,,0.807,,
DATASET,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.31666666666666665,0.30000000000000004,0.17000000000000004,,,0.7306666666666667,,
DATASET,source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.050000000000000024,,,,,
CHANNEL_V57,clean,120,120,120,120,0.16666666666666663,0.35,0.06666666666666665,,,0.8266666666666667,,
CHANNEL_V57,clean_flac,66,66,58,58,0.2554347826086957,0.2068965517241379,0.25833333333333336,0.9892241379310345,1.0,0.7534032983508246,0.9946120689655172,0.7775241754122939
CHANNEL_V57,common_flac16k,511,511,0,511,0.04305300245098037,,0.054794730392156876,,,,,
CHANNEL_V57,flac16k,600,600,600,600,0.18000000000000002,0.2466666666666667,0.11666666666666668,,,0.8256666666666665,,
CHANNEL_V57,g711_ulaw,120,120,120,120,0.19999999999999998,0.33333333333333337,0.08333333333333334,,,0.8083333333333333,,
CHANNEL_V57,g722_wb,120,120,120,120,0.17222222222222222,0.35,0.08333333333333334,,,0.8188888888888888,,
CHANNEL_V57,mp3_64k,67,67,58,59,0.14751552795031056,0.13793103448275865,0.16954022988505746,1.0,1.0,0.8477939601627758,1.0,0.8630145641464981
CHANNEL_V57,noisy_flac,66,66,58,58,0.09206349206349207,0.2068965517241379,0.1380952380952381,0.9978448275862069,1.0,0.871160372194855,0.9989224137931034,0.8839365763546798
