DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
mixfake_music_dev_v1,1600,1600,1600,1600,0.275,0.358125,0.24125000000000002,,,0.7184999999999999,,
factorial_eval_1200_v2,400,400,350,350,0.2570909090909091,0.36,0.22857142857142854,,,0.7308831168831169,,
external_mixed_v1,400,400,400,400,0.24,0.24,0.22999999999999998,,,0.763,,
source_disjoint_mixed_v1,200,200,200,200,0.28,0.32999999999999996,0.25,,,0.719,,
source_disjoint_mixed_equal_v1,200,200,200,200,0.26,0.35,0.18999999999999997,,,0.743,,
source_disjoint_music_v1,400,400,0,400,0.14500000000000002,,0.14500000000000002,,,,,
asvspoof_voice_wav_dev_v1,176,176,176,0,0.18746770025839793,0.22157622739018085,,,,,,
external_mixed_v1_telephone_v1,400,400,400,400,0.24,0.235,0.25,,,0.758,,
source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.31999999999999995,0.38,0.28,,,0.68,,
telephone_mixed_dev_v1,600,600,600,600,0.2611111111111111,0.2766666666666666,0.2466666666666667,,,0.7401111111111112,,
multigen_voice_v2,90,90,90,0,0.2333333333333333,0.2666666666666667,,,,,,
echoes_fma_paired_v3,111,111,0,111,0.18019480519480519,,0.1621753246753247,,,,,
codec_mixed_dev_v4,600,600,600,600,0.30000000000000004,0.37,0.24333333333333332,,,0.703,,
