DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
mixfake_music_dev_v1,1600,1600,1600,1600,0.24041666666666667,0.05374999999999998,0.43374999999999997,,,0.7389166666666667,,
factorial_eval_1200_v2,400,400,350,350,0.4076363636363636,0.5085714285714286,0.32857142857142857,,,0.5958961038961039,,
external_mixed_v1,400,400,400,400,0.32999999999999996,0.31499999999999995,0.33499999999999996,,,0.6715,,
source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.19999999999999998,0.17500000000000002,,,0.7975,,
source_disjoint_mixed_equal_v1,200,200,200,200,0.21666666666666667,0.20999999999999996,0.16000000000000003,,,0.8016666666666667,,
source_disjoint_music_v1,400,400,0,400,0.050000000000000024,,0.04000000000000002,,,,,
asvspoof_voice_wav_dev_v1,176,176,176,0,0.12506459948320414,0.11369509043927647,,,,,,
external_mixed_v1_telephone_v1,400,400,400,400,0.33999999999999997,0.35,0.375,,,0.6475,,
source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.23666666666666664,0.265,0.235,,,0.7581666666666667,,
telephone_mixed_dev_v1,600,600,600,600,0.31999999999999995,0.31999999999999995,0.305,,,0.6845000000000001,,
multigen_voice_v2,90,90,90,0,0.43333333333333335,0.5083333333333333,,,,,,
echoes_fma_paired_v3,111,111,0,111,0.2883116883116883,,0.2883116883116883,,,,,
codec_mixed_dev_v4,600,600,600,600,0.3611111111111111,0.2733333333333333,0.45333333333333337,,,0.6287777777777777,,
