DATASET,CELL,TASK,MODEL,N,LABEL_MEAN,GLOBAL_EER_THRESHOLD,ERROR_RATE,SCORE_Q10,SCORE_MEDIAN,SCORE_Q90
factorial,concurrent__voice_fake__music_fake,FILE,v18,25,1.0,0.5814762327475409,0.44,0.2369425229309058,0.614836533181559,0.9282509585750623
factorial,concurrent__voice_fake__music_real,FILE,v18,25,1.0,0.5814762327475409,0.84,0.034351181246661734,0.33198647400134956,0.7389282644858252
factorial,concurrent__voice_real__music_fake,FILE,v18,25,1.0,0.5814762327475409,0.52,0.14642876355301873,0.5302756523981296,0.7810261135857163
factorial,concurrent__voice_real__music_real,FILE,v18,25,0.0,0.5814762327475409,0.24,0.06194886037144039,0.31340663616205294,0.8364358180784329
factorial,music_only__music_fake,FILE,v18,25,1.0,0.5814762327475409,0.24,0.269547053629458,0.7568463040148503,0.8498083575080004
factorial,music_only__music_real,FILE,v18,25,0.0,0.5814762327475409,0.04,0.10498230705919184,0.2887435571447682,0.5341730321372067
factorial,partial_overlap__voice_fake__music_fake,FILE,v18,25,1.0,0.5814762327475409,0.24,0.3882231035201389,0.7972953493455661,0.9681898652646143
factorial,partial_overlap__voice_fake__music_real,FILE,v18,25,1.0,0.5814762327475409,0.16,0.5238951311409759,0.8478012301127392,0.9362216142703343
factorial,partial_overlap__voice_real__music_fake,FILE,v18,25,1.0,0.5814762327475409,0.12,0.5676657842585733,0.7934869343101794,0.9005116997013793
factorial,partial_overlap__voice_real__music_real,FILE,v18,25,0.0,0.5814762327475409,0.36,0.1979103332363177,0.4905128682878559,0.79399258692232
factorial,sequential__voice_fake__music_fake,FILE,v18,25,1.0,0.5814762327475409,0.0,0.849421838580824,0.9441465089685508,0.9853222468661222
factorial,sequential__voice_fake__music_real,FILE,v18,25,1.0,0.5814762327475409,0.0,0.6728273865427171,0.8638128366117009,0.951197889676027
factorial,sequential__voice_real__music_fake,FILE,v18,25,1.0,0.5814762327475409,0.2,0.5267003788731716,0.8017131879638633,0.8940243880458869
factorial,sequential__voice_real__music_real,FILE,v18,25,0.0,0.5814762327475409,0.64,0.4172124074222637,0.6982780123400679,0.814803184758109
factorial,voice_only__voice_fake,FILE,v18,25,1.0,0.5814762327475409,0.04,0.8567872008262338,0.9829453510263987,0.9993552697768591
factorial,voice_only__voice_real,FILE,v18,25,0.0,0.5814762327475409,0.0,0.0015810795492422359,0.0777676675553706,0.21966173854472915
factorial,concurrent__voice_fake__music_fake,VOICE,v18,25,1.0,0.7468768858781002,0.24,0.23298439096071466,0.8538132200040764,0.9641108465473525
factorial,concurrent__voice_fake__music_real,VOICE,v18,25,1.0,0.7468768858781002,0.36,0.0669121682534439,0.8232934195751962,0.9661536810034375
factorial,concurrent__voice_real__music_fake,VOICE,v18,25,0.0,0.7468768858781002,0.24,0.008008528689569255,0.5842592100311652,0.8999732768949601
factorial,concurrent__voice_real__music_real,VOICE,v18,25,0.0,0.7468768858781002,0.32,0.0016304094257864157,0.485973637289899,0.892432241559473
factorial,partial_overlap__voice_fake__music_fake,VOICE,v18,25,1.0,0.7468768858781002,0.36,0.6537681469347493,0.8413292476363053,0.9526492318554949
factorial,partial_overlap__voice_fake__music_real,VOICE,v18,25,1.0,0.7468768858781002,0.2,0.6342721839268456,0.8561714377117268,0.9537605432057057
factorial,partial_overlap__voice_real__music_fake,VOICE,v18,25,0.0,0.7468768858781002,0.24,0.37005220438624026,0.6275216767058731,0.8901171870484075
factorial,partial_overlap__voice_real__music_real,VOICE,v18,25,0.0,0.7468768858781002,0.4,0.1470795772335743,0.6282095157341692,0.8919732755664673
factorial,sequential__voice_fake__music_fake,VOICE,v18,25,1.0,0.7468768858781002,0.08,0.7875809886789245,0.8987384412690038,0.9792582306899337
factorial,sequential__voice_fake__music_real,VOICE,v18,25,1.0,0.7468768858781002,0.24,0.55768285321728,0.850631059169326,0.9315092073383997
factorial,sequential__voice_real__music_fake,VOICE,v18,25,0.0,0.7468768858781002,0.16,0.2717442610781901,0.49914361358905224,0.7803429355671543
factorial,sequential__voice_real__music_real,VOICE,v18,25,0.0,0.7468768858781002,0.2,0.27899453124509194,0.57856634515249,0.7693098056553234
factorial,voice_only__voice_fake,VOICE,v18,25,1.0,0.7468768858781002,0.08,0.8447140431673293,0.9869012522256541,0.9994035812190162
factorial,voice_only__voice_real,VOICE,v18,25,0.0,0.7468768858781002,0.0,0.00017864864969127195,0.004762741910245366,0.11613404493937327
factorial,concurrent__voice_fake__music_fake,MUSIC,v18,25,1.0,0.42092200460700224,0.52,0.15404834954255858,0.4117530848261557,0.6293637692930718
factorial,concurrent__voice_fake__music_real,MUSIC,v18,25,0.0,0.42092200460700224,0.04,0.004717470506276232,0.07793513524016411,0.3116780888799733
factorial,concurrent__voice_real__music_fake,MUSIC,v18,25,1.0,0.42092200460700224,0.52,0.08292030926281466,0.3380260561834248,0.709332489350051
factorial,concurrent__voice_real__music_real,MUSIC,v18,25,0.0,0.42092200460700224,0.12,0.006903399959348739,0.11841388703265783,0.3878860747069906
factorial,music_only__music_fake,MUSIC,v18,25,1.0,0.42092200460700224,0.2,0.23313219911398037,0.6826012577134063,0.8279121418630186
factorial,music_only__music_real,MUSIC,v18,25,0.0,0.42092200460700224,0.12,0.018760184241771692,0.1637168741842043,0.47282289485076623
factorial,partial_overlap__voice_fake__music_fake,MUSIC,v18,25,1.0,0.42092200460700224,0.28,0.2365840577272008,0.5651671008452539,0.9027108876687945
factorial,partial_overlap__voice_fake__music_real,MUSIC,v18,25,0.0,0.42092200460700224,0.32,0.05489058821765607,0.34118902787903926,0.5427683304663727
factorial,partial_overlap__voice_real__music_fake,MUSIC,v18,25,1.0,0.42092200460700224,0.36,0.20099837053134956,0.5966036364276844,0.8398623176163134
factorial,partial_overlap__voice_real__music_real,MUSIC,v18,25,0.0,0.42092200460700224,0.24,0.0657824117228099,0.20282624075107913,0.6072840237180616
factorial,sequential__voice_fake__music_fake,MUSIC,v18,25,1.0,0.42092200460700224,0.0,0.494134819524739,0.7430713505115796,0.862551379146284
factorial,sequential__voice_fake__music_real,MUSIC,v18,25,0.0,0.42092200460700224,0.6,0.2639461190261432,0.4627633769921603,0.7580136659140163
factorial,sequential__voice_real__music_fake,MUSIC,v18,25,1.0,0.42092200460700224,0.04,0.5120743057051717,0.60970186122524,0.8378272430578327
factorial,sequential__voice_real__music_real,MUSIC,v18,25,0.0,0.42092200460700224,0.48,0.1887933352371266,0.4045717717623069,0.6803191432334998
factorial,concurrent__voice_fake__music_fake,FILE,patch,25,1.0,0.99959165,0.04,0.99989474,0.99999875,0.9999999
factorial,concurrent__voice_fake__music_real,FILE,patch,25,1.0,0.99959165,0.88,0.6039733,0.9887833,0.999804032
factorial,concurrent__voice_real__music_fake,FILE,patch,25,1.0,0.99959165,0.4,0.97400022,0.99983245,0.9999997
factorial,concurrent__voice_real__music_real,FILE,patch,25,0.0,0.99959165,0.12,0.17736816400000002,0.9455319,0.998141544
factorial,music_only__music_fake,FILE,patch,25,1.0,0.99959165,0.16,0.996771284,0.99999607,1.0
factorial,music_only__music_real,FILE,patch,25,0.0,0.99959165,0.24,0.10599193600000001,0.99562854,0.9999420619999999
factorial,partial_overlap__voice_fake__music_fake,FILE,patch,25,1.0,0.99959165,0.08,0.9998345359999999,0.9999924,0.9999996
factorial,partial_overlap__voice_fake__music_real,FILE,patch,25,1.0,0.99959165,0.32,0.98483492,0.9999378,0.999997724
factorial,partial_overlap__voice_real__music_fake,FILE,patch,25,1.0,0.99959165,0.08,0.999710776,0.9999946,0.9999999
factorial,partial_overlap__voice_real__music_real,FILE,patch,25,0.0,0.99959165,0.36,0.7056241580000001,0.9937463,0.9999722919999999
factorial,sequential__voice_fake__music_fake,FILE,patch,25,1.0,0.99959165,0.12,0.99279976,0.9999996,1.0
factorial,sequential__voice_fake__music_real,FILE,patch,25,1.0,0.99959165,0.32,0.98328278,0.99993694,0.9999989
factorial,sequential__voice_real__music_fake,FILE,patch,25,1.0,0.99959165,0.12,0.9989260600000001,0.9999916,0.999999712
factorial,sequential__voice_real__music_real,FILE,patch,25,0.0,0.99959165,0.36,0.37289344,0.9964612,0.999915702
factorial,voice_only__voice_fake,FILE,patch,25,1.0,0.99959165,0.44,0.5405721240000001,0.9996329,0.999995974
factorial,voice_only__voice_real,FILE,patch,25,0.0,0.99959165,0.28,0.02886508720000001,0.9388415,0.9999399
factorial,concurrent__voice_fake__music_fake,VOICE,patch,25,1.0,0.9841101,0.76,0.38811538,0.87747824,0.99924174
factorial,concurrent__voice_fake__music_real,VOICE,patch,25,1.0,0.9841101,0.68,0.33454309200000004,0.8682969,0.998594416
factorial,concurrent__voice_real__music_fake,VOICE,patch,25,0.0,0.9841101,0.2,0.3624064460000001,0.9181643,0.99913586
factorial,concurrent__voice_real__music_real,VOICE,patch,25,0.0,0.9841101,0.2,0.079267906,0.7063994,0.992220288
