DATASET,MODEL,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,v18,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
factorial,patch,400,400,350,350,0.27054545454545453,0.34285714285714286,0.19428571428571428,,,0.7378701298701298,,
factorial,fused05,400,400,350,350,0.24763636363636365,0.22285714285714286,0.2457142857142857,,,0.757896103896104,,
factorial,fused15,400,400,350,350,0.23054545454545455,0.22285714285714286,0.21714285714285717,,,0.7750129870129869,,
phone,v18,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.345,,,0.7338571428571429,,
phone,patch,1200,1200,800,800,0.16828571428571432,0.30000000000000004,0.07999999999999999,,,0.8318571428571429,,
phone,fused05,1200,1200,800,800,0.20414285714285713,0.16749999999999998,0.245,,,0.7909285714285714,,
phone,fused15,1200,1200,800,800,0.16000000000000003,0.16749999999999998,0.13,,,0.8475,,
yue,v18,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,patch,124,124,108,124,0.21807065217391303,0.41666666666666663,0.20967741935483875,,,0.7447281147732585,,
yue,fused05,124,124,108,124,0.15421195652173914,0.10208333333333333,0.17741935483870966,,,0.849251548620851,,
yue,fused15,124,124,108,124,0.15421195652173914,0.10208333333333333,0.17741935483870966,,,0.849251548620851,,
