DATASET,CONTRAST,TASK,PAIRS,V18_PAIR_ERROR,PATCH_PAIR_ERROR,PATCH_CORRECTS_ALL,PATCH_HARMS_ALL,PATCH_CORRECTS_V18_ERRORS,FUSED05_PAIR_ERROR,FUSED15_PAIR_ERROR
factorial,voice_only,VOICE,625,0.022399999999999975,0.23040000000000005,0.008,0.216,0.35714285714285715,0.022399999999999975,0.022399999999999975
factorial,music_only,MUSIC,625,0.1008,0.1632,0.0704,0.1328,0.6984126984126984,0.08640000000000003,0.09599999999999997
factorial,concurrent|music_0,VOICE,625,0.3184,0.368,0.1904,0.24,0.5979899497487438,0.3184,0.3184
factorial,concurrent|voice_0,MUSIC,625,0.22719999999999996,0.15200000000000002,0.1392,0.064,0.6126760563380281,0.1936,0.15359999999999996
factorial,concurrent|music_1,VOICE,625,0.2528,0.5232,0.0928,0.3632,0.3670886075949367,0.2528,0.2528
factorial,concurrent|voice_1,MUSIC,625,0.13439999999999996,0.036800000000000055,0.1232,0.0256,0.9166666666666666,0.07199999999999995,0.030399999999999983
factorial,concurrent|file_rr_vs_voice_fake+music_real,FILE,625,0.5744,0.36639999999999995,0.368,0.16,0.6406685236768802,0.5488,0.5327999999999999
factorial,concurrent|file_rr_vs_voice_real+music_fake,FILE,625,0.384,0.15359999999999996,0.3152,0.0848,0.8208333333333333,0.33120000000000005,0.23199999999999998
factorial,concurrent|file_rr_vs_voice_fake+music_fake,FILE,625,0.2944,0.05279999999999996,0.2688,0.0272,0.9130434782608695,0.2288,0.13439999999999996
factorial,partial_overlap|music_0,VOICE,625,0.24160000000000004,0.16959999999999997,0.1824,0.1104,0.7549668874172185,0.24160000000000004,0.24160000000000004
factorial,partial_overlap|voice_0,MUSIC,625,0.1936,0.09760000000000002,0.1584,0.0624,0.8181818181818182,0.136,0.08960000000000001
factorial,partial_overlap|music_1,VOICE,625,0.23199999999999998,0.3024,0.1216,0.192,0.5241379310344828,0.23199999999999998,0.23199999999999998
factorial,partial_overlap|voice_1,MUSIC,625,0.23199999999999998,0.14880000000000004,0.1744,0.0912,0.7517241379310344,0.20320000000000005,0.1552
factorial,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,625,0.21120000000000005,0.28,0.1456,0.2144,0.6893939393939394,0.20479999999999998,0.19840000000000002
factorial,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,625,0.21440000000000003,0.12480000000000002,0.1648,0.0752,0.7686567164179104,0.17920000000000003,0.13439999999999996
factorial,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,625,0.24639999999999995,0.08640000000000003,0.2032,0.0432,0.8246753246753247,0.2208,0.1632
factorial,sequential|music_0,VOICE,625,0.15680000000000005,0.21919999999999995,0.1072,0.1696,0.6836734693877551,0.15680000000000005,0.15680000000000005
factorial,sequential|voice_0,MUSIC,625,0.17600000000000005,0.08640000000000003,0.152,0.0624,0.8636363636363636,0.09599999999999997,0.06399999999999995
factorial,sequential|music_1,VOICE,625,0.05600000000000005,0.10560000000000003,0.0496,0.0992,0.8857142857142857,0.05600000000000005,0.05600000000000005
factorial,sequential|voice_1,MUSIC,625,0.18879999999999997,0.19199999999999995,0.1232,0.1264,0.652542372881356,0.1472,0.12960000000000005
factorial,sequential|file_rr_vs_voice_fake+music_real,FILE,625,0.15200000000000002,0.264,0.0832,0.1952,0.5473684210526316,0.13759999999999994,0.16000000000000003
factorial,sequential|file_rr_vs_voice_real+music_fake,FILE,625,0.31520000000000004,0.14559999999999995,0.2464,0.0768,0.7817258883248731,0.25439999999999996,0.17120000000000002
factorial,sequential|file_rr_vs_voice_fake+music_fake,FILE,625,0.04800000000000004,0.12480000000000002,0.04,0.1168,0.8333333333333334,0.036800000000000055,0.030399999999999983
phone,speech_only,VOICE,40000,0.010249999999999981,0.17069999999999996,0.008775,0.169225,0.8560975609756097,0.010249999999999981,0.010249999999999981
phone,speech_only_file,FILE,40000,0.008600000000000052,0.17937499999999995,0.007625,0.1784,0.8866279069767442,0.006549999999999945,0.004874999999999963
phone,music_only,MUSIC,40000,0.22545000000000004,0.026375000000000037,0.20595,0.006875,0.9135063206919495,0.14097499999999996,0.0706
