VOCODER,MODEL,FAKE_N,REAL_N,N,POS,EER,AUC
neural_vocoder_autoregressive,v18,120,400,520,120,0.14208333333333334,0.9513333333333334
neural_vocoder_autoregressive,patch,120,400,520,120,0.23291666666666666,0.8386666666666667
neural_vocoder_autoregressive,fused05,120,400,520,120,0.14208333333333334,0.9513333333333334
neural_vocoder_autoregressive,fused15,120,400,520,120,0.14208333333333334,0.9513333333333334
neural_vocoder_nonautoregressive,v18,56,400,456,56,0.1780357142857143,0.9295089285714286
neural_vocoder_nonautoregressive,patch,56,400,456,56,0.3219642857142857,0.7296651785714285
neural_vocoder_nonautoregressive,fused05,56,400,456,56,0.1780357142857143,0.9295089285714286
neural_vocoder_nonautoregressive,fused15,56,400,456,56,0.1780357142857143,0.9295089285714286
traditional_vocoder,v18,192,400,592,192,0.1670833333333333,0.9272395833333332
traditional_vocoder,patch,192,400,592,192,0.3278125,0.7337109374999999
traditional_vocoder,fused05,192,400,592,192,0.1670833333333333,0.9272395833333332
traditional_vocoder,fused15,192,400,592,192,0.1670833333333333,0.9272395833333332
unknown,v18,32,400,432,32,0.1875,0.9103125
unknown,patch,32,400,432,32,0.280625,0.7590234375
unknown,fused05,32,400,432,32,0.1875,0.9103125
unknown,fused15,32,400,432,32,0.1875,0.9103125
