DATASET,GROUP,VALUE,TASK,MODEL,N,POS,EER,AUC
factorial,MIX_MODE,concurrent,FILE,v18,100,75,0.43999999999999995,0.5824
factorial,MIX_MODE,concurrent,FILE,patch,100,75,0.24,0.8090666666666666
factorial,MIX_MODE,concurrent,FILE,fused05,100,75,0.39333333333333337,0.6304
factorial,MIX_MODE,concurrent,FILE,fused15,100,75,0.36,0.7002666666666667
factorial,MIX_MODE,concurrent,VOICE,v18,100,50,0.30000000000000004,0.7152000000000001
factorial,MIX_MODE,concurrent,VOICE,patch,100,50,0.48,0.5596000000000001
factorial,MIX_MODE,concurrent,VOICE,fused05,100,50,0.30000000000000004,0.7152000000000001
factorial,MIX_MODE,concurrent,VOICE,fused15,100,50,0.30000000000000004,0.7152000000000001
factorial,MIX_MODE,concurrent,MUSIC,v18,100,50,0.26,0.8191999999999999
factorial,MIX_MODE,concurrent,MUSIC,patch,100,50,0.16000000000000003,0.9014000000000001
factorial,MIX_MODE,concurrent,MUSIC,fused05,100,50,0.18000000000000002,0.8724
factorial,MIX_MODE,concurrent,MUSIC,fused15,100,50,0.14,0.9072
factorial,MIX_MODE,music_only,FILE,v18,50,25,0.19999999999999998,0.8832
factorial,MIX_MODE,music_only,FILE,patch,50,25,0.24,0.8400000000000001
factorial,MIX_MODE,music_only,FILE,fused05,50,25,0.19999999999999998,0.8928
factorial,MIX_MODE,music_only,FILE,fused15,50,25,0.19999999999999998,0.8992
factorial,MIX_MODE,music_only,MUSIC,v18,50,25,0.19999999999999998,0.8992
factorial,MIX_MODE,music_only,MUSIC,patch,50,25,0.24,0.8392000000000001
factorial,MIX_MODE,music_only,MUSIC,fused05,50,25,0.24,0.9136
factorial,MIX_MODE,music_only,MUSIC,fused15,50,25,0.19999999999999998,0.904
factorial,MIX_MODE,partial_overlap,FILE,v18,100,75,0.31999999999999995,0.776
factorial,MIX_MODE,partial_overlap,FILE,patch,100,75,0.24666666666666665,0.8365333333333334
factorial,MIX_MODE,partial_overlap,FILE,fused05,100,75,0.2733333333333334,0.7984
factorial,MIX_MODE,partial_overlap,FILE,fused15,100,75,0.24666666666666665,0.8346666666666666
factorial,MIX_MODE,partial_overlap,VOICE,v18,100,50,0.30000000000000004,0.7568
factorial,MIX_MODE,partial_overlap,VOICE,patch,100,50,0.31999999999999995,0.7748
factorial,MIX_MODE,partial_overlap,VOICE,fused05,100,50,0.30000000000000004,0.7568
factorial,MIX_MODE,partial_overlap,VOICE,fused15,100,50,0.30000000000000004,0.7568
factorial,MIX_MODE,partial_overlap,MUSIC,v18,100,50,0.31999999999999995,0.7847999999999999
factorial,MIX_MODE,partial_overlap,MUSIC,patch,100,50,0.18000000000000002,0.8804
factorial,MIX_MODE,partial_overlap,MUSIC,fused05,100,50,0.26,0.8344
factorial,MIX_MODE,partial_overlap,MUSIC,fused15,100,50,0.24,0.8795999999999999
factorial,MIX_MODE,sequential,FILE,v18,100,75,0.24666666666666665,0.8282666666666667
factorial,MIX_MODE,sequential,FILE,patch,100,75,0.23333333333333334,0.8226666666666667
factorial,MIX_MODE,sequential,FILE,fused05,100,75,0.2066666666666667,0.8570666666666668
factorial,MIX_MODE,sequential,FILE,fused15,100,75,0.16000000000000003,0.8794666666666666
factorial,MIX_MODE,sequential,VOICE,v18,100,50,0.18000000000000002,0.8947999999999999
factorial,MIX_MODE,sequential,VOICE,patch,100,50,0.24,0.8348
factorial,MIX_MODE,sequential,VOICE,fused05,100,50,0.18000000000000002,0.8947999999999999
factorial,MIX_MODE,sequential,VOICE,fused15,100,50,0.18000000000000002,0.8947999999999999
factorial,MIX_MODE,sequential,MUSIC,v18,100,50,0.30000000000000004,0.8132
factorial,MIX_MODE,sequential,MUSIC,patch,100,50,0.24,0.8602
factorial,MIX_MODE,sequential,MUSIC,fused05,100,50,0.21999999999999997,0.8748
factorial,MIX_MODE,sequential,MUSIC,fused15,100,50,0.18000000000000002,0.904
factorial,MIX_MODE,voice_only,FILE,v18,50,25,0.04000000000000002,0.9856
factorial,MIX_MODE,voice_only,FILE,patch,50,25,0.31999999999999995,0.7392
factorial,MIX_MODE,voice_only,FILE,fused05,50,25,0.04000000000000002,0.984
factorial,MIX_MODE,voice_only,FILE,fused15,50,25,0.04000000000000002,0.9776
factorial,MIX_MODE,voice_only,VOICE,v18,50,25,0.04000000000000002,0.9776
factorial,MIX_MODE,voice_only,VOICE,patch,50,25,0.31999999999999995,0.7696000000000001
