DATASET,VARIANT,OLD_VOICE_AUC,NEW_VOICE_AUC,OLD_MUSIC_AUC,NEW_MUSIC_AUC,OLD_CPS,NEW_CPS,GATE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,presence_only,0.9936190476190476,0.9986920634920635,0.9945968253968254,0.9971619047619048,0.9941079365079365,0.9979269841269842,,,,,,,,,,,,,
factorial,propagated_gate,,,,,,,0.4,1200.0,1200.0,1050.0,1050.0,0.30157575757575755,0.2895238095238095,0.3695238095238095,0.9986920634920635,0.9971619047619048,0.6804502164502164,0.9979269841269842,0.7121978932178933
factorial,propagated_gate,,,,,,,0.5,1200.0,1200.0,1050.0,1050.0,0.3117575757575758,0.2895238095238095,0.3695238095238095,0.9986920634920635,0.9971619047619048,0.6753593073593074,0.9979269841269842,0.7076160750360752
factorial,propagated_gate,,,,,,,0.6,1200.0,1200.0,1050.0,1050.0,0.32315151515151513,0.2895238095238095,0.3695238095238095,0.9986920634920635,0.9971619047619048,0.6696623376623376,0.9979269841269842,0.7024888023088023
factorial,propagated_gate,,,,,,,0.7,1200.0,1200.0,1050.0,1050.0,0.3549090909090909,0.2895238095238095,0.3695238095238095,0.9986920634920635,0.9971619047619048,0.6537835497835498,0.9979269841269842,0.6881978932178933
factorial,propagated_gate,,,,,,,0.8,1200.0,1200.0,1050.0,1050.0,0.3441212121212121,0.2895238095238095,0.3695238095238095,0.9986920634920635,0.9971619047619048,0.6591774891774892,0.9979269841269842,0.6930524386724387
factorial,decoupled_gate,,,,,,,,1200.0,1200.0,1050.0,1050.0,0.3492121212121212,0.2895238095238095,0.3695238095238095,0.9986920634920635,0.9971619047619048,0.6566320346320347,0.9979269841269842,0.6907615295815297
yue,presence_only,0.9837962962962963,0.9971064814814815,,,0.9837962962962963,0.9971064814814815,,,,,,,,,,,,,
yue,propagated_gate,,,,,,,0.4,124.0,124.0,108.0,124.0,0.34035326086956524,0.16666666666666663,0.3709677419354839,0.9971064814814815,,0.6851997136512389,,
yue,propagated_gate,,,,,,,0.5,124.0,124.0,108.0,124.0,0.34578804347826086,0.16666666666666663,0.3709677419354839,0.9971064814814815,,0.6824823223468911,,
yue,propagated_gate,,,,,,,0.6,124.0,124.0,108.0,124.0,0.34035326086956524,0.16666666666666663,0.3709677419354839,0.9971064814814815,,0.6851997136512389,,
yue,propagated_gate,,,,,,,0.7,124.0,124.0,108.0,124.0,0.34578804347826086,0.16666666666666663,0.3709677419354839,0.9971064814814815,,0.6824823223468911,,
yue,propagated_gate,,,,,,,0.8,124.0,124.0,108.0,124.0,0.39877717391304346,0.16666666666666663,0.3709677419354839,0.9971064814814815,,0.6559877571294997,,
yue,decoupled_gate,,,,,,,,124.0,124.0,108.0,124.0,0.37771739130434784,0.16666666666666663,0.3709677419354839,0.9971064814814815,,0.6665176484338475,,
competition_v2,presence_only,0.9702441133074441,0.9809653782809536,0.9668027946157961,0.972078913353539,0.9685234539616201,0.9765221458172464,,,,,,,,,,,,,
competition_v2,propagated_gate,,,,,,,0.4,1200.0,1200.0,883.0,568.0,0.1483164983164983,0.0362401370804732,0.3292292813569409,0.9809653782809536,0.972078913353539,0.8198249390185739,0.9765221458172464,0.8354946596984412
competition_v2,propagated_gate,,,,,,,0.5,1200.0,1200.0,883.0,568.0,0.14250841750841753,0.0362401370804732,0.3292292813569409,0.9809653782809536,0.972078913353539,0.8227289794226142,0.9765221458172464,0.8381082960620775
competition_v2,propagated_gate,,,,,,,0.6,1200.0,1200.0,883.0,568.0,0.14419191919191918,0.0362401370804732,0.3292292813569409,0.9809653782809536,0.972078913353539,0.8218872285808634,0.9765221458172464,0.8373507203045017
competition_v2,propagated_gate,,,,,,,0.7,1200.0,1200.0,883.0,568.0,0.1408249158249158,0.0362401370804732,0.3292292813569409,0.9809653782809536,0.972078913353539,0.8235707302643651,0.9765221458172464,0.8388658718196533
competition_v2,propagated_gate,,,,,,,0.8,1200.0,1200.0,883.0,568.0,0.14250841750841753,0.0362401370804732,0.3292292813569409,0.9809653782809536,0.972078913353539,0.8227289794226142,0.9765221458172464,0.8381082960620775
competition_v2,decoupled_gate,,,,,,,,1200.0,1200.0,883.0,568.0,0.14250841750841753,0.0362401370804732,0.3292292813569409,0.9809653782809536,0.972078913353539,0.8227289794226142,0.9765221458172464,0.8381082960620775
competition_v3,presence_only,0.9597388888888888,0.963625,0.9869510582010582,0.9895866402116402,0.9733449735449735,0.9766058201058201,,,,,,,,,,,,,
competition_v3,propagated_gate,,,,,,,0.4,1200.0,1200.0,600.0,840.0,0.27003367003367,0.04666666666666665,0.37142857142857144,0.963625,0.9895866402116402,0.7442212602212601,0.9766058201058201,0.7674597162097162
competition_v3,propagated_gate,,,,,,,0.5,1200.0,1200.0,600.0,840.0,0.2541245791245791,0.04666666666666665,0.37142857142857144,0.963625,0.9895866402116402,0.7521758056758057,0.9766058201058201,0.7746188071188072
competition_v3,propagated_gate,,,,,,,0.6,1200.0,1200.0,600.0,840.0,0.25917508417508417,0.04666666666666665,0.37142857142857144,0.963625,0.9895866402116402,0.7496505531505531,0.9766058201058201,0.7723460798460798
competition_v3,propagated_gate,,,,,,,0.7,1200.0,1200.0,600.0,840.0,0.25917508417508417,0.04666666666666665,0.37142857142857144,0.963625,0.9895866402116402,0.7496505531505531,0.9766058201058201,0.7723460798460798
competition_v3,propagated_gate,,,,,,,0.8,1200.0,1200.0,600.0,840.0,0.2574915824915825,0.04666666666666665,0.37142857142857144,0.963625,0.9895866402116402,0.7504923039923039,0.9766058201058201,0.7731036556036556
competition_v3,decoupled_gate,,,,,,,,1200.0,1200.0,600.0,840.0,0.264983164983165,0.04666666666666665,0.37142857142857144,0.963625,0.9895866402116402,0.7467465127465127,0.9766058201058201,0.7697324434824435
phone_factorial,presence_only,0.956603125,0.9820468750000001,0.9840593750000001,0.9916906250000002,0.9703312500000001,0.9868687500000002,,,,,,,,,,,,,
