GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
ALL,ALL,1200,1200,1050,1050,0.3707878787878788,0.2723809523809524,0.3866666666666667,0.9936190476190476,0.9945968253968254,0.6441298701298701,0.9941079365079365,0.6791276767676767
AUDIO_TYPE,mixed,900,900,900,900,0.4355555555555556,0.2911111111111111,0.40222222222222226,,,0.6033333333333333,,
AUDIO_TYPE,music,150,150,0,150,0.30666666666666664,,0.30666666666666664,,,,,
AUDIO_TYPE,voice,150,150,150,0,0.10666666666666669,0.10666666666666669,,,,,,
SPLIT,dev,400,400,350,350,0.3829090909090909,0.28,0.4114285714285715,0.9962285714285715,0.993257142857143,0.6291168831168832,0.9947428571428572,0.6656794805194807
SPLIT,holdout,400,400,350,350,0.36,0.27428571428571424,0.37142857142857144,0.9928,0.9989142857142856,0.6537142857142857,0.9958571428571428,0.6879285714285714
SPLIT,locked,400,400,350,350,0.36,0.2457142857142857,0.38857142857142857,0.9902857142857142,0.9938857142857144,0.6542857142857142,0.9920857142857142,0.6880657142857143
CHANNEL,clean_flac,199,199,174,175,0.357864100736517,0.21839080459770113,0.32571204598902537,0.9993103448275862,0.9878571428571429,0.6796761749154937,0.9935837438423645,0.7110669318081808
CHANNEL,mp3_64k,200,200,175,175,0.3461360213185031,0.2514367816091954,0.4114420062695925,0.9885714285714285,0.9984,0.6532120311380316,0.9934857142857143,0.6872393994527999
CHANNEL,noisy_flac,200,200,175,175,0.35495558672276767,0.24000783699059564,0.3657262277951933,0.9958857142857144,0.9986285714285714,0.6648027709019391,0.9972571428571428,0.6980482080974595
CHANNEL,ogg_48k,201,201,176,175,0.3923927919708029,0.30681818181818177,0.45146328717010714,0.99,0.9997802197802197,0.60700098149993,0.9948901098901098,0.645789894338948
CHANNEL,stereo_wav,199,199,175,174,0.38165266106442575,0.35429728317659354,0.373546511627907,0.9928571428571429,0.9965517241379311,0.6262502593440963,0.994704433497537,0.6630956767594404
CHANNEL,telephone_flac,201,201,175,176,0.38779299141332096,0.28572361546499475,0.42612682422833525,0.9912087912087911,0.9820454545454544,0.6211207339318401,0.9866271228771228,0.6576713728263683
MIX_MODE,concurrent,300,300,300,300,0.4422222222222222,0.4,0.36,,,0.5908888888888889,,
MIX_MODE,music_only,150,150,0,150,0.30666666666666664,,0.30666666666666664,,,,,
MIX_MODE,partial_overlap,300,300,300,300,0.4288888888888889,0.29333333333333333,0.42000000000000004,,,0.6008888888888888,,
MIX_MODE,sequential,300,300,300,300,0.3466666666666667,0.19999999999999998,0.42000000000000004,,,0.6606666666666667,,
MIX_MODE,voice_only,150,150,150,0,0.10666666666666669,0.10666666666666669,,,,,,
VOICE_GENERATOR,bonafide,525,525,525,450,0.42666666666666664,,0.4177777777777778,,0.9942814814814813,,,
VOICE_GENERATOR,cosyvoice3_0.5b,135,135,135,113,,,0.3808322824716267,,0.989139179404666,,,
VOICE_GENERATOR,f5tts_v1_base,127,127,127,115,,,0.38263762855414396,,1.0,,,
VOICE_GENERATOR,qwen3tts_custom_0.6b,143,143,143,124,,,0.39529630613871913,,0.9995755517826825,,,
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,120,120,120,98,,,0.4587542087542088,,0.9893320964749537,,,
VOICE_GENERATOR,nan,150,150,0,150,0.30666666666666664,,0.30666666666666664,,,,,
MUSIC_GENERATOR,acestep,45,45,38,45,,0.28869047619047616,,1.0,,,,
MUSIC_GENERATOR,audioldm,48,48,42,48,,0.2814814814814815,,1.0,,,,
MUSIC_GENERATOR,brev,45,45,36,45,,0.36068111455108354,,0.9845679012345678,,,,
MUSIC_GENERATOR,diffrhythm,42,42,37,42,,0.2456896551724138,,1.0,,,,
MUSIC_GENERATOR,elevenlabs,38,38,33,38,,0.27222222222222225,,1.0,,,,
MUSIC_GENERATOR,mubert,45,45,43,45,,0.14021739130434785,,1.0,,,,
MUSIC_GENERATOR,musicgen,40,40,36,40,,0.24581939799331107,,1.0,,,,
MUSIC_GENERATOR,producer,40,40,35,40,,0.31414473684210525,,1.0,,,,
MUSIC_GENERATOR,real,525,525,450,525,0.36944444444444446,0.28888888888888886,,0.9947555555555556,,,,
MUSIC_GENERATOR,songgen,42,42,29,42,,0.4852941176470588,,1.0,,,,
MUSIC_GENERATOR,stableaudio,49,49,44,49,,0.22649572649572647,,1.0,,,,
MUSIC_GENERATOR,suno,50,50,39,50,,0.256578947368421,,0.993006993006993,,,,
MUSIC_GENERATOR,udio,41,41,38,41,,0.34057971014492755,,0.7894736842105263,,,,
MUSIC_GENERATOR,nan,150,150,150,0,0.10666666666666669,0.10666666666666669,,,,,,
SNR_DB,-10.0,133,133,133,133,0.45227272727272727,0.4210764360018091,0.4361148801447309,,,0.5588138851198553,,
SNR_DB,-5.0,102,102,102,102,0.5694980694980695,0.3142633228840125,0.45090489025799,,,0.5171268335967658,,
SNR_DB,0.0,139,139,139,139,0.4669331395348837,0.25227272727272726,0.4025316455696203,,,0.5953193911071266,,
SNR_DB,5.0,123,123,123,123,0.533459595959596,0.4066022544283414,0.3824485373781149,,,0.5372151899210992,,
