ID,SPEAR_BINARY_VOICE_PROB,SPEAR_BINARY_MUSIC_PROB,SPEAR_JOINT_VOICE_PROB,SPEAR_JOINT_MUSIC_PROB,SPEAR_JOINT_FILE_PROB,SPEAR_EXISTING_VOICE_PROB,SPEAR_EXISTING_MUSIC_PROB
factorial_0000,0.0074205403,0.19602199,0.35432005,0.6333976,0.9877174,0.50725573,0.75971
factorial_0001,0.013391664,0.033306543,0.010679592,0.00033089082,0.011003137,0.7524557,0.09668967
factorial_0002,9.6862736e-05,0.08847397,1.802608e-05,0.10940543,0.1094234,0.614117,0.319394
factorial_0003,0.7625523,0.0071083214,0.16942015,0.00020713195,0.16945404,0.93065846,0.27587733
factorial_0004,6.1730374e-05,0.8410653,0.00011945774,0.96591604,0.965916,0.20246229,0.9114343
factorial_0005,0.00045805826,0.92518896,0.00028816218,0.9992207,0.9995037,0.074785076,0.9402285
factorial_0006,0.20391722,0.0339287,0.06118636,0.00019242353,0.061210275,0.66966015,0.21358262
factorial_0007,0.0004983249,0.93254375,9.430567e-05,0.9969964,0.997033,0.29510432,0.22400042
factorial_0008,0.60800266,0.022850936,0.06373376,0.0008604743,0.06383735,0.7572012,0.67312354
factorial_0009,0.8699601,0.97662294,0.26801538,0.9974671,0.99990886,0.64066356,0.9964735
factorial_0010,0.012303504,0.011271774,0.019069195,0.07552866,0.0945912,0.7936892,0.3591849
factorial_0011,0.0023310094,0.00020564001,0.8846237,0.00015530233,0.884779,0.83260566,0.12356508
factorial_0012,2.5401027e-06,0.31621012,1.5459037e-07,0.53329533,0.53329545,0.012845795,0.9810234
factorial_0013,7.109522e-08,0.0061096097,2.6863344e-08,0.006506378,0.0065063834,0.19205989,0.31731552
factorial_0014,5.984477e-08,0.07268698,1.9703794e-08,0.4702208,0.4702208,0.015492377,0.8650336
factorial_0015,3.9411366e-06,0.27043676,6.813605e-07,0.056353647,0.056354344,0.5214265,0.05634155
factorial_0016,1.034202e-06,0.17119633,1.5882095e-07,0.512019,0.51201904,0.2647573,0.07280163
factorial_0017,0.1091282,0.99954945,8.233178e-05,0.9999895,0.99999994,0.152737,0.99788696
factorial_0018,0.02233063,0.9927263,0.57023036,0.8329272,0.8330553,0.27059448,0.4492555
factorial_0019,0.00027731564,0.87121946,0.0012740121,0.07811099,0.07811344,0.11049271,0.7669514
factorial_0020,0.00072745536,0.010108455,1.34247675e-05,9.2759217e-07,1.4424324e-05,0.71772784,0.1071411
factorial_0021,0.09588609,0.8630631,0.013391456,0.7862854,0.79764354,0.020126523,0.99341595
factorial_0022,0.15348427,0.008566061,0.3210649,0.046722632,0.36772668,0.83799505,0.29877058
factorial_0023,0.00052253174,0.92796296,0.0033561564,0.959258,0.9596312,0.16584954,0.7885465
factorial_0024,1.7519926e-05,0.99129206,2.4887493e-06,0.99869275,0.9986928,0.09889932,0.29463583
factorial_0025,0.034143824,0.9951998,0.13018282,0.99629754,0.998159,0.24839662,0.96391964
factorial_0026,0.99497813,0.99998593,0.7706199,0.9999993,0.9999992,0.6307925,0.88029313
factorial_0027,0.98928565,0.005619248,0.9780851,0.032580134,0.9781333,0.053064637,0.8443146
factorial_0028,0.9970162,0.0018239662,0.99998313,0.00024928313,0.99998325,0.5912655,0.0029900896
factorial_0029,0.9880654,0.021488577,0.99568456,0.344369,0.99569553,0.88759446,0.0021139102
factorial_0030,0.11640766,0.016739255,0.93868756,0.0006429129,0.939245,0.24608926,0.21694556
factorial_0031,0.00049151474,3.3969448e-07,1.7485962e-07,3.1611516e-13,1.1920929e-07,0.17074779,8.757754e-05
