wd,epoch,val_loss,split,mean,worst,concurrent_v,concurrent_m,partial_overlap_v,partial_overlap_m,sequential_v,sequential_m
1e-05,110,0.49484992027282715,dev,0.35000000000000003,0.43999999999999995,0.42000000000000004,0.38,0.28,0.43999999999999995,0.19999999999999998,0.38
1e-05,110,0.49484992027282715,holdout,0.33666666666666667,0.43999999999999995,0.42000000000000004,0.33999999999999997,0.28,0.38,0.16000000000000003,0.43999999999999995
1e-05,110,0.49484992027282715,locked,0.30666666666666664,0.45999999999999996,0.45999999999999996,0.36,0.14,0.30000000000000004,0.19999999999999998,0.38
0.0001,110,0.4948323667049408,dev,0.35000000000000003,0.43999999999999995,0.42000000000000004,0.38,0.28,0.43999999999999995,0.19999999999999998,0.38
0.0001,110,0.4948323667049408,holdout,0.33666666666666667,0.43999999999999995,0.42000000000000004,0.33999999999999997,0.28,0.38,0.16000000000000003,0.43999999999999995
0.0001,110,0.4948323667049408,locked,0.30666666666666664,0.45999999999999996,0.45999999999999996,0.36,0.14,0.30000000000000004,0.19999999999999998,0.38
0.001,110,0.49465423822402954,dev,0.35000000000000003,0.43999999999999995,0.42000000000000004,0.38,0.28,0.43999999999999995,0.19999999999999998,0.38
0.001,110,0.49465423822402954,holdout,0.33666666666666667,0.43999999999999995,0.42000000000000004,0.33999999999999997,0.28,0.38,0.16000000000000003,0.43999999999999995
0.001,110,0.49465423822402954,locked,0.30666666666666664,0.45999999999999996,0.45999999999999996,0.36,0.14,0.30000000000000004,0.19999999999999998,0.38
0.01,110,0.49276816844940186,dev,0.35333333333333333,0.43999999999999995,0.43999999999999995,0.38,0.28,0.43999999999999995,0.19999999999999998,0.38
0.01,110,0.49276816844940186,holdout,0.3333333333333333,0.42000000000000004,0.42000000000000004,0.33999999999999997,0.28,0.38,0.16000000000000003,0.42000000000000004
0.01,110,0.49276816844940186,locked,0.3033333333333333,0.45999999999999996,0.45999999999999996,0.36,0.14,0.30000000000000004,0.18000000000000002,0.38
0.1,110,0.48000869154930115,dev,0.35333333333333333,0.43999999999999995,0.43999999999999995,0.38,0.28,0.43999999999999995,0.19999999999999998,0.38
0.1,110,0.48000869154930115,holdout,0.33666666666666667,0.42000000000000004,0.4,0.33999999999999997,0.30000000000000004,0.4,0.16000000000000003,0.42000000000000004
0.1,110,0.48000869154930115,locked,0.30666666666666664,0.45999999999999996,0.45999999999999996,0.36,0.14,0.33999999999999997,0.18000000000000002,0.36
