ID,learn,adapt
factorial_0000,0.8587273,0.8104330932573113
factorial_0007,0.06534645,0.00711833237547955
factorial_0014,0.01616457,0.00486991726007819
factorial_0021,0.091167144,0.0316553133382834
factorial_0028,0.43013915,0.16361445846409542
factorial_0035,0.7286962,0.3167348110052952
factorial_0042,0.30609894,0.05455808790984215
factorial_0049,0.3994306,0.09811834074352369
factorial_0056,0.8797521,0.9801053467543671
factorial_0063,0.9814031,0.9938448842065027
factorial_0070,0.12580726,0.016076064609720074
factorial_0077,0.5278394,0.361681622905034
factorial_0084,0.25071806,0.22183454931014296
factorial_0091,0.36773553,0.4318908109649576
factorial_0098,0.5237709,0.16991200536947865
factorial_0105,0.34393287,0.05093051379403906
factorial_0112,0.3484207,0.05686351901598958
factorial_0119,0.30672258,0.09729368129259319
factorial_0126,0.55603737,0.2488322498115037
factorial_0133,0.34551084,0.07619433548261423
factorial_0140,0.52847946,0.29149238227634205
factorial_0147,0.5345109,0.2802469408406512
factorial_0154,0.3481283,0.07061476354627932
factorial_0161,0.53054917,0.5461831741340489
factorial_0168,0.47828254,0.592802318051298
factorial_0175,0.11893668,0.019800050102752383
factorial_0182,0.44796726,0.6267106171643979
factorial_0189,0.54120713,0.2953763724662159
factorial_0196,0.9822642,0.9968923576034275
factorial_0203,0.12858899,0.02151849634343271
factorial_0210,0.5267985,0.5614425571775286
factorial_0217,0.29943752,0.04590026346972264
factorial_0224,0.22123277,0.3075783418539694
factorial_0231,0.47306564,0.36679339593856747
factorial_0238,0.34672344,0.46636687449280645
factorial_0245,0.077082664,0.018750491819042855
factorial_0252,0.7063584,0.9639483325724004
factorial_0259,0.8685074,0.993866595386723
factorial_0266,0.17220111,0.04343686037368099
factorial_0273,0.742074,0.8468674626865439
factorial_0280,0.7083563,0.9521944131486003
factorial_0287,0.43629685,0.28040549185733626
factorial_0294,0.62290955,0.9121552180893733
factorial_0301,0.10815137,0.03270466525522332
factorial_0308,0.19508028,0.05279496945540815
factorial_0315,0.11695594,0.060910492893684706
factorial_0322,0.18870658,0.1868826831452575
factorial_0329,0.13136071,0.17024293983001612
factorial_0336,0.44472682,0.5475671655751394
factorial_0343,0.10223771,0.033256588976957
factorial_0350,0.09079156,0.013029664357168074
factorial_0357,0.8839319,0.9958721688636003
factorial_0364,0.88830227,0.9734746285067445
factorial_0371,0.67155147,0.9501855955944022
factorial_0378,0.97418875,0.9965868224885859
factorial_0385,0.6876527,0.91363941995979
factorial_0392,0.480012,0.7302788904463098
factorial_0399,0.14752167,0.4794580661869164
factorial_0406,0.10504938,0.016157638829237913
factorial_0413,0.06998691,0.013799993820293874
factorial_0420,0.20607407,0.18620364861590216
factorial_0427,0.17317377,0.08175021219804715
factorial_0434,0.55694073,0.3422660927687134
factorial_0441,0.27158687,0.0447896920901662
factorial_0448,0.4089813,0.15843259238130575
factorial_0455,0.17353183,0.05870679117637721
factorial_0462,0.9197395,0.985258349772346
factorial_0469,0.8952268,0.9495015561892425
factorial_0476,0.4168863,0.587095088461259
factorial_0483,0.59430814,0.16928674796887289
factorial_0490,0.8264077,0.9593444837596756
factorial_0497,0.48686388,0.21939980651224333
factorial_0504,0.4682361,0.32263626857047567
factorial_0511,0.14943346,0.019768606897631793
factorial_0518,0.14450079,0.01632730691465362
factorial_0525,0.35187492,0.1726896620389997
factorial_0532,0.13683835,0.02043857915942822
factorial_0539,0.08981362,0.013366498361112769
factorial_0546,0.31141663,0.046895641451151486
factorial_0553,0.31658247,0.09724148325305179
factorial_0560,0.2091505,0.04440718380085744
factorial_0567,0.27228153,0.1916390976174928
factorial_0574,0.4356667,0.14010719165355548
factorial_0581,0.2465011,0.029406991442158737
factorial_0588,0.5446968,0.3340980188755618
factorial_0595,0.49591345,0.2152628018732409
factorial_0602,0.32087985,0.20939777972976042
factorial_0609,0.34680417,0.10594989380563438
factorial_0616,0.15626644,0.02779210440577635
factorial_0623,0.22247629,0.18613924905953486
factorial_0630,0.5386699,0.41164913797536323
factorial_0637,0.32740435,0.11025084907818893
factorial_0644,0.5059938,0.353247300113729
factorial_0651,0.709007,0.8936967475136057
factorial_0658,0.69610864,0.6956640545176466
factorial_0665,0.6214194,0.9611491682582336
factorial_0672,0.5255514,0.3718672715491197
factorial_0679,0.42603627,0.4177015286692493
factorial_0686,0.8106599,0.9660442268199301
factorial_0693,0.49071172,0.18177223175346569
factorial_0700,0.21677811,0.048882258319406166
factorial_0707,0.07274958,0.025830457352216476
factorial_0714,0.17773426,0.09487846968171673
factorial_0721,0.24395604,0.06841071309504901
factorial_0728,0.19562618,0.09780857368971138
factorial_0735,0.6570939,0.9557076402186265
factorial_0742,0.3096738,0.3907070037093079
factorial_0749,0.43963602,0.5274846855728088
factorial_0756,0.41823682,0.2184176350566527
factorial_0763,0.78614455,0.9765607949888176
factorial_0770,0.74732333,0.9570794803647665
factorial_0777,0.9368894,0.9952200270875187
factorial_0784,0.7236458,0.9703206776276888
factorial_0791,0.50171006,0.23364114298913002
factorial_0798,0.48689106,0.6104837106784142
factorial_0805,0.39135894,0.5076745760335379
factorial_0812,0.10089294,0.010561134092482338
factorial_0819,0.07036667,0.010430431032894764
factorial_0826,0.48148507,0.3436100584741604
factorial_0833,0.2661397,0.1162621582399324
factorial_0840,0.43093848,0.23855589906046906
factorial_0847,0.46027482,0.19111871203222727
factorial_0854,0.9996724,0.9998676598502121
factorial_0861,0.92162484,0.9443043366963905
factorial_0868,0.94988465,0.9840588193149512
factorial_0875,0.3178845,0.11050965033636213
factorial_0882,0.5713806,0.28840727063039456
factorial_0889,0.25809643,0.05273751061725674
factorial_0896,0.5780741,0.4944982240248535
factorial_0903,0.17479679,0.09955124459444414
factorial_0910,0.2445092,0.04136949699469669
factorial_0917,0.24727067,0.05382357553595831
factorial_0924,0.4424243,0.3332663280772162
factorial_0931,0.117989995,0.016257486288153492
factorial_0938,0.44408727,0.2328762707871976
factorial_0945,0.43539637,0.25397572411474456
factorial_0952,0.24314196,0.033577721591368945
factorial_0959,0.4096229,0.1124654147883257
factorial_0966,0.43515137,0.3053934727711147
factorial_0973,0.15477294,0.01659349795936438
factorial_0980,0.28808242,0.10384398746597846
factorial_0987,0.3933282,0.07936636582967199
factorial_0994,0.8475996,0.8255622125594215
factorial_1001,0.25375828,0.047377907368382405
factorial_1008,0.5316763,0.30470415461161066
factorial_1015,0.39011997,0.10549668053915774
factorial_1022,0.12342455,0.3623811519843324
factorial_1029,0.08855062,0.07825032371975402
factorial_1036,0.3009428,0.12808478527375633
factorial_1043,0.13602753,0.03574758220355604
factorial_1050,0.5051622,0.1090312616403673
factorial_1057,0.9687562,0.9986083593490157
factorial_1064,0.36531916,0.45347381591199687
factorial_1071,0.58630615,0.5639467666844173
factorial_1078,0.36937538,0.3401860231900326
factorial_1085,0.5240085,0.4817349584463965
factorial_1092,0.42361298,0.22284476049971547
factorial_1099,0.9329439,0.9953940664761003
factorial_1106,0.18616568,0.057556567075677176
factorial_1113,0.17304103,0.16240281093819753
factorial_1120,0.36800373,0.14026622937352645
factorial_1127,0.15893677,0.03632659828139429
factorial_1134,0.74007463,0.8109278071132353
factorial_1141,0.09926013,0.07067402591905184
factorial_1148,0.7756202,0.7737697371632177
factorial_1155,0.89586484,0.98112623622876
factorial_1162,0.8848379,0.9868426434659351
factorial_1169,0.73453635,0.9446155307937844
factorial_1176,0.8414273,0.982527336402499
factorial_1183,0.63663447,0.7539707121977387
factorial_1190,0.59717315,0.941970740788908
factorial_1197,0.2793563,0.5061522222106438
factorial_0001,0.2888527,0.09743190507715578
factorial_0008,0.074871555,0.00850708131207451
factorial_0015,0.41880965,0.3488065523019541
factorial_0022,0.54688495,0.3578164064737621
factorial_0029,0.38914365,0.17879514586428122
factorial_0036,0.26983684,0.10030507752613706
factorial_0043,0.38032183,0.13472557065833712
factorial_0050,0.7361207,0.7241532194445315
factorial_0057,0.984752,0.9946962947724446
factorial_0064,0.2437693,0.03816457027032697
factorial_0071,0.9983677,0.9995685993131361
factorial_0078,0.34713402,0.3280553020623963
factorial_0085,0.4160646,0.10502273908173476
factorial_0092,0.32070184,0.04169050408098345
factorial_0099,0.26317838,0.1278384883198368
factorial_0106,0.13381584,0.01572657808541664
factorial_0113,0.38580364,0.13274482550113026
factorial_0120,0.3607505,0.10684370115347393
factorial_0127,0.3881197,0.37972775842092266
factorial_0134,0.21327007,0.06165938091995097
factorial_0141,0.64342237,0.5169154892991644
factorial_0148,0.16789038,0.02508502031952409
factorial_0155,0.45955977,0.37699613966658707
factorial_0162,0.54461783,0.4283115528097191
factorial_0169,0.21683197,0.04111732161998393
factorial_0176,0.23955055,0.028039085080353826
factorial_0183,0.5560599,0.18078795629082262
factorial_0190,0.32906303,0.22939841317164333
factorial_0197,0.34963158,0.06334929264195777
factorial_0204,0.1832513,0.07865570899124791
