ID,FILE_FAKE_PROB,VOICE_FAKE_PROB,MUSIC_FAKE_PROB,VOICE_PRESENT_PROB,MUSIC_PRESENT_PROB
factorial_0000,0.9827708842,0.9827708842,0.4976010926,0.7300741673,0.0280220341
factorial_0008,0.0002146927,0.0002146927,0.552160421,0.8970258236,0.0379838757
factorial_0016,0.0014581911,0.0014581911,0.7693800723,0.8063214421,0.0469905473
factorial_0024,0.000707508,0.000707508,0.5588280228,0.863038063,0.0380049311
factorial_0032,0.0012853068,0.9455624092,0.0012853068,0.1714735627,0.8302648067
factorial_0040,0.8129553325,0.8654828525,0.8129553325,0.0399999171,0.8725477457
factorial_0048,0.1469189495,0.5435470876,0.1469189495,0.0242714267,0.8960300088
factorial_0056,0.8996903111,0.8996903111,0.5681526536,0.8442391753,0.0309349708
factorial_0064,0.0042754342,0.0042754342,0.4512632679,0.8508810997,0.058252681
factorial_0072,0.931555771,0.931555771,0.4980627319,0.8588454723,0.0306429248
factorial_0080,0.8128438714,0.9139483189,0.8128438714,0.0358052552,0.4797633886
factorial_0088,0.5037005423,0.6278292845,0.5037005423,0.0238371156,0.9062507153
factorial_0096,0.1681032552,0.9202680497,0.1681032552,0.1749635786,0.8944125772
factorial_0104,0.0072538369,0.9902986349,0.0072538369,0.6846396327,0.826713264
factorial_0112,0.7994682061,0.7994682061,0.0049634723,0.8523448706,0.8139414787
factorial_0120,0.792913205,0.792913205,0.0835366534,0.7151443362,0.7927093506
factorial_0128,0.0255345482,0.9768846809,0.0255345482,0.1570554078,0.9037303925
factorial_0136,0.5147165125,0.9017591035,0.5147165125,0.6793732047,0.8681055307
factorial_0144,0.124554466,0.5086736001,0.124554466,0.6916018724,0.8776119351
factorial_0152,0.0137181781,0.0793266912,0.0137181781,0.2389718294,0.8820513487
factorial_0160,0.8253325222,0.8253325222,0.3165475954,0.7903510928,0.8667266965
factorial_0168,0.4019622348,0.9016442986,0.4019622348,0.4116889238,0.8657702208
factorial_0176,0.9360294851,0.9360294851,0.0368108315,0.7555090189,0.8644681573
factorial_0184,0.228623129,0.9985824481,0.228623129,0.6459411383,0.8644915223
factorial_0192,0.6452608956,0.850968841,0.6452608956,0.4074362218,0.8855059147
factorial_0200,0.7898925381,0.7898925381,0.1554465908,0.7463599443,0.8744706511
factorial_0208,0.7456407932,0.7456407932,0.2485515674,0.829246819,0.9143484235
factorial_0216,0.9169525465,0.9169525465,0.358089753,0.7343245149,0.9256611466
factorial_0224,0.858474307,0.858474307,0.4046630966,0.8282334208,0.8707838058
factorial_0232,0.825868353,0.825868353,0.3561342077,0.7967960238,0.8900157809
factorial_0240,0.7780436093,0.7780436093,0.3829524796,0.8812689781,0.9498167038
factorial_0248,0.8248149546,0.8248149546,0.5554042048,0.7432607412,0.9464300275
factorial_0256,0.0476466372,0.7831378479,0.0476466372,0.6376911998,0.9090493917
factorial_0264,0.6346800442,0.6346800442,0.0609936575,0.7037838697,0.8940554261
factorial_0272,0.8580357671,0.8580357671,0.4108823362,0.8369262218,0.8487676978
factorial_0280,0.8056063535,0.8056063535,0.8103869076,0.8096218705,0.0849511921
factorial_0288,0.3702702418,0.3702702418,0.4676440399,0.6247214675,0.1737253815
factorial_0296,0.9955753307,0.9955753307,0.1361821657,0.8857104778,0.8129466772
factorial_0304,0.0330854328,0.8143484318,0.0330854328,0.685120821,0.8984347582
factorial_0312,0.8146347223,0.8146347223,0.4231510772,0.8259805441,0.8835785985
factorial_0320,0.3254957417,0.0538154395,0.3254957417,0.7464041114,0.9404342771
factorial_0328,0.8965352847,0.131198728,0.8965352847,0.8406865001,0.9137185812
factorial_0336,0.9081904978,0.9081904978,0.51051931,0.7700576782,0.8301374912
factorial_0344,0.5724428202,0.5724428202,0.5512557651,0.8451960683,0.9245878458
factorial_0352,0.8631440145,0.8631440145,0.5286094281,0.8936502337,0.925994873
factorial_0360,0.8462537255,0.4404287319,0.8462537255,0.7677776217,0.8932362795
factorial_0368,0.7732106107,0.7732106107,0.6128440274,0.8442257643,0.8682792187
factorial_0376,0.8915167659,0.8915167659,0.7939702778,0.8516466618,0.5597062111
factorial_0384,0.9359456605,0.9359456605,0.5504426287,0.722025156,0.8980499506
factorial_0392,0.9345331117,0.9345331117,0.401981793,0.8542943001,0.8902879953
factorial_0400,0.0012784031,0.0012784031,0.8533466371,0.8317946196,0.045995295
factorial_0408,0.0022637714,0.0022637714,0.4873261889,0.8504248857,0.059727475
factorial_0416,6.20043e-05,6.20043e-05,0.3775195756,0.9147114158,0.0441396795
factorial_0424,0.2126659773,0.2126659773,0.9651065109,0.8877949119,0.0540837087
factorial_0432,0.0083249752,0.0123874022,0.0083249752,0.1066806912,0.9215633869
factorial_0440,0.0058100757,0.3895607963,0.0058100757,0.0284940675,0.9072649479
factorial_0448,0.5602111397,0.7353605992,0.5602111397,0.110364005,0.901231885
factorial_0456,0.8731836537,0.8731836537,0.4910119519,0.842600584,0.0251973476
factorial_0464,0.9905277379,0.9905277379,0.4390105801,0.7429011464,0.0344379731
factorial_0472,0.9883478903,0.9883478903,0.6090242479,0.7699418664,0.0394368656
factorial_0480,0.5096847579,0.0,0.5096847579,0.036489591,0.0780886859
factorial_0488,0.5028992227,0.9045798539,0.5028992227,0.0444854647,0.8315204978
factorial_0496,0.5095788304,0.9991421167,0.5095788304,0.2371306866,0.8471432924
factorial_0504,0.8929650824,0.8929650824,0.0548239697,0.8066670895,0.7361995578
factorial_0512,0.8555884579,0.8555884579,0.0274228683,0.7734333873,0.8434314132
factorial_0520,0.5901034078,0.5901034078,0.5101143074,0.8473697305,0.8802812099
factorial_0528,0.4381923396,0.4381923396,0.0124970909,0.7543821335,0.8918509483
factorial_0536,0.8617741404,0.8617741404,0.6374756604,0.6760658026,0.5188232064
factorial_0544,0.7881537608,0.7881537608,0.6731688808,0.6076574922,0.3021105528
factorial_0552,0.0005522454,0.0804098066,0.0005522454,0.0872517899,0.887640655
factorial_0560,0.0543492625,0.0018863376,0.0543492625,0.8669078946,0.8952116966
factorial_0568,0.9306937807,0.9306937807,0.5011299942,0.8340216279,0.8230956197
factorial_0576,0.031818535,0.0003394443,0.031818535,0.752045095,0.8811702132
factorial_0584,0.8223897153,0.8223897153,0.1647841679,0.7430681586,0.9287308455
factorial_0592,0.5122379707,0.7803516655,0.5122379707,0.338198185,0.8610812426
factorial_0600,0.410139343,0.410139343,0.3602513561,0.7985028625,0.8904218078
factorial_0608,0.9921948474,0.9921948474,0.3611288573,0.7501034737,0.883055985
factorial_0616,0.6511812327,0.1921561213,0.6511812327,0.6376302838,0.8795750737
