GROUP,VALUE,WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
ALL,ALL,0.0,1200,1200,1050,1050,0.36824242424242426,0.2895238095238095,0.38857142857142857,0.9936190476190476,0.9945968253968254,0.6414025974025974,0.9941079365079365,0.6766731313131313
ALL,ALL,0.05,1200,1200,1050,1050,0.36254545454545456,0.2895238095238095,0.37523809523809526,0.9936190476190476,0.9945968253968254,0.6482510822510823,0.9941079365079365,0.6828367676767677
ALL,ALL,0.1,1200,1200,1050,1050,0.3492121212121212,0.2895238095238095,0.3695238095238095,0.9936190476190476,0.9945968253968254,0.6566320346320347,0.9941079365079365,0.6903796248196249
ALL,ALL,0.15,1200,1200,1050,1050,0.3358787878787879,0.2895238095238095,0.3542857142857143,0.9936190476190476,0.9945968253968254,0.6678701298701298,0.9941079365079365,0.7004939105339105
ALL,ALL,0.2,1200,1200,1050,1050,0.3098181818181818,0.2895238095238095,0.35809523809523813,0.9936190476190476,0.9945968253968254,0.6797575757575758,0.9941079365079365,0.7111926118326118
ALL,ALL,0.25,1200,1200,1050,1050,0.30157575757575755,0.2895238095238095,0.34857142857142853,0.9936190476190476,0.9945968253968254,0.6867359307359308,0.9941079365079365,0.7174731313131313
ALL,ALL,0.3,1200,1200,1050,1050,0.29333333333333333,0.2895238095238095,0.33904761904761904,0.9936190476190476,0.9945968253968254,0.6937142857142857,0.9941079365079365,0.7237536507936508
CHANNEL,clean_flac,0.0,199,199,174,175,0.3733071988595866,0.25287356321839083,0.32571204598902537,0.9993103448275862,0.9878571428571429,0.665058074129821,0.9935837438423645,0.6979106411010754
CHANNEL,clean_flac,0.05,199,199,174,175,0.3424210026134473,0.25287356321839083,0.31428011497256336,0.9993103448275862,0.9878571428571429,0.6839307515578292,0.9935837438423645,0.7148960507862828
CHANNEL,clean_flac,0.1,199,199,174,175,0.3269779044903778,0.25287356321839083,0.31428011497256336,0.9993103448275862,0.9878571428571429,0.691652300619364,0.9935837438423645,0.721845444941664
CHANNEL,clean_flac,0.15,199,199,174,175,0.3115348063673082,0.25287356321839083,0.33714397700548737,0.9993103448275862,0.9878571428571429,0.6925146910710216,0.9935837438423645,0.7226215963481559
CHANNEL,clean_flac,0.2,199,199,174,175,0.2960917082442385,0.25287356321839083,0.30284818395610136,0.9993103448275862,0.9878571428571429,0.7105249780473722,0.9935837438423645,0.7388308546268715
CHANNEL,clean_flac,0.25,199,199,174,175,0.2652055119980993,0.25287356321839083,0.30284818395610136,0.9993103448275862,0.9878571428571429,0.7259680761704418,0.9935837438423645,0.7527296429376341
CHANNEL,clean_flac,0.3,199,199,174,175,0.26158232359230227,0.25287356321839083,0.26855239090671545,0.9993103448275862,0.9878571428571429,0.7380684082881561,0.9935837438423645,0.763619941843577
CHANNEL,mp3_64k,0.0,200,200,175,175,0.33454987834549876,0.2628657262277952,0.4000130616509927,0.9885714285714285,0.9984,0.6601479970863937,0.9934857142857143,0.6934817688063258
CHANNEL,mp3_64k,0.05,200,200,175,175,0.31566446529950176,0.2628657262277952,0.4000130616509927,0.9885714285714285,0.9984,0.6695907036093922,0.9934857142857143,0.7019802046770245
CHANNEL,mp3_64k,0.1,200,200,175,175,0.30042868729000116,0.2628657262277952,0.4000130616509927,0.9885714285714285,0.9984,0.6772085926141426,0.9934857142857143,0.7088363047812998
CHANNEL,mp3_64k,0.15,200,200,175,175,0.26995713127099985,0.2628657262277952,0.4000130616509927,0.9885714285714285,0.9984,0.6924443706236432,0.9934857142857143,0.7225485049898503
CHANNEL,mp3_64k,0.2,200,200,175,175,0.27360676630749625,0.2628657262277952,0.38858411703239293,0.9885714285714285,0.9984,0.694048236490975,0.9934857142857143,0.723991984270449
CHANNEL,mp3_64k,0.25,200,200,175,175,0.25472135326149925,0.2628657262277952,0.3657262277951933,0.9885714285714285,0.9984,0.7103483097851333,0.9934857142857143,0.7386620502351915
CHANNEL,mp3_64k,0.3,200,200,175,175,0.23948557525199862,0.2628657262277952,0.3657262277951933,0.9885714285714285,0.9984,0.7179661987898835,0.9934857142857143,0.7455181503394667
CHANNEL,noisy_flac,0.0,200,200,175,175,0.35133239831697055,0.2628657262277952,0.35429728317659354,0.9958857142857144,0.9986285714285714,0.6654714706429776,0.9972571428571428,0.6986500378643942
