DATASET,CODEC_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,0.0,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
factorial,0.005,400,400,350,350,0.24945454545454543,0.22285714285714286,0.27428571428571424,,,0.7484155844155845,,
factorial,0.01,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
factorial,0.015,400,400,350,350,0.24763636363636365,0.22285714285714286,0.27428571428571424,,,0.7493246753246754,,
factorial,0.02,400,400,350,350,0.24763636363636365,0.22285714285714286,0.27428571428571424,,,0.7493246753246754,,
factorial,0.025,400,400,350,350,0.24763636363636365,0.22285714285714286,0.26857142857142857,,,0.7510389610389611,,
factorial,0.03,400,400,350,350,0.24763636363636365,0.22857142857142854,0.26857142857142857,,,0.749896103896104,,
factorial,0.04,400,400,350,350,0.24181818181818182,0.22857142857142854,0.26857142857142857,,,0.7528051948051948,,
factorial,0.05,400,400,350,350,0.24181818181818182,0.22285714285714286,0.2571428571428571,,,0.7573766233766234,,
factorial,0.075,400,400,350,350,0.24763636363636365,0.21714285714285717,0.2628571428571429,,,0.7538961038961038,,
factorial,0.1,400,400,350,350,0.24763636363636365,0.2114285714285714,0.2628571428571429,,,0.755038961038961,,
phone,0.0,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.345,,,0.7338571428571429,,
phone,0.005,1200,1200,800,800,0.25757142857142856,0.16749999999999998,0.33499999999999996,,,0.7372142857142857,,
phone,0.01,1200,1200,800,800,0.25585714285714284,0.16749999999999998,0.3325,,,0.7388214285714285,,
phone,0.015,1200,1200,800,800,0.25,0.16000000000000003,0.3275,,,0.74475,,
phone,0.02,1200,1200,800,800,0.24414285714285716,0.16000000000000003,0.31999999999999995,,,0.7499285714285715,,
phone,0.025,1200,1200,800,800,0.23828571428571427,0.16000000000000003,0.31499999999999995,,,0.754357142857143,,
phone,0.03,1200,1200,800,800,0.23585714285714288,0.16000000000000003,0.3075,,,0.7578214285714285,,
phone,0.04,1200,1200,800,800,0.22585714285714287,0.15749999999999997,0.29000000000000004,,,0.7685714285714286,,
phone,0.05,1200,1200,800,800,0.20999999999999996,0.15500000000000003,0.28,,,0.78,,
phone,0.075,1200,1200,800,800,0.1917142857142857,0.15249999999999997,0.25249999999999995,,,0.7978928571428572,,
phone,0.1,1200,1200,800,800,0.18000000000000002,0.15249999999999997,0.23250000000000004,,,0.80975,,
yue,0.0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.005,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.01,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.015,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.02,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.025,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.03,124,124,108,124,0.18070652173913043,0.10208333333333333,0.19354838709677422,,,0.8311655563347359,,
yue,0.04,124,124,108,124,0.15964673913043476,0.10208333333333333,0.17741935483870966,,,0.846534157316503,,
yue,0.05,124,124,108,124,0.15421195652173914,0.10208333333333333,0.17741935483870966,,,0.849251548620851,,
yue,0.075,124,124,108,124,0.15421195652173914,0.10208333333333333,0.17741935483870966,,,0.849251548620851,,
yue,0.1,124,124,108,124,0.15421195652173914,0.10208333333333333,0.16129032258064513,,,0.8540902582982702,,
