DATASET,CODEC_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,0.0,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
factorial,0.005,400,400,350,350,0.24945454545454543,0.22285714285714286,0.27428571428571424,,,0.7484155844155845,,
factorial,0.01,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
factorial,0.025,400,400,350,350,0.24763636363636365,0.21714285714285717,0.27428571428571424,,,0.7504675324675325,,
factorial,0.05,400,400,350,350,0.25527272727272726,0.22285714285714286,0.2628571428571429,,,0.7489350649350649,,
factorial,0.075,400,400,350,350,0.24763636363636365,0.22285714285714286,0.2628571428571429,,,0.7527532467532467,,
factorial,0.1,400,400,350,350,0.24,0.22285714285714286,0.2571428571428571,,,0.7582857142857143,,
factorial,0.15,400,400,350,350,0.24,0.21714285714285717,0.2571428571428571,,,0.7594285714285715,,
phone,0.0,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.345,,,0.7338571428571429,,
phone,0.005,1200,1200,800,800,0.25585714285714284,0.16749999999999998,0.3325,,,0.7388214285714285,,
phone,0.01,1200,1200,800,800,0.2517142857142857,0.16249999999999998,0.32499999999999996,,,0.7441428571428571,,
phone,0.025,1200,1200,800,800,0.23242857142857143,0.15749999999999997,0.28500000000000003,,,0.7667857142857143,,
phone,0.05,1200,1200,800,800,0.19585714285714287,0.15249999999999997,0.24250000000000002,,,0.7988214285714286,,
phone,0.075,1200,1200,800,800,0.1782857142857143,0.15000000000000002,0.20999999999999996,,,0.8178571428571428,,
phone,0.1,1200,1200,800,800,0.17000000000000004,0.14749999999999996,0.18000000000000002,,,0.8315,,
phone,0.15,1200,1200,800,800,0.15000000000000002,0.14749999999999996,0.13,,,0.8565,,
yue,0.0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.005,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.01,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.025,124,124,108,124,0.1861413043478261,0.10208333333333333,0.17741935483870966,,,0.8332868747078073,,
yue,0.05,124,124,108,124,0.15421195652173914,0.12916666666666665,0.17741935483870966,,,0.8438348819541843,,
yue,0.075,124,124,108,124,0.15421195652173914,0.12916666666666665,0.17741935483870966,,,0.8438348819541843,,
yue,0.1,124,124,108,124,0.14877717391304346,0.12916666666666665,0.16129032258064513,,,0.8513909829359514,,
yue,0.15,124,124,108,124,0.12771739130434784,0.12916666666666665,0.14516129032258063,,,0.8667595839177186,,
