DATASET,GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,ALL,ALL,400,400,350,350,0.24763636363636365,0.21714285714285717,0.27428571428571424,,,0.7504675324675325,,
factorial,AUDIO_TYPE,mixed,300,300,300,300,0.3466666666666667,0.2533333333333333,0.29333333333333333,,,0.688,,
factorial,AUDIO_TYPE,music,50,50,0,50,0.19999999999999998,,0.19999999999999998,,,,,
factorial,AUDIO_TYPE,voice,50,50,50,0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,SPLIT,holdout,400,400,350,350,0.24763636363636365,0.21714285714285717,0.27428571428571424,,,0.7504675324675325,,
factorial,CHANNEL,clean_flac,66,66,58,58,0.2873015873015873,0.2068965517241379,0.2928571428571428,,,0.727112753147236,,
factorial,CHANNEL,mp3_64k,67,67,59,58,0.23585858585858588,0.20344827586206896,0.32738095238095233,,,0.7431667661840076,,
factorial,CHANNEL,noisy_flac,67,67,58,59,0.19574468085106386,0.1724137931034483,0.22004608294930877,,,0.8016310760689858,,
factorial,CHANNEL,ogg_48k,67,67,58,59,0.24948240165631472,0.24137931034482762,0.20344827586206893,,,0.7659484543442565,,
factorial,CHANNEL,stereo_wav,66,66,58,58,0.2554347826086957,0.31034482758620685,0.25833333333333336,,,0.7327136431784108,,
factorial,CHANNEL,telephone_flac,67,67,59,58,0.2950310559006211,0.271264367816092,0.32738095238095233,,,0.7000173127721854,,
factorial,MIX_MODE,concurrent,100,100,100,100,0.4,0.28,0.26,,,0.6659999999999999,,
factorial,MIX_MODE,music_only,50,50,0,50,0.19999999999999998,,0.19999999999999998,,,,,
factorial,MIX_MODE,partial_overlap,100,100,100,100,0.28,0.30000000000000004,0.30000000000000004,,,0.71,,
factorial,MIX_MODE,sequential,100,100,100,100,0.2066666666666667,0.18000000000000002,0.28,,,0.7766666666666666,,
factorial,MIX_MODE,voice_only,50,50,50,0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,VOICE_GENERATOR,bonafide,175,175,175,150,0.28,,0.28,,,,,
factorial,VOICE_GENERATOR,cosyvoice3_0.5b,44,44,44,37,,,0.18898809523809523,,,,,
factorial,VOICE_GENERATOR,f5tts_v1_base,37,37,37,32,,,0.28174603174603174,,,,,
factorial,VOICE_GENERATOR,qwen3tts_custom_0.6b,59,59,59,52,,,0.28814814814814815,,,,,
factorial,VOICE_GENERATOR,qwen3tts_finetuned_1.7b,35,35,35,29,,,0.4142857142857143,,,,,
factorial,VOICE_GENERATOR,nan,50,50,0,50,0.19999999999999998,,0.19999999999999998,,,,,
factorial,MUSIC_GENERATOR,acestep,15,15,13,15,,0.22499999999999998,,,,,,
factorial,MUSIC_GENERATOR,audioldm,16,16,14,16,,0.3666666666666667,,,,,,
factorial,MUSIC_GENERATOR,brev,17,17,13,17,,0.30952380952380953,,,,,,
factorial,MUSIC_GENERATOR,diffrhythm,12,12,9,12,,,,,,,,
factorial,MUSIC_GENERATOR,elevenlabs,13,13,12,13,,0.17142857142857146,,,,,,
factorial,MUSIC_GENERATOR,mubert,14,14,14,14,,0.14583333333333331,,,,,,
factorial,MUSIC_GENERATOR,producer,13,13,11,13,,0.1833333333333333,,,,,,
factorial,MUSIC_GENERATOR,real,175,175,150,175,0.34833333333333333,0.29333333333333333,,,,,,
factorial,MUSIC_GENERATOR,songgen,18,18,10,18,,0.0,,,,,,
factorial,MUSIC_GENERATOR,stableaudio,16,16,16,16,,0.1909090909090909,,,,,,
factorial,MUSIC_GENERATOR,suno,17,17,15,17,,0.26785714285714285,,,,,,
factorial,MUSIC_GENERATOR,udio,15,15,15,15,,0.14999999999999997,,,,,,
factorial,MUSIC_GENERATOR,nan,50,50,50,0,0.04000000000000002,0.04000000000000002,,,,,,
factorial,SNR_DB,-10.0,48,48,48,48,0.3252747252747253,0.41608391608391615,0.27222222222222225,,,0.6724791874791876,,
factorial,SNR_DB,-5.0,28,28,28,28,0.3484848484848485,0.28888888888888886,0.14358974358974358,,,0.7249028749028749,,
factorial,SNR_DB,0.0,50,50,50,50,0.42020373514431236,0.2834224598930481,0.38013136288998356,,,0.619174231582239,,
factorial,SNR_DB,5.0,44,44,44,44,0.25,0.2950310559006211,0.22649572649572647,,,0.7480450708711579,,
factorial,SNR_DB,10.0,30,30,30,30,0.20192307692307693,0.26785714285714285,0.32499999999999996,,,0.747967032967033,,
factorial,SNR_DB,nan,200,200,150,150,0.18533333333333335,0.12,0.22666666666666668,,,0.8153333333333334,,
factorial,OVERLAP_FRACTION,0.25,30,30,30,30,0.33333333333333337,0.20089285714285715,0.36877828054298645,,,0.6825212777418659,,
factorial,OVERLAP_FRACTION,0.5,42,42,42,42,0.16666666666666663,0.3090909090909091,0.1909090909090909,,,0.7975757575757576,,
factorial,OVERLAP_FRACTION,0.75,28,28,28,28,0.30952380952380953,0.3958333333333333,0.3923076923076923,,,0.6483791208791209,,
factorial,OVERLAP_FRACTION,nan,300,300,250,250,0.26,0.19199999999999998,0.264,,,0.7524000000000001,,
factorial,ORDER,music_first,91,91,91,91,0.29923273657289,0.23086240310077516,0.263768115942029,,,0.7250807163107913,,
factorial,ORDER,voice_first,109,109,109,109,0.2944896115627823,0.22941970310391366,0.2936026936026936,,,0.718790445517018,,
factorial,ORDER,nan,200,200,150,150,0.2653333333333333,0.19999999999999998,0.2533333333333333,,,0.7513333333333334,,
