variant,axis,group,rows,real_rows,fake_rows,VOICE_EER,FPR_at_fixed_half,FNR_at_fixed_half
global_parent,ALL,ALL,4016,1995,2021,0.12624547514258183,0.0786967418546366,0.19396338446313707
global_parent,VOICE_CONTEXT,fake_music_RF_vs_FF,1850,925,925,0.1275675675675676,0.08108108108108109,0.18162162162162163
global_parent,VOICE_CONTEXT,pure_voice,316,145,171,0.18029844726759425,0.2,0.15204678362573099
global_parent,VOICE_CONTEXT,real_music_RR_vs_FR,1850,925,925,0.12540540540540546,0.057297297297297295,0.21405405405405406
global_parent,COMPONENT_CASE,FF,925,0,925,,,0.18162162162162163
global_parent,COMPONENT_CASE,FR,925,0,925,,,0.21405405405405406
global_parent,COMPONENT_CASE,RF,925,925,0,,0.08108108108108109,
global_parent,COMPONENT_CASE,RR,925,925,0,,0.057297297297297295,
global_parent,COMPONENT_CASE,fake_voice_only,171,0,171,,,0.15204678362573099
global_parent,COMPONENT_CASE,real_voice_only,145,145,0,,0.2,
global_parent,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.07958656330749353,0.32222222222222224,0.0
global_parent,DATASET,codec_mixed_dev_v4,600,300,300,0.18,0.10333333333333333,0.32
global_parent,DATASET,external_mixed_v1,400,200,200,0.14000000000000007,0.075,0.185
global_parent,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.15999999999999998,0.115,0.2
global_parent,DATASET,factorial_eval_1200_v2,350,175,175,0.2571428571428571,0.03428571428571429,0.4742857142857143
global_parent,DATASET,mixfake_music_dev_v1,1600,800,800,0.04249999999999998,0.01125,0.12625
global_parent,DATASET,multigen_voice_v2,90,30,60,0.06666666666666665,0.0,0.2833333333333333
global_parent,DATASET,source_disjoint_mixed_v1,200,100,100,0.14999999999999997,0.22,0.11
global_parent,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.12999999999999995,0.22,0.07
global_parent,CHANNEL_V57,clean,120,60,60,0.06666666666666665,0.0,0.23333333333333334
global_parent,CHANNEL_V57,clean_flac,58,29,29,0.2068965517241379,0.034482758620689655,0.3103448275862069
global_parent,CHANNEL_V57,flac16k,600,300,300,0.12999999999999995,0.12333333333333334,0.16
global_parent,CHANNEL_V57,g711_ulaw,120,60,60,0.08333333333333331,0.0,0.38333333333333336
global_parent,CHANNEL_V57,g722_wb,120,60,60,0.050000000000000044,0.0,0.25
global_parent,CHANNEL_V57,mp3_64k,58,29,29,0.3448275862068966,0.10344827586206896,0.6896551724137931
global_parent,CHANNEL_V57,noisy_flac,58,29,29,0.2068965517241379,0.0,0.41379310344827586
global_parent,CHANNEL_V57,ogg_48k,59,29,30,0.23735632183908045,0.06896551724137931,0.43333333333333335
global_parent,CHANNEL_V57,opus_nb_8k,120,60,60,0.31666666666666665,0.2,0.35
global_parent,CHANNEL_V57,stereo_wav,59,30,29,0.2712643678160919,0.0,0.5172413793103449
global_parent,CHANNEL_V57,telephone8k,600,300,300,0.15666666666666668,0.15,0.15666666666666668
global_parent,CHANNEL_V57,telephone_flac,58,29,29,0.2758620689655173,0.0,0.4827586206896552
global_parent,CHANNEL_V57,transcode_g711_opus,120,60,60,0.3333333333333333,0.31666666666666665,0.38333333333333336
global_parent,CHANNEL_V57,unknown,90,30,60,0.06666666666666665,0.0,0.2833333333333333
global_parent,CHANNEL_V57,wav,176,90,86,0.07958656330749353,0.32222222222222224,0.0
global_parent,CHANNEL_V57,wav16k,1600,800,800,0.04249999999999998,0.01125,0.12625
global_parent,LAYOUT_V57,concurrent,1900,950,950,0.0831578947368421,0.018947368421052633,0.20210526315789473
global_parent,LAYOUT_V57,partial_overlap,300,150,150,0.19333333333333336,0.06,0.32
global_parent,LAYOUT_V57,sequential,900,450,450,0.13777777777777778,0.14888888888888888,0.13333333333333333
global_parent,LAYOUT_V57,simultaneous,600,300,300,0.15999999999999998,0.11333333333333333,0.22
global_parent,LAYOUT_V57,speech_only,266,120,146,0.17311643835616441,0.24166666666666667,0.11643835616438356
global_parent,LAYOUT_V57,voice_only,50,25,25,0.040000000000000036,0.0,0.36
file_only,ALL,ALL,4016,1995,2021,0.20742095218253453,0.6160401002506266,0.06927263730826323
file_only,VOICE_CONTEXT,fake_music_RF_vs_FF,1850,925,925,0.2118918918918919,0.6994594594594594,0.046486486486486484
file_only,VOICE_CONTEXT,pure_voice,316,145,171,0.19304295220810647,0.2482758620689655,0.1286549707602339
file_only,VOICE_CONTEXT,real_music_RR_vs_FR,1850,925,925,0.21297297297297302,0.5902702702702702,0.08108108108108109
file_only,COMPONENT_CASE,FF,925,0,925,,,0.046486486486486484
file_only,COMPONENT_CASE,FR,925,0,925,,,0.08108108108108109
file_only,COMPONENT_CASE,RF,925,925,0,,0.6994594594594594,
file_only,COMPONENT_CASE,RR,925,925,0,,0.5902702702702702,
file_only,COMPONENT_CASE,fake_voice_only,171,0,171,,,0.1286549707602339
file_only,COMPONENT_CASE,real_voice_only,145,145,0,,0.2482758620689655,
file_only,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.03410852713178297,0.36666666666666664,0.0
file_only,DATASET,codec_mixed_dev_v4,600,300,300,0.30000000000000004,0.88,0.03
file_only,DATASET,external_mixed_v1,400,200,200,0.23499999999999993,0.665,0.055
file_only,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.20500000000000002,0.63,0.065
