bank,axis,group,model,rows,VOICE_EER
uniform,ALL,ALL,global_parent,720,0.36111111111111116
uniform,ALL,ALL,file_only,720,0.25555555555555554
uniform,ALL,ALL,dense,720,0.27499999999999997
uniform,ALL,ALL,actual_anchor_voice,720,0.42500000000000004
uniform,DURATION,30,global_parent,240,0.35833333333333334
uniform,DURATION,30,file_only,240,0.27499999999999997
uniform,DURATION,30,dense,240,0.26666666666666666
uniform,DURATION,30,actual_anchor_voice,240,0.4166666666666667
uniform,DURATION,45,global_parent,240,0.35833333333333334
uniform,DURATION,45,file_only,240,0.25
uniform,DURATION,45,dense,240,0.21666666666666673
uniform,DURATION,45,actual_anchor_voice,240,0.43333333333333335
uniform,DURATION,60,global_parent,240,0.3666666666666667
uniform,DURATION,60,file_only,240,0.26666666666666666
uniform,DURATION,60,dense,240,0.30000000000000004
uniform,DURATION,60,actual_anchor_voice,240,0.4166666666666667
uniform,CHANNEL,clean,global_parent,240,0.30833333333333335
uniform,CHANNEL,clean,file_only,240,0.1333333333333333
uniform,CHANNEL,clean,dense,240,0.15833333333333327
uniform,CHANNEL,clean,actual_anchor_voice,240,0.3666666666666667
uniform,CHANNEL,g711_ulaw,global_parent,240,0.35833333333333334
uniform,CHANNEL,g711_ulaw,file_only,240,0.26666666666666666
uniform,CHANNEL,g711_ulaw,dense,240,0.2416666666666667
uniform,CHANNEL,g711_ulaw,actual_anchor_voice,240,0.39166666666666666
uniform,CHANNEL,opus_nb_8k,global_parent,240,0.42500000000000004
uniform,CHANNEL,opus_nb_8k,file_only,240,0.40833333333333327
uniform,CHANNEL,opus_nb_8k,dense,240,0.40833333333333327
uniform,CHANNEL,opus_nb_8k,actual_anchor_voice,240,0.4916666666666667
uniform,POSITION,uniform,global_parent,720,0.36111111111111116
uniform,POSITION,uniform,file_only,720,0.25555555555555554
uniform,POSITION,uniform,dense,720,0.27499999999999997
uniform,POSITION,uniform,actual_anchor_voice,720,0.42500000000000004
fixed,ALL,ALL,global_parent,2160,0.37777777777777777
fixed,ALL,ALL,file_only,2160,0.26388888888888884
fixed,ALL,ALL,dense,2160,0.26851851851851855
fixed,ALL,ALL,actual_anchor_voice,2160,0.39351851851851855
fixed,DURATION,30,global_parent,720,0.375
fixed,DURATION,30,file_only,720,0.25277777777777777
fixed,DURATION,30,dense,720,0.2583333333333333
fixed,DURATION,30,actual_anchor_voice,720,0.40277777777777773
fixed,DURATION,45,global_parent,720,0.375
fixed,DURATION,45,file_only,720,0.27499999999999997
fixed,DURATION,45,dense,720,0.26111111111111107
fixed,DURATION,45,actual_anchor_voice,720,0.38611111111111107
fixed,DURATION,60,global_parent,720,0.38888888888888884
fixed,DURATION,60,file_only,720,0.26666666666666666
fixed,DURATION,60,dense,720,0.27777777777777773
fixed,DURATION,60,actual_anchor_voice,720,0.39444444444444443
fixed,CHANNEL,clean,global_parent,720,0.36388888888888893
fixed,CHANNEL,clean,file_only,720,0.14999999999999997
fixed,CHANNEL,clean,dense,720,0.15277777777777773
fixed,CHANNEL,clean,actual_anchor_voice,720,0.28333333333333327
fixed,CHANNEL,g711_ulaw,global_parent,720,0.36944444444444446
fixed,CHANNEL,g711_ulaw,file_only,720,0.28333333333333327
fixed,CHANNEL,g711_ulaw,dense,720,0.23611111111111116
fixed,CHANNEL,g711_ulaw,actual_anchor_voice,720,0.3527777777777778
fixed,CHANNEL,opus_nb_8k,global_parent,720,0.43333333333333335
fixed,CHANNEL,opus_nb_8k,file_only,720,0.39166666666666666
fixed,CHANNEL,opus_nb_8k,dense,720,0.3833333333333333
fixed,CHANNEL,opus_nb_8k,actual_anchor_voice,720,0.4611111111111112
fixed,POSITION,early,global_parent,720,0.4305555555555556
fixed,POSITION,early,file_only,720,0.26666666666666666
fixed,POSITION,early,dense,720,0.2416666666666667
fixed,POSITION,early,actual_anchor_voice,720,0.38888888888888884
fixed,POSITION,late,global_parent,720,0.35833333333333334
fixed,POSITION,late,file_only,720,0.2583333333333333
fixed,POSITION,late,dense,720,0.25555555555555554
fixed,POSITION,late,actual_anchor_voice,720,0.39444444444444443
fixed,POSITION,middle,global_parent,720,0.3444444444444445
fixed,POSITION,middle,file_only,720,0.26666666666666666
fixed,POSITION,middle,dense,720,0.2722222222222222
fixed,POSITION,middle,actual_anchor_voice,720,0.39999999999999997
