axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
DURATION,10,720,720,660,660,0.2473389355742297,0.30000000000000004,0.30606060606060603,0.9735858585858586,0.9999494949494949,0.7245123503947033,0.9867676767676767,0.7507378830320007
DURATION,30,720,720,660,660,0.23235294117647057,0.23030303030303034,0.2848484848484848,0.9902525252525252,1.0,0.7523083778966133,0.9951262626262626,0.7765901663695782
DURATION,60,720,720,660,660,0.2439775910364146,0.23030303030303034,0.2848484848484848,0.989469696969697,1.0,0.7464960529666412,0.9947348484848485,0.771319932518462
MIX_MODE,concurrent,360,360,360,360,0.24259259259259258,0.25555555555555554,0.23888888888888893,,,0.7559259259259259,,
MIX_MODE,fake_music,90,90,0,90,,,,,,,,
MIX_MODE,fake_voice,90,90,90,0,,,,,,,,
MIX_MODE,real_music,90,90,0,90,,,,,,,,
MIX_MODE,real_voice,90,90,90,0,,,,,,,,
MIX_MODE,sequential_music_first,360,360,360,360,0.2333333333333333,0.19999999999999998,0.2833333333333333,,,0.7583333333333334,,
MIX_MODE,sequential_voice_first,360,360,360,360,0.19999999999999998,0.16666666666666663,0.2944444444444444,,,0.7783333333333333,,
MIX_MODE,sparse_music,360,360,360,360,0.3666666666666667,0.26111111111111107,0.4444444444444444,,,0.6311111111111111,,
MIX_MODE,sparse_voice,360,360,360,360,0.33333333333333337,0.47777777777777775,0.21111111111111114,,,0.6744444444444444,,
CHANNEL,clean,720,720,660,660,0.19999999999999998,0.25757575757575757,0.21212121212121215,0.9911616161616161,1.0,0.7848484848484849,0.9955808080808081,0.8059217171717172
CHANNEL,g711_ulaw,720,720,660,660,0.22464985994397757,0.2484848484848485,0.25151515151515147,0.9913888888888889,1.0,0.7625235548764961,0.9956944444444444,0.785840643833291
CHANNEL,opus_nb_8k,720,720,660,660,0.2903361344537815,0.26363636363636367,0.4,0.9894949494949494,1.0,0.6821046600458365,0.9947474747474747,0.7133689415160004
DURATION|MIX_MODE,10|concurrent,120,120,120,120,0.26111111111111107,0.25,0.25,,,0.7444444444444445,,
