candidate,axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
eat_control,AUDIO_TYPE,mixed,1800,1800,1800,1800,0.27555555555555555,0.27555555555555555,0.30000000000000004,,,0.717111111111111,,
eat_control,AUDIO_TYPE,music,180,180,0,180,0.28888888888888886,,0.25555555555555554,,,,,
eat_control,AUDIO_TYPE,voice,180,180,180,0,0.09999999999999999,0.12222222222222223,,,,,,
eat_control,DURATION|AUDIO_TYPE,10|mixed,600,600,600,600,0.25222222222222224,0.30000000000000004,0.30333333333333334,,,0.7228888888888888,,
eat_control,DURATION|AUDIO_TYPE,10|music,60,60,0,60,0.3666666666666667,,0.33333333333333337,,,,,
eat_control,DURATION|AUDIO_TYPE,10|voice,60,60,60,0,0.06666666666666665,0.09999999999999999,,,,,,
eat_control,DURATION|AUDIO_TYPE,30|mixed,600,600,600,600,0.25222222222222224,0.24333333333333332,0.29000000000000004,,,0.7382222222222222,,
eat_control,DURATION|AUDIO_TYPE,30|music,60,60,0,60,0.2666666666666667,,0.2333333333333333,,,,,
eat_control,DURATION|AUDIO_TYPE,30|voice,60,60,60,0,0.033333333333333326,0.06666666666666665,,,,,,
eat_control,DURATION|AUDIO_TYPE,60|mixed,600,600,600,600,0.2533333333333333,0.24333333333333332,0.2866666666666666,,,0.7386666666666667,,
eat_control,DURATION|AUDIO_TYPE,60|music,60,60,0,60,0.2666666666666667,,0.2666666666666667,,,,,
eat_control,DURATION|AUDIO_TYPE,60|voice,60,60,60,0,0.06666666666666665,0.09999999999999999,,,,,,
eat_control,DURATION|AUDIO_TYPE|CHANNEL,10|mixed|clean,200,200,200,200,0.23666666666666664,0.29000000000000004,0.18000000000000002,,,0.7696666666666667,,
eat_control,DURATION|AUDIO_TYPE|CHANNEL,10|mixed|g711_ulaw,200,200,200,200,0.18333333333333332,0.31000000000000005,0.22999999999999998,,,0.7773333333333333,,
eat_control,DURATION|AUDIO_TYPE|CHANNEL,10|mixed|opus_nb_8k,200,200,200,200,0.30000000000000004,0.31000000000000005,0.43999999999999995,,,0.656,,
eat_control,DURATION|AUDIO_TYPE|CHANNEL,10|music|clean,20,20,0,20,0.19999999999999998,,0.09999999999999999,,,,,
eat_control,DURATION|AUDIO_TYPE|CHANNEL,10|music|g711_ulaw,20,20,0,20,0.4,,0.19999999999999998,,,,,
eat_control,DURATION|AUDIO_TYPE|CHANNEL,10|music|opus_nb_8k,20,20,0,20,0.5,,0.4,,,,,
