DATASET,GROUP,VALUE,N,FILE_FAKE_N,FILE_FAKE_EER,VOICE_FAKE_N,VOICE_FAKE_EER,MUSIC_FAKE_N,MUSIC_FAKE_EER
factorial,ALL,ALL,400,400,0.25527272727272726,350,0.22285714285714286,350,0.22285714285714286
factorial,AUDIO_TYPE,mixed,300,300,0.34444444444444444,300,0.26,300,0.22666666666666668
factorial,AUDIO_TYPE,music,50,50,0.19999999999999998,0,,50,0.16000000000000003
factorial,AUDIO_TYPE,voice,50,50,0.04000000000000002,50,0.04000000000000002,0,
factorial,MIX_MODE,concurrent,100,100,0.4,100,0.30000000000000004,100,0.19999999999999998
factorial,MIX_MODE,music_only,50,50,0.19999999999999998,0,,50,0.16000000000000003
factorial,MIX_MODE,partial_overlap,100,100,0.31999999999999995,100,0.30000000000000004,100,0.21999999999999997
factorial,MIX_MODE,sequential,100,100,0.24,100,0.18000000000000002,100,0.18000000000000002
factorial,MIX_MODE,voice_only,50,50,0.04000000000000002,50,0.04000000000000002,0,
factorial,VOICE_FAKE,0.0,175,175,0.26833333333333337,175,,150,0.22666666666666668
factorial,VOICE_FAKE,1.0,175,175,,175,,150,0.22666666666666668
factorial,VOICE_FAKE,nan,50,50,0.19999999999999998,0,,50,0.16000000000000003
factorial,CHANNEL,clean_flac,66,66,0.2873015873015873,58,0.24137931034482762,58,0.20714285714285716
factorial,CHANNEL,mp3_64k,67,67,0.22474747474747475,59,0.20344827586206896,58,0.1380952380952381
factorial,CHANNEL,noisy_flac,67,67,0.19574468085106386,58,0.1724137931034483,59,0.16993087557603687
factorial,CHANNEL,ogg_48k,67,67,0.2841614906832298,58,0.24137931034482762,59,0.20344827586206893
factorial,CHANNEL,stereo_wav,66,66,0.2554347826086957,58,0.31034482758620685,58,0.17261904761904762
factorial,CHANNEL,telephone_flac,67,67,0.2841614906832298,59,0.23735632183908045,58,0.17261904761904762
factorial,SNR_DB,-10.0,48,48,0.378021978021978,48,0.41608391608391615,48,0.22777777777777777
factorial,SNR_DB,-5.0,28,28,0.19696969696969696,28,0.28888888888888886,28,0.07179487179487179
factorial,SNR_DB,0.0,50,50,0.4787775891341256,50,0.2834224598930481,50,0.23973727422003288
factorial,SNR_DB,5.0,44,44,0.25,44,0.3405797101449275,44,0.16025641025641024
factorial,SNR_DB,10.0,30,30,0.25961538461538464,30,0.26785714285714285,30,0.19999999999999998
factorial,SNR_DB,nan,200,200,0.14933333333333335,150,0.1333333333333333,150,0.17333333333333334
phone,ALL,ALL,1200,1200,0.2017142857142857,800,0.16749999999999998,800,0.17500000000000002
phone,AUDIO_TYPE,mixed,400,400,0.27,400,0.21999999999999997,400,0.245
phone,AUDIO_TYPE,music,400,400,0.15500000000000003,0,,400,0.12
phone,AUDIO_TYPE,voice,400,400,0.050000000000000024,400,0.06499999999999997,0,
phone,CONDITION,simultaneous,400,400,0.27,400,0.21999999999999997,400,0.245
phone,CONDITION,source_disjoint,400,400,0.15500000000000003,0,,400,0.12
phone,CONDITION,speech_only,400,400,0.050000000000000024,400,0.06499999999999997,0,
phone,VOICE_FAKE,0.0,400,400,0.28,400,,200,0.21999999999999997
phone,VOICE_FAKE,1.0,400,400,,400,,200,0.25
phone,VOICE_FAKE,nan,400,400,0.15500000000000003,0,,400,0.12
phone,CHANNEL,g711_ulaw,300,300,0.1502857142857143,200,0.08999999999999998,200,0.18000000000000002
phone,CHANNEL,g726_24k,300,300,0.15314285714285714,200,0.06999999999999998,200,0.16000000000000003
phone,CHANNEL,opus_nb_8k,300,300,0.43999999999999995,200,0.24,200,0.18000000000000002
phone,CHANNEL,resample8k,300,300,0.1502857142857143,200,0.050000000000000024,200,0.17000000000000004
phone,SNR_DB,-6.0,144,144,0.33333333333333337,144,0.3194444444444444,144,0.18055555555555558
phone,SNR_DB,0.0,128,128,0.21875,128,0.15625,128,0.3125
phone,SNR_DB,6.0,128,128,0.25,128,0.15625,128,0.25
phone,SNR_DB,nan,800,800,0.16749999999999998,400,0.06499999999999997,400,0.12
yue,ALL,ALL,124,124,0.12771739130434784,108,0.10208333333333333,124,0.16129032258064513
yue,AUDIO_TYPE,mixed,108,108,0.12797619047619047,108,0.10208333333333333,108,0.1851851851851852
yue,MIX_MODE,concurrent,32,32,0.25,32,0.25,32,0.25
yue,MIX_MODE,partial_overlap,32,32,0.020833333333333315,32,0.0,32,0.125
yue,MIX_MODE,sequential,32,32,0.0,32,0.0625,32,0.0625
yue,CONDITION,clean_separator_free,124,124,0.12771739130434784,108,0.10208333333333333,124,0.16129032258064513
yue,VOICE_FAKE,0.0,48,48,0.16666666666666663,48,,48,0.20833333333333337
yue,VOICE_FAKE,1.0,60,60,,60,,60,0.16666666666666663
