axis,group,task,n,base_count,eer
pooled,all,FILE,600,120,0.23333333333333334
pooled,all,VOICE,600,120,0.2066666666666666
pooled,all,MUSIC,600,120,0.25333333333333335
CHANNEL,clean,FILE,120,120,0.10000000000000003
CHANNEL,clean,VOICE,120,120,0.1166666666666667
CHANNEL,clean,MUSIC,120,120,0.1166666666666667
CHANNEL,g711_ulaw,FILE,120,120,0.19999999999999996
CHANNEL,g711_ulaw,VOICE,120,120,0.10000000000000003
CHANNEL,g711_ulaw,MUSIC,120,120,0.19999999999999996
CHANNEL,g722_wb,FILE,120,120,0.16666666666666669
CHANNEL,g722_wb,VOICE,120,120,0.10000000000000003
CHANNEL,g722_wb,MUSIC,120,120,0.08333333333333331
CHANNEL,opus_nb_8k,FILE,120,120,0.3333333333333333
CHANNEL,opus_nb_8k,VOICE,120,120,0.35000000000000003
CHANNEL,opus_nb_8k,MUSIC,120,120,0.3666666666666667
CHANNEL,transcode_g711_opus,FILE,120,120,0.30000000000000004
CHANNEL,transcode_g711_opus,VOICE,120,120,0.31666666666666665
CHANNEL,transcode_g711_opus,MUSIC,120,120,0.39999999999999997
MIX_MODE,concurrent,FILE,200,40,0.28
MIX_MODE,concurrent,VOICE,200,40,0.22999999999999998
MIX_MODE,concurrent,MUSIC,200,40,0.22999999999999998
MIX_MODE,partial_overlap,FILE,200,40,0.25666666666666665
MIX_MODE,partial_overlap,VOICE,200,40,0.20999999999999996
MIX_MODE,partial_overlap,MUSIC,200,40,0.32
MIX_MODE,sequential,FILE,200,40,0.14333333333333337
MIX_MODE,sequential,VOICE,200,40,0.18
MIX_MODE,sequential,MUSIC,200,40,0.19999999999999996
SNR_DB,-10.0,FILE,70,14,0.28444444444444444
SNR_DB,-10.0,VOICE,70,14,0.2285714285714286
SNR_DB,-10.0,MUSIC,70,14,0.28571428571428564
SNR_DB,-5.0,FILE,105,21,0.39999999999999997
SNR_DB,-5.0,VOICE,105,21,0.17211538461538461
SNR_DB,-5.0,MUSIC,105,21,0.2961538461538462
SNR_DB,0.0,FILE,85,17,0.33095238095238094
SNR_DB,0.0,VOICE,85,17,0.32916666666666666
SNR_DB,0.0,MUSIC,85,17,0.30714285714285716
SNR_DB,5.0,FILE,50,10,0.19999999999999996
SNR_DB,5.0,VOICE,50,10,0.30000000000000004
SNR_DB,5.0,MUSIC,50,10,0.2416666666666667
SNR_DB,10.0,FILE,90,18,0.15357142857142853
SNR_DB,10.0,VOICE,90,18,0.1555555555555555
SNR_DB,10.0,MUSIC,90,18,0.2324675324675325
CHANNEL+MIX_MODE,clean|concurrent,FILE,40,40,0.1833333333333333
CHANNEL+MIX_MODE,clean|concurrent,VOICE,40,40,0.19999999999999996
CHANNEL+MIX_MODE,clean|concurrent,MUSIC,40,40,0.0
