task,channel,cell,n,mean_signed_confidence_change,median_signed_confidence_change,fraction_confidence_worsened
FILE,g711_ulaw,FF,30,-0.10394064016666668,-0.030011849699999982,0.9
FILE,g711_ulaw,FR,30,-0.018469835816666665,-0.011323032400000044,0.7
FILE,g711_ulaw,RF,30,-0.15512954532666665,-0.14702040840000002,0.8666666666666667
FILE,g711_ulaw,RR,30,0.01169308609333333,0.012369215900000008,0.5
FILE,g722_wb,FF,30,-0.006248680463333337,0.00013391480000002343,0.4666666666666667
FILE,g722_wb,FR,30,0.017981548660000006,0.0053813098000000115,0.3333333333333333
FILE,g722_wb,RF,30,-0.0011171273933333317,-0.0003302299999999869,0.5333333333333333
FILE,g722_wb,RR,30,-0.08131797304,-0.08081339595,0.8666666666666667
FILE,opus_nb_8k,FF,30,-0.08041145097666665,-0.06310859594999996,0.9333333333333333
FILE,opus_nb_8k,FR,30,-0.019753258916666676,-0.017925155849999985,0.7
FILE,opus_nb_8k,RF,30,-0.07987124105666665,-0.05959972299999999,0.8
FILE,opus_nb_8k,RR,30,-0.22245712331999995,-0.19254768850000004,0.8333333333333334
FILE,transcode_g711_opus,FF,30,-0.09953927621333335,-0.06456416520000002,0.9666666666666667
FILE,transcode_g711_opus,FR,30,-0.015285770086666659,-0.00927411094999997,0.6333333333333333
FILE,transcode_g711_opus,RF,30,-0.07592635762333333,-0.06539236279999999,0.8
FILE,transcode_g711_opus,RR,30,-0.20167696626,-0.16418065725000003,0.7666666666666667
VOICE,g711_ulaw,FF,30,-0.049729919686666665,-0.04025066509999997,0.7333333333333333
VOICE,g711_ulaw,FR,30,-0.03631534642,-0.04335990244999999,0.8
VOICE,g711_ulaw,RF,30,0.050308726156666685,0.033094805250000005,0.4
VOICE,g711_ulaw,RR,30,0.007335530673333335,0.032528322,0.43333333333333335
VOICE,g722_wb,FF,30,0.004036346240000003,0.0015286397500000048,0.43333333333333335
VOICE,g722_wb,FR,30,-0.0030053686666666616,-0.0030196274500000064,0.5333333333333333
VOICE,g722_wb,RF,30,0.004113367643333333,0.011140841399999997,0.43333333333333335
VOICE,g722_wb,RR,30,-0.014885483470000006,-0.04951170785,0.6666666666666666
VOICE,opus_nb_8k,FF,30,-0.05496543070333333,-0.059852499250000024,0.7666666666666667
VOICE,opus_nb_8k,FR,30,-0.01860215644333333,-0.041094886599999936,0.6333333333333333
VOICE,opus_nb_8k,RF,30,-0.17503251668666667,-0.1780088878,0.9
VOICE,opus_nb_8k,RR,30,-0.27489695022666666,-0.25354897359999995,0.8666666666666667
VOICE,transcode_g711_opus,FF,30,-0.07608380327333333,-0.06367096924999999,0.8333333333333334
VOICE,transcode_g711_opus,FR,30,-0.031765325020000006,-0.045755480800000026,0.7
VOICE,transcode_g711_opus,RF,30,-0.18175503955000002,-0.17286473369999997,0.8333333333333334
VOICE,transcode_g711_opus,RR,30,-0.23163028301666666,-0.22277807685,0.8666666666666667
MUSIC,g711_ulaw,FF,30,-0.3177233773457796,-0.3224411316128134,0.9333333333333333
MUSIC,g711_ulaw,FR,30,0.07356737683962083,0.0944148013517867,0.43333333333333335
MUSIC,g711_ulaw,RF,30,-0.2768933522422802,-0.27152025299215843,0.9666666666666667
MUSIC,g711_ulaw,RR,30,0.1660473148676762,0.12544900096546596,0.23333333333333334
MUSIC,g722_wb,FF,30,-0.009006170366135668,0.0008246132608999424,0.4666666666666667
MUSIC,g722_wb,FR,30,-0.068279413151419,-0.03714144135897071,0.7666666666666667
MUSIC,g722_wb,RF,30,-0.01042596443358874,4.0822660536676825e-05,0.5
MUSIC,g722_wb,RR,30,-0.040029376042906135,-0.01968076261128203,0.6666666666666666
MUSIC,opus_nb_8k,FF,30,-0.3312774276907352,-0.3218567822637719,0.9333333333333333
MUSIC,opus_nb_8k,FR,30,-0.07902207970294374,-0.08841713377356206,0.6666666666666666
MUSIC,opus_nb_8k,RF,30,-0.3034982845781821,-0.28306944126251704,1.0
MUSIC,opus_nb_8k,RR,30,-0.07822919033338888,-0.07636080007231885,0.6333333333333333
MUSIC,transcode_g711_opus,FF,30,-0.3695300121450213,-0.3720868498890149,1.0
MUSIC,transcode_g711_opus,FR,30,-0.12389859086518985,-0.174282471929735,0.7
MUSIC,transcode_g711_opus,RF,30,-0.32218864219537896,-0.2723025980527456,1.0
MUSIC,transcode_g711_opus,RR,30,-0.09043733510085958,-0.05564682476884553,0.6333333333333333
