model,axis,group,rows,real_n,fake_n,MUSIC_EER,FPR_at_05,FNR_at_05
parent,ALL,ALL,4261,2131,2130,0.12907768840479134,0.07508212106992022,0.20610328638497652
parent,DATASET,codec_mixed_dev_v4,600,300,300,0.21333333333333337,0.04666666666666667,0.4166666666666667
parent,DATASET,echoes_fma_paired_v3,111,56,55,0.09009740259740262,0.08928571428571429,0.09090909090909091
parent,DATASET,external_mixed_v1,400,200,200,0.14,0.17,0.09
parent,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.15500000000000003,0.185,0.095
parent,DATASET,factorial_eval_1200_v2,350,175,175,0.18285714285714283,0.10285714285714286,0.28
parent,DATASET,mixfake_music_dev_v1,1600,800,800,0.09624999999999997,0.02,0.24625
parent,DATASET,source_disjoint_mixed_v1,200,100,100,0.07999999999999999,0.09,0.06
parent,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.15000000000000002,0.21,0.13
parent,DATASET,source_disjoint_music_v1,400,200,200,0.03500000000000002,0.03,0.035
parent,AUDIO_TYPE,mixed,3700,1850,1850,0.13891891891891894,0.08,0.22648648648648648
parent,AUDIO_TYPE,music,561,281,280,0.05347610574478903,0.042704626334519574,0.07142857142857142
parent,CHANNEL,clean,120,60,60,0.06666666666666665,0.06666666666666667,0.05
parent,CHANNEL,clean_flac,58,28,30,0.24166666666666664,0.21428571428571427,0.3333333333333333
parent,CHANNEL,g711_ulaw,120,60,60,0.11666666666666668,0.03333333333333333,0.31666666666666665
parent,CHANNEL,g722_wb,120,60,60,0.08333333333333334,0.1,0.06666666666666667
parent,CHANNEL,mp3_64k,59,29,30,0.20344827586206893,0.2413793103448276,0.16666666666666666
parent,CHANNEL,noisy_flac,58,30,28,0.10357142857142855,0.03333333333333333,0.21428571428571427
parent,CHANNEL,ogg_48k,58,30,28,0.10357142857142855,0.06666666666666667,0.14285714285714285
parent,CHANNEL,opus_nb_8k,120,60,60,0.2833333333333333,0.016666666666666666,0.8333333333333334
parent,CHANNEL,stereo_wav,58,30,28,0.20714285714285716,0.06666666666666667,0.35714285714285715
