SYSTEM,GROUP,VALUE,N,FILE_EER,VOICE_EER,MUSIC_EER,ADS
raw,ALL,ALL,1200,0.3082857142857143,0.1825,0.4,0.6893571428571428
raw,CHANNEL,g711_ulaw,300,0.24685714285714283,0.08999999999999998,0.33999999999999997,0.7565714285714287
raw,CHANNEL,g726_24k,300,0.23028571428571426,0.08999999999999998,0.35,0.761857142857143
raw,CHANNEL,opus_nb_8k,300,0.44971428571428573,0.26,0.39,0.6061428571428571
raw,CHANNEL,resample8k,300,0.24685714285714283,0.050000000000000024,0.42000000000000004,0.7405714285714284
raw,AUDIO_TYPE,mixed,400,0.4,0.235,0.475,0.6105
raw,AUDIO_TYPE,music,400,0.35,,0.33499999999999996,
raw,AUDIO_TYPE,voice,400,0.05500000000000002,0.06999999999999998,,
corrected,ALL,ALL,1200,0.3058571428571428,0.1825,0.39249999999999996,0.6928214285714286
corrected,CHANNEL,g711_ulaw,300,0.24971428571428572,0.08999999999999998,0.35,0.7521428571428572
corrected,CHANNEL,g726_24k,300,0.22342857142857142,0.08999999999999998,0.33999999999999997,0.7682857142857142
corrected,CHANNEL,opus_nb_8k,300,0.44971428571428573,0.26,0.37,0.6121428571428571
corrected,CHANNEL,resample8k,300,0.24685714285714283,0.050000000000000024,0.42000000000000004,0.7405714285714284
corrected,AUDIO_TYPE,mixed,400,0.3983333333333333,0.235,0.46499999999999997,0.6143333333333334
corrected,AUDIO_TYPE,music,400,0.35,,0.345,
corrected,AUDIO_TYPE,voice,400,0.04500000000000002,0.06999999999999998,,
