ID,FILE_FAKE_PROB,VOICE_FAKE_PROB,MUSIC_FAKE_PROB,VOICE_PRESENT_PROB,MUSIC_PRESENT_PROB
sdxeq_0000__phonefact_g726_24k,0.0149076253,0.0007446131,0.0149076253,0.1500979513,0.8862662315
sdxeq_0002__phonefact_g726_24k,0.2233456096,0.0013826648,0.2233456096,0.88853544,0.8892965317
sdxeq_0004__phonefact_g726_24k,0.1723534717,0.0198449411,0.1723534717,0.3976961374,0.8888418078
sdxeq_0006__phonefact_g726_24k,0.0163954056,0.0030288386,0.0163954056,0.7815509439,0.9144926071
sdxeq_0008__phonefact_g726_24k,0.0204227664,0.0035414493,0.0204227664,0.8305664062,0.9002497196
sdxeq_0010__phonefact_g726_24k,0.4817076619,0.0054876842,0.4817076619,0.8646034002,0.790569365
sdxeq_0012__phonefact_g726_24k,0.5359056159,0.5359056159,0.2089389474,0.7001323104,0.2678653896
sdxeq_0014__phonefact_g726_24k,0.0178401619,0.0074430082,0.0178401619,0.8640208244,0.8096379042
sdxeq_0016__phonefact_g726_24k,0.0464125872,0.0018346017,0.0464125872,0.8142437935,0.8022614717
sdxeq_0018__phonefact_g726_24k,0.0389624523,0.0389624523,0.0048507649,0.783700645,0.863810122
sdxeq_0020__phonefact_g726_24k,0.0095274851,0.0095274851,0.4965026155,0.8281048536,0.035633985
sdxeq_0022__phonefact_g726_24k,0.0077851043,0.4367929,0.0077851043,0.2660458982,0.8615204096
sdxeq_0024__phonefact_g726_24k,0.0003636151,0.0003636151,0.5459166325,0.5979977846,0.1649833173
sdxeq_0026__phonefact_g726_24k,0.4982269277,0.0042771692,0.4982269277,0.6814146042,0.7632590532
sdxeq_0028__phonefact_g726_24k,0.6620043218,0.0110423335,0.6620043218,0.4027682841,0.8690053821
sdxeq_0030__phonefact_g726_24k,0.2804484129,0.0005254477,0.2804484129,0.8550248742,0.8053088784
sdxeq_0032__phonefact_g726_24k,0.4285582194,0.0181432837,0.4285582194,0.4870406091,0.8792259097
sdxeq_0034__phonefact_g726_24k,0.1959109659,0.2215432217,0.1959109659,0.2486352772,0.9148851037
sdxeq_0036__phonefact_g726_24k,0.0069673062,0.0069673062,0.4193291004,0.8118448853,0.4431514144
sdxeq_0038__phonefact_g726_24k,0.1716007163,0.0802631189,0.1716007163,0.3322091699,0.8874567747
sdxeq_0040__phonefact_g726_24k,0.3379813226,0.0445041686,0.3379813226,0.503316164,0.8542996049
sdxeq_0042__phonefact_g726_24k,0.1465532229,0.0013518146,0.1465532229,0.8132206202,0.8676102757
sdxeq_0044__phonefact_g726_24k,0.4802668137,0.0025526155,0.4802668137,0.5482751727,0.8780856133
sdxeq_0046__phonefact_g726_24k,0.4795822427,0.1326523218,0.4795822427,0.3307698965,0.8863395452
sdxeq_0048__phonefact_g726_24k,0.0112652423,0.0112652423,0.4973497593,0.7807898521,0.4184010625
sdxeq_0050__phonefact_g726_24k,0.1647709504,0.1666763423,0.1647709504,0.1110760272,0.5140333772
sdxeq_0052__phonefact_g726_24k,0.9986676454,0.9986676454,0.3282648676,0.8965620995,0.3189498484
sdxeq_0054__phonefact_g726_24k,0.6796780366,0.6796780366,0.5165529349,0.879406929,0.0851646364
sdxeq_0056__phonefact_g726_24k,0.0052840387,0.0052840387,0.4876496376,0.9026167989,0.1134096384
sdxeq_0058__phonefact_g726_24k,0.9995836212,0.9995836212,0.43267335,0.8432495594,0.7614523172
sdxeq_0060__phonefact_g726_24k,0.8721706879,0.8721706879,0.3648241443,0.7982292771,0.2983914912
sdxeq_0062__phonefact_g726_24k,0.2339226136,0.9979168909,0.2339226136,0.2260788828,0.8614589572
sdxeq_0064__phonefact_g726_24k,0.9998676218,0.9998676218,0.2478205448,0.7890361547,0.7267795205
sdxeq_0066__phonefact_g726_24k,0.7531852656,0.7531852656,0.0072180639,0.7360426784,0.6715765595
sdxeq_0068__phonefact_g726_24k,0.235383355,0.9989005832,0.235383355,0.2724584043,0.91245085
sdxeq_0070__phonefact_g726_24k,0.9997358129,0.9997358129,0.0076633908,0.7411115766,0.8776733875
sdxeq_0072__phonefact_g726_24k,0.8987297894,0.8987297894,0.4920253127,0.8907744884,0.0465249866
sdxeq_0074__phonefact_g726_24k,0.2651238679,0.9998001296,0.2651238679,0.4419255555,0.8680695295
