mode,weight,pure,mixed,selection
prob,0.0,0.9924289772727273,0.9639375000000001,0.9710603693181818
prob,0.025,0.9930255681818183,0.9681791666666667,0.9743907670454546
prob,0.05,0.9934232954545456,0.9720375,0.9773839488636364
prob,0.075,0.9936079545454546,0.9754291666666667,0.9799738636363637
prob,0.1,0.9937642045454546,0.978475,0.9822973011363636
prob,0.15,0.9939488636363636,0.9834125,0.986046590909091
prob,0.2,0.9941477272727273,0.9869041666666667,0.9887150568181818
prob,0.25,0.994375,0.9892958333333333,0.9905656249999999
prob,0.3,0.99453125,0.9908958333333333,0.9918046875
prob,0.4,0.9947727272727274,0.992575,0.9931244318181818
prob,0.5,0.9950000000000001,0.9932500000000001,0.9936875000000001
prob,0.6,0.9950994318181818,0.9937,0.9940498579545455
prob,0.7,0.9953409090909091,0.9940833333333333,0.9943977272727273
logit,0.0,0.9924289772727273,0.9639375000000001,0.9710603693181818
logit,0.025,0.9944602272727272,0.9731875,0.9785056818181819
logit,0.05,0.9954545454545455,0.9800916666666667,0.9839323863636364
logit,0.075,0.9967613636363637,0.9849375,0.987893465909091
logit,0.1,0.9981392045454546,0.9883708333333334,0.9908129261363637
logit,0.15,0.9996590909090909,0.9930333333333332,0.9946897727272727
logit,0.2,0.9999573863636364,0.9955833333333334,0.996676846590909
logit,0.25,1.0,0.9970791666666666,0.9978093749999999
logit,0.3,1.0,0.9979083333333334,0.9984312500000001
logit,0.4,1.0,0.99875,0.9990625
logit,0.5,1.0,0.9991541666666667,0.999365625
logit,0.6,1.0,0.9994,0.9995499999999999
logit,0.7,1.0,0.9995499999999999,0.9996624999999999
