bank,n,routed,base_voice_auc,routed_voice_auc,delta
factorial_dev,400,67,0.9985142857142857,0.9977714285714285,-0.0007428571428571562
factorial_holdout,400,67,0.9988,0.9921714285714285,-0.006628571428571539
factorial_channel_clean_flac,132,0,1.0,1.0,0.0
factorial_channel_mp3_64k,134,0,1.0,1.0,0.0
factorial_channel_noisy_flac,133,0,0.9969574036511155,0.9969574036511155,0.0
factorial_channel_ogg_48k,134,0,0.9984917043740573,0.9984917043740573,0.0
factorial_channel_stereo_wav,133,0,0.9978632478632479,0.9978632478632479,0.0
factorial_channel_telephone_flac,134,134,0.9979889391654098,0.9733534439416792,-0.02463549522373054
phone_factorial,1200,1200,0.9820468750000001,0.997465625,0.015418749999999926
phone_g711_ulaw,300,300,0.9874,0.9994999999999999,0.012099999999999889
phone_g726_24k,300,300,0.9855,0.99925,0.013749999999999929
phone_opus_nb_8k,300,300,0.98165,0.9954000000000001,0.01375000000000004
phone_resample8k,300,300,0.9784999999999999,0.99725,0.018750000000000044
