bank,n,routed,base,candidate,delta
factorial_dev,400,67,0.9985142857142857,0.9961714285714286,-0.002342857142857091
factorial_holdout,400,67,0.9988,0.9824,-0.01639999999999997
factorial_channel_clean_flac,132,0,1.0,1.0,0.0
factorial_channel_mp3_64k,134,0,1.0,1.0,0.0
factorial_channel_noisy_flac,133,0,0.9969574036511155,0.9969574036511155,0.0
factorial_channel_ogg_48k,134,0,0.9984917043740573,0.9984917043740573,0.0
factorial_channel_stereo_wav,133,0,0.9978632478632479,0.9978632478632479,0.0
factorial_channel_telephone_flac,134,134,0.9979889391654098,0.9949723479135243,-0.00301659125188547
phone_factorial,1200,1200,0.9820468750000001,0.9996999999999999,0.017653124999999825
phone_g711_ulaw,300,300,0.9874,0.99975,0.012349999999999972
phone_g726_24k,300,300,0.9855,0.9998,0.01429999999999998
phone_opus_nb_8k,300,300,0.98165,0.9998,0.01815
phone_resample8k,300,300,0.9784999999999999,0.9997499999999999,0.02124999999999999
