SECTION,LAYER,C,LOCO_WORST_EER,LOCO_MEAN_EER,BLEND_NEW,DEV_WORST_EER,DEV_MEAN_EER,DATASET,CODEC,N,EXISTING_EER,NEW_EER,FUSED_EER
SELECTION,1.0,0.003,0.39,0.310625,0.5,0.39,0.29562499999999997,,,,,,
DEVELOPMENT,,,,,,,,external_mixed_v1,telephone8k,400.0,0.22499999999999998,0.20499999999999996,0.19999999999999998
DEVELOPMENT,,,,,,,,external_mixed_v1,g711_ulaw,400.0,0.22499999999999998,0.19499999999999998,0.20999999999999996
DEVELOPMENT,,,,,,,,external_mixed_v1,g726_24k,400.0,0.26,0.21999999999999997,0.21999999999999997
DEVELOPMENT,,,,,,,,external_mixed_v1,opus_nb_8k,400.0,0.35,0.22999999999999998,0.235
DEVELOPMENT,,,,,,,,source_disjoint_mixed_equal_v1,telephone8k,200.0,0.39,0.37,0.37
DEVELOPMENT,,,,,,,,source_disjoint_mixed_equal_v1,g711_ulaw,200.0,0.37,0.38,0.36
DEVELOPMENT,,,,,,,,source_disjoint_mixed_equal_v1,g726_24k,200.0,0.38,0.37,0.39
DEVELOPMENT,,,,,,,,source_disjoint_mixed_equal_v1,opus_nb_8k,200.0,0.43000000000000005,0.39,0.38
FINAL_AUDIT,,,,,,,,source_disjoint_mixed_v1,telephone8k,200.0,0.36,0.43999999999999995,0.41000000000000003
FINAL_AUDIT,,,,,,,,source_disjoint_mixed_v1,g711_ulaw,200.0,0.37,0.4,0.38
FINAL_AUDIT,,,,,,,,source_disjoint_mixed_v1,g726_24k,200.0,0.39,0.43999999999999995,0.41000000000000003
FINAL_AUDIT,,,,,,,,source_disjoint_mixed_v1,opus_nb_8k,200.0,0.43000000000000005,0.45999999999999996,0.43999999999999995
FINAL_AUDIT,,,,,,,,source_disjoint_music_v1,telephone8k,400.0,0.22999999999999998,0.31000000000000005,0.245
FINAL_AUDIT,,,,,,,,source_disjoint_music_v1,g711_ulaw,400.0,0.20999999999999996,0.31499999999999995,0.28
FINAL_AUDIT,,,,,,,,source_disjoint_music_v1,g726_24k,400.0,0.235,0.345,0.30500000000000005
FINAL_AUDIT,,,,,,,,source_disjoint_music_v1,opus_nb_8k,400.0,0.245,0.36,0.33499999999999996
