PARENT_ID,CHANNEL,TASK,LABEL,CLEAN_PROB,CHANNEL_PROB,SCORE_DELTA,SIGNED_DELTA
cmbv5_0000,g711_ulaw,FILE,0,0.360350079857263,0.7345187411545838,0.37416866129732085,-0.37416866129732085
cmbv5_0001,g711_ulaw,FILE,0,0.5030801218232108,0.5074658711446428,0.0043857493214319865,-0.0043857493214319865
cmbv5_0002,g711_ulaw,FILE,0,0.6884503444197034,0.3834303302128448,-0.30502001420685865,0.30502001420685865
cmbv5_0003,g711_ulaw,FILE,0,0.7598177445385199,0.8261559352381982,0.06633819069967828,-0.06633819069967828
cmbv5_0004,g711_ulaw,FILE,1,0.9113179709547188,0.7520884230546891,-0.15922954790002963,-0.15922954790002963
cmbv5_0005,g711_ulaw,FILE,1,0.9426867138277996,0.8878002990675821,-0.054886414760217495,-0.054886414760217495
cmbv5_0006,g711_ulaw,FILE,1,0.5329415081578933,0.215569536650225,-0.3173719715076683,-0.3173719715076683
cmbv5_0007,g711_ulaw,FILE,1,0.8777445002122044,0.329991947696394,-0.5477525525158105,-0.5477525525158105
cmbv5_0008,g711_ulaw,FILE,1,0.9598145252282309,0.9159035319308084,-0.04391099329742243,-0.04391099329742243
cmbv5_0009,g711_ulaw,FILE,1,0.9893877341873488,0.9449846289511148,-0.04440310523623403,-0.04440310523623403
cmbv5_0010,g711_ulaw,FILE,1,0.97186995968171,0.8279735172664324,-0.14389644241527755,-0.14389644241527755
cmbv5_0011,g711_ulaw,FILE,1,0.8902895639668664,0.7764254548471625,-0.1138641091197039,-0.1138641091197039
cmbv5_0012,g711_ulaw,FILE,1,0.7636300729726604,0.3555106004818825,-0.4081194724907779,-0.4081194724907779
cmbv5_0013,g711_ulaw,FILE,1,0.997780596868124,0.9922805702722712,-0.005500026595852803,-0.005500026595852803
cmbv5_0014,g711_ulaw,FILE,1,0.9757658292351028,0.9592116824420064,-0.016554146793096414,-0.016554146793096414
cmbv5_0015,g711_ulaw,FILE,1,0.9520183843061486,0.5210130582065192,-0.4310053260996294,-0.4310053260996294
cmbv5_0016,g711_ulaw,FILE,0,0.8867927040030519,0.8611196498897267,-0.02567305411332521,0.02567305411332521
cmbv5_0017,g711_ulaw,FILE,0,0.7979410415312765,0.8903975233111237,0.09245648177984711,-0.09245648177984711
cmbv5_0018,g711_ulaw,FILE,0,0.7204192440648882,0.5450928579104206,-0.1753263861544676,0.1753263861544676
cmbv5_0019,g711_ulaw,FILE,0,0.4650312141703008,0.2898334156570282,-0.1751977985132726,0.1751977985132726
cmbv5_0020,g711_ulaw,FILE,1,0.9636451397605512,0.9348231134081914,-0.028822026352359864,-0.028822026352359864
cmbv5_0021,g711_ulaw,FILE,1,0.6853285930125934,0.6736490759974143,-0.011679517015179108,-0.011679517015179108
cmbv5_0022,g711_ulaw,FILE,1,0.8519893712588691,0.886532841187427,0.034543469928557946,0.034543469928557946
cmbv5_0023,g711_ulaw,FILE,1,0.918749293899938,0.8453832429989697,-0.07336605090096826,-0.07336605090096826
cmbv5_0024,g711_ulaw,FILE,1,0.991211501302878,0.9906946015665228,-0.0005168997363552696,-0.0005168997363552696
cmbv5_0025,g711_ulaw,FILE,1,0.9912169606887348,0.9896488771965916,-0.001568083492143213,-0.001568083492143213
cmbv5_0026,g711_ulaw,FILE,1,0.9858841425603292,0.8915729257998235,-0.09431121676050569,-0.09431121676050569
cmbv5_0027,g711_ulaw,FILE,1,0.9859778645690526,0.985343997836038,-0.0006338667330145764,-0.0006338667330145764
cmbv5_0028,g711_ulaw,FILE,1,0.9956590700107956,0.9926729664835534,-0.0029861035272421566,-0.0029861035272421566
cmbv5_0029,g711_ulaw,FILE,1,0.9925100386435056,0.9933343146685892,0.0008242760250836145,0.0008242760250836145
cmbv5_0030,g711_ulaw,FILE,1,0.990865462223302,0.9782963355496987,-0.012569126673603215,-0.012569126673603215
cmbv5_0031,g711_ulaw,FILE,1,0.9885632852561146,0.9652139608556504,-0.023349324400464222,-0.023349324400464222
cmbv5_0032,g711_ulaw,FILE,0,0.4775308724748662,0.1934657659992805,-0.2840651064755857,0.2840651064755857
cmbv5_0033,g711_ulaw,FILE,0,0.6332941584351983,0.7376013507345627,0.10430719229936436,-0.10430719229936436
cmbv5_0034,g711_ulaw,FILE,0,0.7782356918033758,0.5074382768384921,-0.27079741496488374,0.27079741496488374
