PARENT_ID,CHANNEL,TASK,LABEL,CLEAN_PROB,CHANNEL_PROB,SCORE_DELTA,SIGNED_DELTA
cmbv5_0000,g711_ulaw,FILE,0,0.3423803235,0.6353652668,0.2929849433000001,-0.2929849433000001
cmbv5_0001,g711_ulaw,FILE,0,0.6366060998,0.6433810204,0.006774920599999956,-0.006774920599999956
cmbv5_0002,g711_ulaw,FILE,0,0.7680311034,0.4029747008,-0.36505640260000005,0.36505640260000005
cmbv5_0003,g711_ulaw,FILE,0,0.8950946952,0.9346026734,0.03950797820000007,-0.03950797820000007
cmbv5_0004,g711_ulaw,FILE,1,0.9476826666,0.8558035647,-0.09187910190000004,-0.09187910190000004
cmbv5_0005,g711_ulaw,FILE,1,0.940765469,0.857808731,-0.08295673800000003,-0.08295673800000003
cmbv5_0006,g711_ulaw,FILE,1,0.6924696245,0.1918457745,-0.50062385,-0.50062385
cmbv5_0007,g711_ulaw,FILE,1,0.8861149392,0.2266140031,-0.6595009360999999,-0.6595009360999999
cmbv5_0008,g711_ulaw,FILE,1,0.9682275169,0.8895580656,-0.07866945130000003,-0.07866945130000003
cmbv5_0009,g711_ulaw,FILE,1,0.9933107894,0.9679076101,-0.025403179299999912,-0.025403179299999912
cmbv5_0010,g711_ulaw,FILE,1,0.9762035514,0.832388859,-0.1438146924,-0.1438146924
cmbv5_0011,g711_ulaw,FILE,1,0.8878808142,0.8670486888,-0.020832125400000012,-0.020832125400000012
cmbv5_0012,g711_ulaw,FILE,1,0.7537670134,0.2197320346,-0.5340349788,-0.5340349788
cmbv5_0013,g711_ulaw,FILE,1,0.9974787425,0.9935953546,-0.0038833878999999794,-0.0038833878999999794
cmbv5_0014,g711_ulaw,FILE,1,0.974555485,0.9275981014,-0.04695738360000001,-0.04695738360000001
cmbv5_0015,g711_ulaw,FILE,1,0.960171181,0.5281602693,-0.43201091169999994,-0.43201091169999994
cmbv5_0016,g711_ulaw,FILE,0,0.9320093488,0.8916996072,-0.040309741600000004,0.040309741600000004
cmbv5_0017,g711_ulaw,FILE,0,0.7905118045,0.9349954591,0.1444836546,-0.1444836546
cmbv5_0018,g711_ulaw,FILE,0,0.7352180072,0.5501042358,-0.18511377139999996,0.18511377139999996
cmbv5_0019,g711_ulaw,FILE,0,0.5992123869,0.3687329892,-0.23047939769999998,0.23047939769999998
cmbv5_0020,g711_ulaw,FILE,1,0.9751449896,0.9724331887,-0.0027118009000000054,-0.0027118009000000054
cmbv5_0021,g711_ulaw,FILE,1,0.6094607543,0.6129006931,0.003439938799999931,0.003439938799999931
cmbv5_0022,g711_ulaw,FILE,1,0.8742360779,0.9374282176,0.06319213969999993,0.06319213969999993
cmbv5_0023,g711_ulaw,FILE,1,0.9374132936,0.9249273532,-0.012485940400000062,-0.012485940400000062
cmbv5_0024,g711_ulaw,FILE,1,0.9947789565,0.9941226903,-0.000656266200000033,-0.000656266200000033
cmbv5_0025,g711_ulaw,FILE,1,0.9948603794,0.9952949652,0.000434585799999998,0.000434585799999998
cmbv5_0026,g711_ulaw,FILE,1,0.987034759,0.9293252634,-0.05770949560000005,-0.05770949560000005
cmbv5_0027,g711_ulaw,FILE,1,0.987679959,0.9880820105,0.0004020514999999447,0.0004020514999999447
cmbv5_0028,g711_ulaw,FILE,1,0.9972230545,0.995254668,-0.0019683865000000855,-0.0019683865000000855
cmbv5_0029,g711_ulaw,FILE,1,0.9939541244,0.9949761682,0.0010220438000000387,0.0010220438000000387
cmbv5_0030,g711_ulaw,FILE,1,0.9941417558,0.9835140525,-0.010627703299999958,-0.010627703299999958
cmbv5_0031,g711_ulaw,FILE,1,0.9893093289,0.9534355486,-0.03587378029999999,-0.03587378029999999
cmbv5_0032,g711_ulaw,FILE,0,0.3965668212,0.1535600186,-0.2430068026,0.2430068026
cmbv5_0033,g711_ulaw,FILE,0,0.5671914451,0.669499235,0.1023077899,-0.1023077899
cmbv5_0034,g711_ulaw,FILE,0,0.8128489008,0.5100157177,-0.30283318310000007,0.30283318310000007
cmbv5_0035,g711_ulaw,FILE,0,0.9224529074,0.9056509444,-0.01680196299999992,0.01680196299999992
cmbv5_0036,g711_ulaw,FILE,1,0.7967558718,0.7469565477,-0.049799324099999986,-0.049799324099999986
cmbv5_0037,g711_ulaw,FILE,1,0.7717122117,0.7515591505,-0.020153061200000044,-0.020153061200000044
cmbv5_0038,g711_ulaw,FILE,1,0.9276950251,0.8784931611,-0.04920186400000004,-0.04920186400000004
cmbv5_0039,g711_ulaw,FILE,1,0.9760531401,0.9188415328,-0.05721160729999997,-0.05721160729999997
cmbv5_0040,g711_ulaw,FILE,1,0.9882740181,0.962282507,-0.025991511100000086,-0.025991511100000086
cmbv5_0041,g711_ulaw,FILE,1,0.9940103871,0.9936173889,-0.0003929982000000498,-0.0003929982000000498
cmbv5_0042,g711_ulaw,FILE,1,0.9962263341,0.984184973,-0.012041361100000092,-0.012041361100000092
cmbv5_0043,g711_ulaw,FILE,1,0.9969188137,0.9961611919,-0.0007576218000000523,-0.0007576218000000523
cmbv5_0044,g711_ulaw,FILE,1,0.9958806632,0.996277621,0.00039695779999993075,0.00039695779999993075
cmbv5_0045,g711_ulaw,FILE,1,0.9944391661,0.9953403956,0.0009012294999999337,0.0009012294999999337
cmbv5_0046,g711_ulaw,FILE,1,0.9971878197,0.9949750988,-0.0022127209000000203,-0.0022127209000000203
cmbv5_0047,g711_ulaw,FILE,1,0.9946247302,0.975133059,-0.01949167119999995,-0.01949167119999995
cmbv5_0000,g711_ulaw,VOICE,0,0.2943337675,0.8614827836,0.5671490160999999,-0.5671490160999999
