CHANNEL,TASK,PARENTS,POSITIVE_PARENTS,NEGATIVE_PARENTS,PAIRS,CLEAN_EER,CHANNEL_EER,CLEAN_PAIR_ERROR,CHANNEL_PAIR_ERROR,CORRECT_TO_INCORRECT,INCORRECT_TO_CORRECT,CLEAN_TIES,CHANNEL_TIES,RANK_STATE_FLIPS,MEAN_SCORE_DELTA,MEAN_SIGNED_DELTA,MEAN_PAIR_MARGIN_DELTA
g711_ulaw,FILE,48,36,12,432,0.18055555555555552,0.33333333333333337,0.10648148148148151,0.1967592592592593,51,12,0,0,63,-0.04620084847916667,-0.05466007316249999,-0.08415906379444443
g711_ulaw,VOICE,48,24,24,576,0.041666666666666644,0.041666666666666644,0.01388888888888884,0.00868055555555558,5,8,0,0,13,0.0036716198750000087,-0.04258870069999999,-0.08517740139999999
g711_ulaw,MUSIC,48,24,24,576,0.33333333333333337,0.25,0.13888888888888884,0.26736111111111116,102,28,0,0,130,-0.17750584809583336,-0.08485620991666666,-0.16971241983333335
g722_wb,FILE,48,36,12,432,0.18055555555555552,0.2361111111111111,0.10648148148148151,0.11805555555555558,16,11,0,0,27,0.009036628539583336,-0.012092040410416663,-0.04429427914722222
g722_wb,VOICE,48,24,24,576,0.041666666666666644,0.041666666666666644,0.01388888888888884,0.0017361111111111605,0,7,0,0,7,0.008019273697916668,-0.013911330518749996,-0.027822661037499988
g722_wb,MUSIC,48,24,24,576,0.33333333333333337,0.25,0.13888888888888884,0.11458333333333337,12,26,0,0,38,-0.004060785437500005,0.008618654637499997,0.017237309274999994
opus_nb_8k,FILE,48,36,12,432,0.18055555555555552,0.41666666666666663,0.10648148148148151,0.36111111111111116,129,19,0,0,148,0.11953725265625,-0.05357794984791664,-0.3022575364694444
opus_nb_8k,VOICE,48,24,24,576,0.041666666666666644,0.20833333333333337,0.01388888888888884,0.1840277777777778,101,3,0,0,104,0.14896624422291668,-0.21755670873958333,-0.4351134174791666
opus_nb_8k,MUSIC,48,24,24,576,0.33333333333333337,0.29166666666666663,0.13888888888888884,0.18229166666666663,67,42,0,0,109,0.009983780589583338,-0.07720323562291666,-0.15440647124583332
transcode_g711_opus,FILE,48,36,12,432,0.18055555555555552,0.33333333333333337,0.10648148148148151,0.33564814814814814,117,18,0,0,135,0.09330143283958335,-0.054453374439583334,-0.2696109089583333
transcode_g711_opus,VOICE,48,24,24,576,0.041666666666666644,0.25,0.01388888888888884,0.2065972222222222,111,0,0,0,111,0.15153094497291666,-0.22937766856041666,-0.4587553371208334
transcode_g711_opus,MUSIC,48,24,24,576,0.33333333333333337,0.29166666666666663,0.13888888888888884,0.22916666666666663,89,37,0,0,126,0.021027790962499997,-0.10275935820833333,-0.20551871641666666
