CHANNEL,TASK,PARENTS,POSITIVE_PARENTS,NEGATIVE_PARENTS,PAIRS,CLEAN_EER,CHANNEL_EER,CLEAN_PAIR_ERROR,CHANNEL_PAIR_ERROR,CORRECT_TO_INCORRECT,INCORRECT_TO_CORRECT,CLEAN_TIES,CHANNEL_TIES,RANK_STATE_FLIPS,MEAN_SCORE_DELTA,MEAN_SIGNED_DELTA,MEAN_PAIR_MARGIN_DELTA
g711_ulaw,FILE,48,36,12,432,0.18055555555555552,0.3194444444444444,0.09953703703703709,0.1967592592592593,48,6,0,0,54,-0.04262836786458334,-0.055405397693750004,-0.09090990336388888
g711_ulaw,VOICE,48,24,24,576,0.08333333333333334,0.125,0.02604166666666663,0.03125,18,15,0,0,33,0.008190459041666659,-0.013562037408333337,-0.027124074816666673
g711_ulaw,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.07986111111111116,0.2152777777777778,97,19,0,0,116,-0.2205152246208333,-0.11082080317499998,-0.22164160635
g722_wb,FILE,48,36,12,432,0.18055555555555552,0.25,0.09953703703703709,0.12731481481481477,20,8,0,0,28,0.00579113844999999,-0.013599781145833342,-0.04398760098888891
g722_wb,VOICE,48,24,24,576,0.08333333333333334,0.041666666666666644,0.02604166666666663,0.00520833333333337,3,15,0,0,18,0.013621648072916673,-0.019197273443749992,-0.03839454688749999
g722_wb,MUSIC,48,24,24,576,0.16666666666666663,0.16666666666666663,0.07986111111111116,0.06597222222222221,12,20,0,0,32,-0.0048546518770833285,0.007854359306250003,0.0157087186125
opus_nb_8k,FILE,48,36,12,432,0.18055555555555552,0.41666666666666663,0.09953703703703709,0.3680555555555556,131,15,0,0,146,0.10524831737500001,-0.06001707910416667,-0.3003766341111111
opus_nb_8k,VOICE,48,24,24,576,0.08333333333333334,0.41666666666666663,0.02604166666666663,0.34895833333333337,187,1,0,0,188,0.19429050929375,-0.24096101586041666,-0.4819220317208333
opus_nb_8k,MUSIC,48,24,24,576,0.16666666666666663,0.29166666666666663,0.07986111111111116,0.17881944444444442,80,23,0,0,103,-0.04136895203124999,-0.10851827243958334,-0.21703654487916668
transcode_g711_opus,FILE,48,36,12,432,0.18055555555555552,0.33333333333333337,0.09953703703703709,0.35416666666666663,124,14,0,0,138,0.08257819630625,-0.06126223997291665,-0.27347023500277773
transcode_g711_opus,VOICE,48,24,24,576,0.08333333333333334,0.375,0.02604166666666663,0.35763888888888884,191,0,0,0,191,0.19709462275416667,-0.2464692925958333,-0.4929385851916667
transcode_g711_opus,MUSIC,48,24,24,576,0.16666666666666663,0.20833333333333337,0.07986111111111116,0.17881944444444442,79,22,0,0,101,-0.024552286412499996,-0.12741470533333332,-0.25482941066666664
