PARENT_ID,CHANNEL,TASK,LABEL,CLEAN_PROB,CHANNEL_PROB,SCORE_DELTA,SIGNED_DELTA
cmbv5_0000,g711_ulaw,FILE,0,0.3332948352,0.6344252171,0.3011303819,-0.3011303819
cmbv5_0001,g711_ulaw,FILE,0,0.6113236966,0.6178801158,0.006556419200000052,-0.006556419200000052
cmbv5_0002,g711_ulaw,FILE,0,0.7882226433,0.4592624594,-0.32896018390000004,0.32896018390000004
cmbv5_0003,g711_ulaw,FILE,0,0.9103964947,0.9436216897,0.033225195000000096,-0.033225195000000096
cmbv5_0004,g711_ulaw,FILE,1,0.949018908,0.8817919661,-0.0672269419,-0.0672269419
cmbv5_0005,g711_ulaw,FILE,1,0.9371388662,0.851312527,-0.08582633919999993,-0.08582633919999993
cmbv5_0006,g711_ulaw,FILE,1,0.6687950883,0.1776234053,-0.491171683,-0.491171683
cmbv5_0007,g711_ulaw,FILE,1,0.8738858057,0.2391796843,-0.6347061213999999,-0.6347061213999999
cmbv5_0008,g711_ulaw,FILE,1,0.9739995337,0.8889186019,-0.08508093179999998,-0.08508093179999998
cmbv5_0009,g711_ulaw,FILE,1,0.9950488788,0.9755853703,-0.019463508500000004,-0.019463508500000004
cmbv5_0010,g711_ulaw,FILE,1,0.9659127176,0.74530431,-0.2206084076,-0.2206084076
cmbv5_0011,g711_ulaw,FILE,1,0.8833185931,0.8439097605,-0.039408832600000054,-0.039408832600000054
cmbv5_0012,g711_ulaw,FILE,1,0.7525425824,0.2502007575,-0.5023418249,-0.5023418249
cmbv5_0013,g711_ulaw,FILE,1,0.9971705546,0.9933697078,-0.003800846800000035,-0.003800846800000035
cmbv5_0014,g711_ulaw,FILE,1,0.971958172,0.9250704081,-0.046887763900000046,-0.046887763900000046
cmbv5_0015,g711_ulaw,FILE,1,0.9556934779,0.4817877666,-0.47390571130000003,-0.47390571130000003
cmbv5_0016,g711_ulaw,FILE,0,0.9092479552,0.8977913591,-0.01145659610000005,0.01145659610000005
cmbv5_0017,g711_ulaw,FILE,0,0.8338851279,0.9316872836,0.09780215569999995,-0.09780215569999995
cmbv5_0018,g711_ulaw,FILE,0,0.7193093021,0.5855754991,-0.13373380300000004,0.13373380300000004
cmbv5_0019,g711_ulaw,FILE,0,0.5563730459,0.3111611314,-0.24521191450000002,0.24521191450000002
cmbv5_0020,g711_ulaw,FILE,1,0.970906383,0.963423233,-0.007483149999999994,-0.007483149999999994
cmbv5_0021,g711_ulaw,FILE,1,0.6939308602,0.6845047314,-0.009426128800000044,-0.009426128800000044
cmbv5_0022,g711_ulaw,FILE,1,0.8921991971,0.9438114979,0.05161230080000001,0.05161230080000001
cmbv5_0023,g711_ulaw,FILE,1,0.8958359659,0.8838436422,-0.01199232370000003,-0.01199232370000003
cmbv5_0024,g711_ulaw,FILE,1,0.9948736959,0.9936717996,-0.001201896300000005,-0.001201896300000005
cmbv5_0025,g711_ulaw,FILE,1,0.9943017893,0.9934582605,-0.0008435288000000485,-0.0008435288000000485
cmbv5_0026,g711_ulaw,FILE,1,0.9892749477,0.9375088196,-0.05176612810000003,-0.05176612810000003
cmbv5_0027,g711_ulaw,FILE,1,0.9898927065,0.9866388516,-0.003253854900000075,-0.003253854900000075
cmbv5_0028,g711_ulaw,FILE,1,0.9977190379,0.9963471174,-0.0013719205000000123,-0.0013719205000000123
cmbv5_0029,g711_ulaw,FILE,1,0.9957702714,0.995367911,-0.0004023603999999681,-0.0004023603999999681
cmbv5_0030,g711_ulaw,FILE,1,0.9941418078,0.9840590931,-0.010082714700000106,-0.010082714700000106
cmbv5_0031,g711_ulaw,FILE,1,0.991826139,0.9586171766,-0.03320896240000004,-0.03320896240000004
cmbv5_0032,g711_ulaw,FILE,0,0.416778087,0.1579244747,-0.25885361230000004,0.25885361230000004
cmbv5_0033,g711_ulaw,FILE,0,0.5547397246,0.6837721502,0.12903242560000006,-0.12903242560000006
cmbv5_0034,g711_ulaw,FILE,0,0.7956078623,0.4693220843,-0.326285778,0.326285778
