CHANNEL,TASK,PARENTS,POSITIVE_PARENTS,NEGATIVE_PARENTS,PAIRS,CLEAN_EER,CHANNEL_EER,CLEAN_PAIR_ERROR,CHANNEL_PAIR_ERROR,CORRECT_TO_INCORRECT,INCORRECT_TO_CORRECT,CLEAN_TIES,CHANNEL_TIES,RANK_STATE_FLIPS,MEAN_SCORE_DELTA,MEAN_SIGNED_DELTA,MEAN_PAIR_MARGIN_DELTA
g711_ulaw,FILE,48,36,12,432,0.18055555555555552,0.25,0.0717592592592593,0.1435185185185185,40,9,0,0,49,-0.10157712897291667,-0.037270255693750004,0.03604882344722224
g711_ulaw,VOICE,48,24,24,576,0.041666666666666644,0.08333333333333334,0.00868055555555558,0.01041666666666663,6,5,0,0,11,0.015026157379166663,-0.015434843212499992,-0.030869686424999987
g711_ulaw,MUSIC,48,24,24,576,0.16666666666666663,0.16666666666666663,0.05729166666666663,0.11284722222222221,45,13,0,0,58,-0.3853931142666667,-0.15976583254166668,-0.31953166508333336
g722_wb,FILE,48,36,12,432,0.18055555555555552,0.15277777777777773,0.0717592592592593,0.08333333333333337,13,8,0,0,21,0.015680554006250007,-0.013205997331249998,-0.05612339822500001
g722_wb,VOICE,48,24,24,576,0.041666666666666644,0.0,0.00868055555555558,0.0,0,5,0,0,5,0.011735646947916673,-0.01675891533958333,-0.03351783067916665
g722_wb,MUSIC,48,24,24,576,0.16666666666666663,0.16666666666666663,0.05729166666666663,0.046875,5,11,0,0,16,0.004964691499999999,0.010858761841666661,0.02171752368333332
opus_nb_8k,FILE,48,36,12,432,0.18055555555555552,0.33333333333333337,0.0717592592592593,0.3032407407407407,109,9,0,0,118,-0.08040381171041665,-0.10331539053541668,-0.1683026258138889
opus_nb_8k,VOICE,48,24,24,576,0.041666666666666644,0.29166666666666663,0.00868055555555558,0.2881944444444444,161,0,0,0,161,0.18881877856041665,-0.24044115624791665,-0.4808823124958333
opus_nb_8k,MUSIC,48,24,24,576,0.16666666666666663,0.29166666666666663,0.05729166666666663,0.2777777777777778,135,8,0,0,143,-0.32096484096250005,-0.1744397842333333,-0.3488795684666667
transcode_g711_opus,FILE,48,36,12,432,0.18055555555555552,0.33333333333333337,0.0717592592592593,0.2870370370370371,103,10,0,0,113,-0.08976415275625,-0.09958274010208334,-0.14586843659722223
transcode_g711_opus,VOICE,48,24,24,576,0.041666666666666644,0.33333333333333337,0.00868055555555558,0.29166666666666663,163,0,0,0,163,0.18985904896249997,-0.24333640341249999,-0.4866728068249999
transcode_g711_opus,MUSIC,48,24,24,576,0.16666666666666663,0.33333333333333337,0.05729166666666663,0.2934027777777778,144,8,0,0,152,-0.28420526876458335,-0.16458318290625001,-0.32916636581250003
