axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
DATASET,asvspoof_voice_wav_dev_v1,176,176,176,0,0.1988372093023256,0.24431524547803618,,,,,,
DATASET,codec_mixed_dev_v4,600,600,600,600,0.2466666666666667,0.2633333333333333,0.21333333333333337,,,0.76,,
DATASET,echoes_fma_paired_v3,111,111,0,111,0.09009740259740262,,0.09009740259740262,,,,,
DATASET,external_mixed_v1,400,400,400,400,0.15166666666666667,0.17500000000000002,0.14,,,0.8471666666666667,,
DATASET,external_mixed_v1_telephone_v1,400,400,400,400,0.15166666666666667,0.18500000000000003,0.15500000000000003,,,0.8406666666666667,,
DATASET,factorial_eval_1200_v2,400,400,350,350,0.18290909090909088,0.2628571428571429,0.18285714285714283,0.9983428571428571,0.9997714285714285,0.8011168831168831,0.9990571428571429,0.8209109090909091
DATASET,mixfake_music_dev_v1,1600,1600,1600,1600,0.11250000000000002,0.12749999999999997,0.09624999999999997,,,0.889375,,
DATASET,multigen_voice_v2,90,90,90,0,0.125,0.1333333333333333,,,,,,
DATASET,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.22999999999999998,0.07999999999999999,,,0.8200000000000001,,
DATASET,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.28,0.27,0.15000000000000002,,,0.761,,
DATASET,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.03500000000000002,,,,,
CHANNEL_V57,clean,120,120,120,120,0.1333333333333333,0.25,0.06666666666666665,,,0.8633333333333333,,
CHANNEL_V57,clean_flac,66,66,58,58,0.19782608695652174,0.2068965517241379,0.24166666666666664,0.9956896551724138,1.0,0.7872076461769115,0.9978448275862069,0.8082713643178411
CHANNEL_V57,common_flac16k,511,511,0,511,0.05088082107843139,,0.04696691176470591,,,,,
CHANNEL_V57,flac16k,600,600,600,600,0.1788888888888889,0.19666666666666666,0.11333333333333331,,,0.8372222222222223,,
CHANNEL_V57,g711_ulaw,120,120,120,120,0.2333333333333333,0.2666666666666667,0.11666666666666668,,,0.7949999999999999,,
CHANNEL_V57,g722_wb,120,120,120,120,0.1333333333333333,0.2666666666666667,0.08333333333333334,,,0.855,,
CHANNEL_V57,mp3_64k,67,67,58,59,0.18219461697722567,0.2068965517241379,0.20344827586206893,1.0,1.0,0.8064888984079388,1.0,0.8258400085671449
CHANNEL_V57,noisy_flac,66,66,58,58,0.23015873015873015,0.24137931034482762,0.10357142857142855,1.0,1.0,0.8055733442802409,1.0,0.8250160098522168
